,input_en,output_de,gt_de
510,The four people sit on a pile of rocks.,Die vier Personen sitzen auf einem Steinhaufen.[,Die vier Personen sitzen auf einem Haufen von Steinen.
511,A group of people do tricks on motorbikes.,Eine Gruppe von Personen macht Tricks auf Motorrädern.<unused64>,Eine Gruppe macht Tricks auf Motorrädern.
512,Bicyclist in racing gear rides through forest area.,Radfahrer mit Rennausrüstung fährt durch Waldgebiet.,Radfahrer in Rennmontur fährt durch ein Waldgebiet.
513,A man in a green shirt is walking on the beach carrying his sneakers.,Ein Mann im grünen Hemd läuft am Strand mit seinen Sneakers,Ein Mann in einem grünen Shirt spaziert am Strand mit seinen Turnschuhen in der Hand.
514,Several men standing around an antique race car,Mehrere Männer stehen um einen alten Rennauto herum.,Mehrere Männer stehen um ein antikes Rennauto herum.
515,Two men work under the hood of a white race car.,Zwei Männer arbeiten unter der Motorhaube eines weißen Rennw,Zwei Männer arbeiten unter der Haube eines weißen Rennautos.
516,Children jump off the edge into a pool.,Kinder springen aus der Etage in einen Pool.[,Kinder Springen vom Rand in einen Pool.
517,A man on the edge of a wall about to fall off.,"Ein Mann am Rand einer Wand, der gerade fällt.0",Ein Mann steht am Rand einer Mauer und fällt gleich runter.
518,A woman in a striped outfit on a bike.,Eine Frau im gestreiften Outfit auf einem Fahrrad.<unused64>,Eine Frau in einem gestreiften Outfit auf einem Fahrrad.
519,A girl dressed in black is posing for the camera.,Ein schwarz gekleidetes Mädchen posiert für die Kamera.,Ein schwarz gekleidetes Mädchen posiert für die Kamera.
520,Man in shorts standing by the water.,"Ein Mann im Shorts steht am Wasser.�
0assistant",Ein Mann in Shorts steht am Wasser.
521,Four black men are sitting on the steps of a church.,Vier schwarze Männer sitzen auf den Stufen einer Kirche.<unused64>,Vier schwarze Männer sitzen auf den Stufen einer Kirche.
522,A crane operates amidst piles of rubble.,Ein Krananlage arbeitet in einer Menge von Ruinen.[,Ein Kran arbeitet mitten in einem Schutthaufen.
523,A gymnast wearing red and white is mid-twirl on an uneven bar.,Ein Turner in rot und weiß befindet sich mitten im Twirl,Eine Turnerin in Rot und Weiß in der Drehung auf einem ungeraden Balken.
524,An older lady in a green sweater picks out vegetables.,Eine ältere Dame mit einem grünen Pullover wählt Gemüse aus,Eine ältere Dame in einem grünen Sweatshirt wählt Gemüse aus.
525,Two men are crafting items in a workshop with tools.,Zwei Männer arbeiten mit Werkzeugen an Gegenständen im Workshop.,Zwei Männer stellen in einer Werkstatt mit Werkzeugen Gegenstände her.
526,A teacher in white and a little girl wearing a yellow dress playing with building block.,"Eine weiße Lehrerin und ein kleines Mädchen, das einen gel",Eine Lehrerin in Weiß und ein kleines Mädchen in einem gelben Kleid spielen mit Bauklötzen.
527,A young child sleeping in her bed with an open book on her chest.,Ein kleines Kind schläft mit einem offenen Buch auf ihrem Brust,Ein kleines Kind schläft in seinem Bett mit einem offenen Buch auf der Brust.
528,A woman eating in the grass on a beautiful day.,"Eine Frau, die an einem schönen Tag im Gras isst",Eine Frau isst an einem schönen Tag auf dem Gras.
529,A man walks down a cobblestone street next to buildings painted tan with red eaves.,Ein Mann geht auf einer gepflasterten Straße neben,Ein Mann geht auf einer Kopfsteinstraße neben Gebäuden mit roten Dachtraufen.
530,A woman wearing a hat with making bread.,"Eine Frau mit Hut bereitet Brot zu.�
+",Eine Frau mit einem Hut macht Brot.
531,A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field.,Eine einzelne Frau steht auf einem Feld mit Hagel undcrush,"Eine einzelne Frau verwendet einen großen einfachen Stößel und Mörser, um Pflanzenmaterial zu zerdrücken, während sie auf einem Stoppelfeld steht."
532,A man in a karate is performing in front of two judges.,Ein Mann im Karate tritt vor zwei Juristen auf.[,Ein Mann in einem Karateanzug macht eine Vorführung vor zwei Punktrichtern.
533,A man in formal attire plays a piano on the sidewalk of a city street.,Ein Mann im Formalschnitt spielt auf dem Gehweg,Ein formell gekleideter Mann spielt Klavier auf dem Gehsteig an einer städtischen Straße.
534,"An elderly man sitting in a chair, eating some snacks.",Ein älterer Mann sitzt auf einem Stuhl und isst etwas,Ein älterer Mann sitzt in einem Stuhl und isst ein paar Snacks.
535,A woman in a white shirt works behind the counter at a cafe.,Eine Frau mit weißem Hemd arbeitet hinter der Theke eines,Eine Frau in einem weißen Hemd arbeitet hinter dem Tresen in einem Café.
536,A man with work clothes on standing on the back of a truck.,Ein Mann in Arbeitskleidung steht auf dem Dach eines Lastw,Ein Mann in Arbeitskleidung steht auf der Ladefläche seines Lasters.
537,Two children looking at horses through a small fence.,Zwei Kinder betrachten Pferde durch ein kleines Zaunstück.<unused64>,Zwei Kinder beobachten Pferde durch einen kleinen Zaun.
538,A window with some type of design painted on it.,"Eine Fensterfront mit einem Muster darauf, das aufgedruckt",Ein Fenster mit einem aufgemalten Design.
539,A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe.,Eine Frau in einem hellrosa Overcoat macht eine Wette,Eine Frau in einem knallrosa Mantel steht vor einer Vitamin Shoppe-Filiale und macht eine Grimasse in Richtung einer Frau in einem violetten Mantel.
540,A cowboy wrapping up his arm with a bandage.,Ein Cowboy schließt sich seinen Arm mit einem Bandage an.,Ein Cowboy bandagiert seinen Arm.
541,A man in a yellow shirt and a man in a dark blue shirt talking.,Ein Mann im gelben Hemd und ein Mann mit einem,Ein Mann in einem gelben Hemd und ein Mann in einem dunkelblauen Hemd unterhalten sich.
542,Three Asian children sitting on a couch with tapestries hanging in the background.,Drei asiatische Kinder sitzen auf einer Couch und am Hintergrund hängen,Drei asiatische Kinder sitzen auf einer Couch mit Wandteppichen im Hintergrund.
543,A girl in a red shirt jumps up to hit a tennis ball.,"Ein Mädchen mit rotem Hemd springt hoch, um","Ein Mädchen in einem roten Shirt springt hoch, um einen Tennisball zu treffen."
544,A man posing the camera with green crane.,Ein Mann posiert mit einem grünen Kranich in der Hand,Ein Mann posiert für die Kamera mit einem grünen Kran.
545,A man clinks bottles with another person while smiling in a restaurant.,"Ein Mann klatscht mit einer anderen Person ein Glas,",Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.
546,A man is loading a box truck with lots of baked pretzels.,Ein Mann lädt einen Lkw mit vielen Backpretzeln,Ein Mann lädt gebackene Brezeln auf einen Koffer-LKW.
547,A man in a black jacket plays the guitar out in public.,Ein Mann mit einer schwarzen Jacke spielt Gitarre im Freien,Ein Mann in einer schwarzen Jacke spielt in der Öffentlichkeit Gitarre.
548,A dance group performs in a parade in china.,Eine Tanzgruppe führt einen Umzug durch China auf.<unused64>,Eine Tanztruppe bei einer Aufführung während einer Parade in China.
549,A man stands on a rocky cliff overlooking a body of water.,Ein Mann steht auf einer felsigen Klippe und blickt,Ein Mann steht auf einem steinigen Abhang und blickt auf ein Gewässer.
550,Police officer watching woman exit from bus.,"Polizist beobachtet, wie eine Frau aus dem Bus geht.",Ein Polizist beobachtet eine Frau beim Aussteigen aus dem Bus.
551,"Two middle-aged police officers watch over a parking lot, at night.",Zwei Polizisten mittleren Alters beobachten nachts ein Parkplatz.�,Zwei Polizisten mittleren Alters beobachten nachts einen Parkplatz.
552,Two men in blue shirts looking at a soccer game.,Zwei Männer mit blauen Hemden blicken auf ein Fußballspiel,Zwei Männer in blauen Hemden sehen sich ein Fußballspiel an.
553,A group of men in blue uniforms are standing together.,Eine Gruppe von Männern mit blauen Uniformen steht zusammen.,Eine Gruppe von Männern in blauen Uniformen stehen zusammen.
554,A young lady doing yoga on the beach.,"Eine junge Frau macht Yoga am Strand.�
<unused64>assistant",Eine junge Dame macht Yoga am Strand.
555,A large crowd of people are standing around in a park and a few are playing instruments.,Eine große Menschenmenge steht herum im Park und einige spielen Instrumente,Eine große Menschenmenge steht in einem Park herum und einige spielen auf Instrumenten.
556,A man with a balloon hat makes balloon animals.,Ein Mann mit einem Luftballonhut macht Ballontiere.0,"Ein Mann mit einem Luftballon, der Ballontiere macht."
557,A man grilling meat on an outdoor grilling pit.,Ein Mann grillt Fleisch auf einer Grillhütte im Freien.,"Ein Mann, der über einem Grill im Freien Fleisch grillt."
558,Two men selling fruit at a fruit market.,"Zwei Männer verkaufen Obst an einem Obstmarkt.0
+",Zwei Männer verkaufen Obst auf einem Obstmarkt.
559,Brunette woman in a white bikini pouring a drink into a man's cup.,Eine braunhaarige Frau im weißen Bikini gießt ein,Eine brünette Frau in einem weißen Bikini gießt einem Mann einen Drink ins Glas.
560,Boy in sunglasses is running behind a fair.,Junge mit Sonnenbrille rennt hinter einem Jahrmarkt her,Ein Junge mit Sonnenbrille läuft hinter einem Rummelplatz.
561,A gloved hand holds what appears to be an oversize nail against a log.,"Eine Handschuhhand hält ein großes Nagel, das wie","Eine Hand mit Handschuh hält etwas, was wie ein übergroßer Nagel aussieht, an einen Holzklotz."
562,A man in a plaid shirt shows off a black set of gloves.,Ein Mann mit kariertem Hemd zeigt ein schwarzes Hand,Ein Mann in einem karierten Hemd zeigt ein schwarzes Paar Handschuhe.
563,Two men in white plastic chairs sitting in a doorway.,Zwei Männer mit weißen Kunststoffstühlen sitzen im Eingangsbereich eines,Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.
564,A young girl in a red dress is wearing a black cowboy hat.,Ein junges Mädchen im roten Kleid trägt ein schwarzes Cowboy,Ein junges Mädchen in einem roten Kleid trägt einen schwarzen Cowboyhut.
565,Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.,Ein Mann im rot-weißem Fußballtrikot steht auf,Mann in einem rot-weißen Fußballtrikot steht an der Seitenlinie mit einem gelb-blauen Fußball.
566,People jump over a mountain crevasse on a rope.,Menschen springen über einen Gebirgsloch auf einem Seil.,Leute springen an einem Seil über eine Gletscherspalte.
567,People look on as participants in a marathon pass by.,"Menschen schauen zu, als Teilnehmer eines Marathons vorbeigehen",Leute sehen zu während Marathonläufer vorbeilaufen.
568,People on laptops in front pf a large window.,"Personen vor einem großen Fenster mit Laptops.�
�assistant",Leute mit Laptops vor einem großen Fenster.
569,A disc jockey busy at work as lights shine upon him.,Ein DJ arbeitet beschäftigt und wird von Lichtern umgeben.[,Ein DJ bei der Arbeit wird von Scheinwerfern angestrahlt.
570,A man wearing gloves carries corn through a field.,Ein Mann mit Handschuhen trägt Mais über einen Feldweg,Ein Mann mit Handschuhen trägt Mais durch ein Feld.
571,A photo is taken of a mirror reflection of a cafe.,Ein Foto wird von einem Spiegelbild eines Cafés gemacht.,In einem Café wird von einer Spiegelreflexion ein Foto gemacht.
572,A muslim woman holding balloons at an islamic event,Eine Muslima hält bei einer islamischen Veranstaltung Luftballons,Eine muslimische Frau hält Luftballons bei einer muslimischen Veranstaltung.
573,A woman sits in a caged in area with a cat and two bunnies.,Eine Frau sitzt mit einem Haustier und zwei Kaninchen in,Eine Frau sitzt in einem Käfig mit einer Katze und zwei Kaninchen.
574,A woman sitting against a brick wall inside a building.,Eine Frau sitzt in einem Gebäude gegen eine Ziegelmauer.,Eine Frau sitzt gegen eine Ziegelwand gelehnt in einem Gebäude.
575,Three young women face each other while sitting on red plush chairs.,Drei junge Frauen sitzen auf roten Federstühlen und blicken,Drei junge Frauen sitzen sich auf roten Plüschstühlen gegenüber.
576,A woman in a blue shirt walking in a village.,Eine Frau mit blauen Oberteil geht durch ein Dorf.�,Eine Frau in einem blauen Shirt spaziert in einem Dorf.
577,"Six children, sitting on a step with notepads and crayons.",Sechs Kinder sitzen auf einer Stufe mit Notiersiążen,Sechs Kinder sitzen mit Blöcken und Stiften auf einer Stufe.
578,A tan dog playing with a stick on the shore.,Ein gelbbrauner Hund spielt am Ufer mit einem Stock.,Ein brauner Hund spielt am Ufer mit einem Stock.
579,"Two dogs playfully bite a third dog, which has its tongue sticking out.","Zwei Hunde spielen mit einem dritten Hund, der seine Zunge","Zwei Hunde beißen spielerisch einen dritten Hund, dessen Zunge heraushängt."
580,A child is on a motorcycle smiling.,Ein Kind sitzt lächelnd auf einem Motorrad.[,Ein Kind sitzt lächelnd auf dem Motorrad.
581,6 people are gathered around to eat a big dinner.,6 Leute versammeln sich um ein großes Abendessen,6 Personen versammeln sich zu einem großen Abendessen.
582,Santa Claus being photographed at a holiday media event.,Der Weihnachtsmann wird bei einer HOLIDAY-Medienveranstaltung fotograf,Santa Claus wird bei einem Medienevent zu Weihnachten fotografiert.
583,Military Families are marching through New York on a rainy day.,Militärische Familien marschieren an einem regnerischen,Militärangehörige marschieren an einem regnerischen Tag durch New York.
584,A woman in a blue helmet and red pants riding a motorcycle.,Eine Frau mit einem blauen Helm und roten Hosen fährt Motorrad,Eine Frau in roten Hosen und mit einem blauen Helm fährt Fahrrad.
585,Several men are wearing martial arts uniforms while they perform some moves in unison.,Mehrere Männer tragen Karate-Uniformen und führen gleichzeitig,Mehrere Männer in Kampfsportuniformen machen gemeinsam Bewegungen.
586,A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.,"Eine junge Dame und ein Mann im Kampfanzug, die Stö",Eine junge Frau und ein Mann in Kriegerkostümen hantieren vor einer Gruppe im Hintergrund mit Schwertern.
587,A man in a uniform walking on a street with two cars and a tree.,Ein Mann im Uniform läuft auf einer Straße mit zwei Autos und,Ein uniformierter Mann geht auf einer Straße mit zwei Autos und einem Baum.
588,Young woman climbing rock face,Eine junge Frau klettert einen Felsabhang hinauf.,Junge Frau klettert auf Felswand
589,An elderly man in a light blue coat works on a car on the roadside.,Ein älterer Mann mit einem hellblauen Mantel arbeitet an,Ein älterer Mann in einem hellblauen Mantel arbeitet am Straßenrand an einem Auto.
590,People looking over several colored pieces of paper spread on a table.,Mehrere farbige Papierschnipsel liegen auf einem Tisch,Personen betrachten mehrere farbige Papierstücke auf einem Tisch.
591,A man sings and plays the guitar into a microphone.,Ein Mann singt und spielt Gitarre in ein Mikrofon,Ein Mann singt und spielt Gitarre in ein Mikrofon.
592,Two men sitting in a restaurant.,Zwei,Zwei Männer sitzen in einem Restaurant.
593,Two women in shorts run down a beach along the water.,Zwei Frauen in Shorts laufen am Wasser einen Strand entlang.[,Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.
594,Construction workers having a discussion by the tracks.,Bauarbeiter unterhalten sich an den Gleisen.�,Arbeiter diskutieren neben den Schienen.
595,"A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.",Eine Ansicht eines Fußgängerquartiers mit einem Mann,"Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht."
596,A group of people are playing on an object.,"Eine Gruppe von Menschen spielt auf einem Objekt.0
<unused64>",Eine Gruppe spielt an einem Gegenstand.
597,A little girl in a blue outfit is climbing on metal railings in the street.,Ein kleines Mädchen im blauen Outfit klettert auf Metallgel,Ein kleines Mädchen in Blau klettert auf der Straße auf ein Metallgeländer.
598,A group of men sitting and talking behind some green fruit.,Eine Gruppe von Männern sitzt und spricht hinter einigen grünen Früchten,Eine Gruppe von Männern sitzt und unterhält sich hinter grünen Früchten.
599,A guy with a yellow outfit on standing behind a microphone under a tent.,Ein Mann mit einem gelben Outfit steht hinter einer Mikrophon,Ein Typ in einem gelben Outfit steht hinter dem Mikrofon in einem Zelt.
600,A brown dog with a purple Frisbee in its mouth.,Ein brauner Hund mit einer lilafarbenen Frisbeescheibe,Ein brauner Hund mit einem lilafarbenen Frisbee im Mund.
601,It looks like a man practicing his martial arts moves near some muddy looking water.,"Ein Mann trainiert in der Nähe von Wasser, das wie","Ein Mann, der aussieht als würde er Kampfsportübungen machen, vor schlammig aussehendem Wasser."
602,A woman with a drink and a woman with a cellphone.,Eine Frau mit einem Getränk und eine andere Frau mit ihrem,Eine Frau mit einem Getränk und eine Frau mit einem Mobiltelefon.
603,A child in a red coat waves a hand in the air while lying in snow beside a red plastic sled.,Ein Kind mit einem roten Mantel winkt einen Arm im Schnee,Ein Kind in einer roten Jacke winkt mit einer Hand während es neben einem Plastikschlitten im Schnee liegt.
604,A woman sitting next to her purse watching dogs at the park.,"Eine Frau, die neben ihrer Geldbörse sitzt und",Eine Frau sitzt neben ihrer Tasche und sieht Hunden im Park zu.
605,"Three men are standing on a stage, one is wearing clown makeup and holding a guitar.",Drei Männer stehen auf einer Bühne und ein Mann trägt Klown,"Drei Männer stehen auf einer Bühne, einer von ihnen trägt Clown-Makeup und hält eine Gitarre."
606,A woman is processing plant fluid in a tribal village,Eine Frau verarbeitet Pflanzenflüssigkeit auf einem indigenen Dorf.,Eine Frau verarbeitet Pflanzensaft in einem Stammesdorf
607,The woman in the red dress is dancing with the man in a suit.,Die Frau im roten Kleid tanzt mit dem Mann im An,Die Frau im roten Kleid tanzt mit dem Mann im Anzug.
608,Two small dogs follow a larger dog with a tennis ball,Zwei kleine Hunde folgen einem größeren Hund mit einer Tennis-Ball,Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball
609,A man with a bushy beard and a baseball cap sits on a park bench.,Ein Mann mit einem belebten Bart und einer Baseballkap,Ein Mann mit buschigem Bart und Baseballmütze sitzt auf einer Parkbank.
610,An African tribe is standing in their garden with the forest in the background.,Eine afrikanische Gruppe steht mit dem Wald im Hintergrund auf,Ein afrikanischer Stamm steht im Garten mit dem Wald im Hintergrund.
611,A young girl is trying to brush a goat.,"Ein junges Mädchen versucht, ein Schaf zu putzen","Ein junges Mädchen versucht, eine Ziege zu bürsten."
612,Asian people sitting at a restaurant with yellow chairs.,Asiaten sitzen in einem Restaurant mit gelben Stühlen.,Asiaten sitzen in einem Restaurant mit gelben Stühlen.
613,A baby girl eats a cookie while seated in a highchair and wearing a bib.,Ein Mädchen sitzt auf einem Hochstuhl und hat einen Biba,Ein Baby sitzt mit Lätzchen in einem Hochstuhl und isst einen Keks .
614,A gray-haired man wearing black gloves is moving the lawn.,Ein grauhaariger Mann mit schwarzen Handschuhen bewegt den,Ein grauhaariger Mann mit schwarzen Handschuhen mäht den Rasen.
615,A woman reads a book while sitting in a row of red chairs.,"Eine Frau sitzt auf einem Stuhl, und liest ein Buch.",Eine Frau sitzt in einer Reihe aus roten Stühlen und liest ein Buch.
616,A child claps while riding on a woman's shoulders.,"Ein Kind klappert, während es auf der Schultern einer",Ein Kind sitzt auf den Schultern einer Frau und klatscht.
617,A family is walking on the sidewalk through the snow while a man sits on the side with his paper cup.,"Eine Familie geht auf dem Gehsteig durch den Schnee,",Eine Familie geht auf dem Gehsteig durch den Schnee während am Rand ein Mann mit seinem Papierbecher sitzt.
618,A cat sits on top of a store sign.,"Eine Katze sitzt auf einem Ladensign.�
0assistant",Eine Katze sitzt auf einem Werbeschild.
619,A man in a pink shirt and black jacket with headphones on.,Ein Mann mit einem rosafarbenen Hemd und einer schwarzen,Ein Mann in einem pinken Shirt und schwarzer Jacke mit Kopfhörern.
620,A young man about to throw a football.,"Ein junger Mann, der gerade einen Football geworfen hat.",Ein junger Mann wirft einen Football.
621,A guy and a girl going down a spiral walkway.,Ein Typ und ein Mädchen gehen einen Spiralkamin hinunter,Ein Typ und ein Mädchen gehen einen spiralförmigen Fußweg hinunter.
622,A woman with pink hair bent down on the sidewalk holding to pink dogs.,Eine Frau mit rosafarbener Haarpracht bückt,Eine Frau mit pinken Haaren beugt sich auf dem Gehweg hinunter und hält zwei pinke Hunde.
623,"A male in a suit holding a beverage in a cup walking down the sidewalk, next to a city bus.",Ein Mann im Anzug hält ein Getränk und geht mit,Ein Mann im Anzug hält ein Getränk in einem Becher während er auf dem Gehweg an einem städtischen Bus vorbeigeht.
624,Man jumping with a rock formation in background.,Ein Mann springt mit einer Felsformation im Hintergrund.�,Mann springt vor einer Felsformation im Hintergrund.
625,A person in a red jacket with black pants holding rainbow ribbons.,Eine Person mit einer roten Jacke und schwarzen Hosen hält,Eine Person in einer roten Jacke und schwarzen Hosen hält Regenbogenbänder.
626,A woman puts her arm on a person sitting in a wheelchair.,"Eine Frau legt ihr Arm auf eine Person, die sich im",Eine Frau legt den Arm um eine Person im Rollstuhl.
627,A man in a white apron is cooking something with eggs on a pan outside for a woman in a tan jacket.,Ein Mann mit einer weißen Schürze bereitet etwas zu essen,Ein Mann in einer weißen Schürze bereitet für eine Frau in einer weißen Jacke im Freien in einer Pfanne etwas mit Eiern zu.
628,A woman with a push-to-talk cellphone and headset waiting at a crosswalk.,Eine Frau mit einem Push-To-Talk Handy und Kopf,Eine Frau mit einem Push-to-Talk-Mobiltelefon und einem Headset wartet an einem Zebrastreifen.
629,A group of men walk down a city street.,"Eine Gruppe von Männern geht eine Straße entlang.�
0",Eine Gruppe von Männern geht auf einer städtischen Straße.
630,A road next to an interesting place with lots of pillars.,Eine Straße neben einem interessanten Ort mit vielen Säulen.,Eine Straße neben einem interessanten Ort mit vielen Säulen.
631,A group of people in black standing on a dock nearby a long structure.,Eine Gruppe von Menschen im schwarzen angezogenen an einem Kai,Eine Gruppe von Personen in Schwarz steht an einem Dock nahe eines großen Gebäudes.
632,Man carrying a few cases of beer.,"Ein Mann trägt einige Bierkisten.<unused64>
qassistant",Ein Mann mit ein paar Kisten Bier.
633,A middle-aged man is sitting down and playing the accordion.,Ein Mann mittleren Alters sitzt und spielt Akkordeon.�,Ein Mann mittleren Alters sitzt und spielt Akkordeon.
634,"Girl with green arm band, hair ties, and earrings stands outside.",Mädchen mit grüner Armbedeckung und Haarnadeln steht,"Mädchen mit grünem Pulswärmer, Haargummis und Ohrringen steht im Freien."
635,A young girl in a pink shirt is on a beach running toward the ocean.,Ein junges Mädchen im rosa Oberteil läuft am Strand auf,Ein junges Mädchen in einem pinken Oberteil ist am Strand und läuft in Richtung des Ozeans.
636,A skateboarder in a black t-shirt and jeans skating threw the city.,Ein Skateboardfahrer mit schwarzem T-Shirt und Jeans,Ein Skateboarder in einem schwarzen T-Shirt und Jeans fährt durch die Stadt.
637,A man in a jacket is taking a photograph of a large building.,Ein Mann mit Jacke macht ein Foto eines großen Gebäudes,Ein Mann in einer Jacke macht Fotos von einem großen Gebäude.
638,People on the sideline of a soccer match.,"Menschen auf der Seite eines Fußballspiels.�
+",Menschen an der Seitenlinie bei einem Fußballspiel.
639,In this photo there is a family of four dashing across a busy street in the city.,In diesem Foto rennt eine Familie von vier über eine be,Auf diesem Foto eilt eine vierköpfige Familie über eine geschäftige Straße in der Stadt.
640,A group of people walk down the street in the sun.,Eine Gruppe Leute geht im Sonnenlicht die Straße entlang.<unused64>,Eine Menschengruppe läuft bei Sonnenschein die Straße hinunter.
641,A street near a stoplight with several people including a man wearing a brown coat and sunglasses with his hand to his face.,"Eine Straße in der Nähe eines Ampels mit mehreren Personen,","Eine Straße bei einer Ampel mit mehreren Personen, darunter ein Mann in einem braunen Mantel und Sonnenbrille, der seine Hand ans Gesicht hält."
642,Some plants are growing near the window.,"Einige Pflanzen wachsen neben dem Fenster.�
qassistant",Ein paar Pflanzen wachsen beim Fenster.
643,This player with the blue helmet was at bat and just finished swinging at the ball during a team baseball game.,Dieser Spieler mit dem blauen Helm war im Schlag und ist gerade,Dieser Spieler mit dem blauen Helm war in einem Baseballspiel zwischen zwei Teams gerade am Schlagmal und ist gerade mit dem Schlagen fertig.
644,The woman in the gold coat hurries to catch the subway.,"Die Frau im Goldrock rennt, um die U-","Die Frau im goldenen Mantel beeilt sich, um die U-Bahn zu erwischen."
645,Some people sit on benches under rows of trees in front of a building.,Einige Leute sitzen auf Bänken vor einem Gebäude unter einer,Einige Leute sitzen auf Bänken unter Reihen von Bäumen vor einem Gebäude.
646,A man in a suit is sitting at a bus stop.,Ein Mann im Anzug sitzt an einer Bushaltestelle.,Ein Mann im Anzug sitzt an einer Bushaltestelle.
647,An African American man surrounded by empty overturned white buckets and dark colored crates expresses himself through a message handwritten on cardboard.,"Ein afroamerikanischer Mann, der von leeren umgekippten",Ein afroamerikanischer Mann ist umgeben von umgedrehten weißen Eimern und dunkleren Kisten und drückt sich über eine handgeschriebene Nachricht auf einem Stück Karton aus.
648,A young brunette woman eating and drinking something.,"Eine junge brünette Frau, die etwas zu essen und",Eine junge brünette Frau isst und trinkt etwas.
649,A man in a suit and hat is playing the guitar on the street.,Ein Mann im Anzug mit Hut spielt auf der Straße Gitar,Ein Mann in einem Anzug und mit Hut spielt auf der Straße Gitarre.
650,A woman in a red vest working at a computer.,Eine Frau mit roter Weste arbeitet an einem Computer.,Eine Frau in einer roten Weste arbeitet am Computer.
651,"People standing around incense, wafting the smoke into their faces.",Leute stehen um Incens herum und schütteln das Rauch,Personen stehen um Räucherstäbchen herum und wedeln sich den Rauch ins Gesicht.
652,A man using the bathroom mirror to tie his tie.,"Ein Mann benutzt ein Badetoilettenspiegel, um seinen Kraw","Ein Mann verwendet den Badezimmerspiegel, um seine Krawatte zu binden."
653,Music being played by several individuals while a happy crowd sits and listens.,"Mehrere Personen spielen Musik, während eine glückliche Menschenmenge",Mehrere Personen spielen Musik während eine gut gelaunte Menge sitzt und zuhört.
654,Two young men riding on a very small horse-drawn wagon full of potatoes.,Zwei junge Männer fahren auf einem sehr kleinen Pferdewagen voller Kartoffeln,"Zwei junge Männer fahren auf einem sehr kleinen Wagen voller Kartoffeln, der von einem Pferd gezogen wird."
655,A woman in a dress walking down the street past a construction site.,Eine Frau im Kleid geht die Straße hinunter an einem Bau,Eine Frau in einem Klid geht auf der Straße an einer Baustelle vorbei.
656,A clerk in a convenience store asks a customer buying alcohol for his age and identification.,"Ein Verkäufer im Nahgeschäftenlager fragt einen Kunden,","Ein Mitarbeiter in einem Laden fragt einen Kunden, der Alkohol kauft, nach seinem Alter und einem Ausweis."
657,A man with sunglasses is operating a construction automobile and releasing gravel on to the ground.,Ein Mann mit Sonnenbrille bedient ein Baufahrzeug und gibt Kies,Ein Mann mit Sonnenbrille bedient ein Baufahrzeug und lädt Kies auf den Boden ab.
658,A baby playing with her toys looking at a black and white cat.,Ein Baby spielt mit ihren Spielzeugen und schaut auf eine schwarz,Ein Baby spielt mit seinem Spielzeug und betrachtet eine schwarz-weiße Katze.
659,A teenage girl is carrying a guitar in the woods.,Eine junge Frau trägt einen Gitarrencase im Wald.<unused64>,Eine Teenagerin trägt eine Gitarre im Wald.
660,A man wearing a backpack is walking down the street.,Ein Mann mit Rucksack geht die Straße entlang.0,Ein Mann mit einem Rucksack geht eine Straße hinunter.
661,Two men are having a conversation in front of a souvenir shop in Rome.,Zwei Männer unterhalten sich vor einem Souvenirgeschäft auf Rom.,Zwei Männer unterhalten sich vor einem Souvenirgeschäft in Rom.
662,A woman in black is holding something in her mouth.,Eine Frau mit schwarzem Kleid hält etwas im Mund.�,Ein Frau in Schwarz hält etwas im Mund.
663,"A group of people sit outdoors around a small, short table.",Eine Gruppe von Menschen sitzt draußen um einen kleinen kurzen Tisch herum,"Eine Gruppe von Leuten sitzt im Freien um einen kleinen, kurzen Tisch."
664,A man riding his bike up the ramp.,Ein Mann fährt sein Fahrrad die Rampe hinauf.<unused64>,Ein Mann fährt sein Fahrrad die Rampe hoch.
665,A woman wearing a black tank top and a cross necklace stares off into the distance near sunset.,Eine Frau mit einem schwarzen Oberteil und einer Kreuzstrang,Eine Frau in einem schwarzen Tank-Top mit einem Kreuz-Halsband blickt kurz vor Sonnenuntergang in die Ferne.
666,Three young girls are walking together down the sidewalk.,Drei kleine Mädchen gehen zusammen den Gehweg entlang.[,Drei junge Mädchen gehen gemeinsam auf dem Gehsteig.
667,A woman with long hair is at a graduation ceremony.,Eine Frau mit langen Haaren ist bei einer Abschlussfeier dabei,Eine Frau mit langen Haaren bei einer Abschlussfeier.
668,A man is skateboarding on a road while another man watches from the sidewalk.,"Ein Mann fährt mit seinem Skateboard auf der Straße, während",Ein Mann fährt auf einer Straße Skateboard während ihm ein anderer Mann vom Gehsteig aus zusieht.
