de,en,predicted_de
Eine Turnerin in Rot und Weiß in der Drehung auf einem ungeraden Balken.,A gymnast wearing red and white is mid-twirl on an uneven bar.,Ein Gymnast mit Rot und Weiß ist im Zweifel bei e
Eine ältere Dame in einem grünen Sweatshirt wählt Gemüse aus.,An older lady in a green sweater picks out vegetables.,Er ein älterer Frau befindet sich mit grünen Schar
Zwei Männer stellen in einer Werkstatt mit Werkzeugen Gegenstände her.,Two men are crafting items in a workshop with tools.,Zwei Maschinen erzählen Gewerbe im Werkbenuch mit
Eine Lehrerin in Weiß und ein kleines Mädchen in einem gelben Kleid spielen mit Bauklötzen.,A teacher in white and a little girl wearing a yellow dress playing with building block.,"In der Schule gibt es eine Lehrerin, die als Blau hat und"
Ein kleines Kind schläft in seinem Bett mit einem offenen Buch auf der Brust.,A young child sleeping in her bed with an open book on her chest.,Ein junges Kind schläft im Schlafzimmer mit einem Bücher
Eine Frau isst an einem schönen Tag auf dem Gras.,A woman eating in the grass on a beautiful day.,"Frauen um den Urlaub am gras verbrannt.
"
Ein Mann geht auf einer Kopfsteinstraße neben Gebäuden mit roten Dachtraufen.,A man walks down a cobblestone street next to buildings painted tan with red eaves.,"Er lässt ein Mann wenden, am Cobblestraße an"
Eine Frau mit einem Hut macht Brot.,A woman wearing a hat with making bread.,"Eine Frau mit einem Haken, die Brötchen zum Leben mach"
"Eine einzelne Frau verwendet einen großen einfachen Stößel und Mörser, um Pflanzenmaterial zu zerdrücken, während sie auf einem Stoppelfeld steht.",A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field.,Ein singuläre Frau trifft einen großen primitiven Mü
Ein Mann in einem Karateanzug macht eine Vorführung vor zwei Punktrichtern.,A man in a karate is performing in front of two judges.,"Der Mann im Karate spielt an zwei Jugendlichen.
"
Ein formell gekleideter Mann spielt Klavier auf dem Gehsteig an einer städtischen Straße.,A man in formal attire plays a piano on the sidewalk of a city street.,Eine Mädchen im Formalschutz spielt ein Klavier am Stra
Ein älterer Mann sitzt in einem Stuhl und isst ein paar Snacks.,"An elderly man sitting in a chair, eating some snacks.",Ein häusliches Mädchen liest im Sitz eines Saß
Eine Frau in einem weißen Hemd arbeitet hinter dem Tresen in einem Café.,A woman in a white shirt works behind the counter at a cafe.,Die Frau im Weißem T-Shirt arbeitet an dem Zitrone.
Ein Mann in Arbeitskleidung steht auf der Ladefläche seines Lasters.,A man with work clothes on standing on the back of a truck.,Ein Mann mit Arbeitsschutzgebungen befindet sich auf
Zwei Kinder beobachten Pferde durch einen kleinen Zaun.,Two children looking at horses through a small fence.,"Zwei Kinder wächst mit der Hüte zum Essen, um ein"
Ein Fenster mit einem aufgemalten Design.,A window with some type of design painted on it.,Eine Fenster mit einem typischen Bemerkung auf ihrem Sch
Eine Frau in einem knallrosa Mantel steht vor einer Vitamin Shoppe-Filiale und macht eine Grimasse in Richtung einer Frau in einem violetten Mantel.,A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe.,"Es tut mir leid, bitte können Sie das bitte wieder"
Ein Cowboy bandagiert seinen Arm.,A cowboy wrapping up his arm with a bandage.,"Un Cowboys wrappiert seinen Arm mit einem Bandag.
"
Ein Mann in einem gelben Hemd und ein Mann in einem dunkelblauen Hemd unterhalten sich.,A man in a yellow shirt and a man in a dark blue shirt talking.,Der Mann mit dem yellower T-Shirt und der Andere im schwarzen Blau
Drei asiatische Kinder sitzen auf einer Couch mit Wandteppichen im Hintergrund.,Three Asian children sitting on a couch with tapestries hanging in the background.,Drei Asiatische Kinder sich um einem Sofa mit Textilien hinter i
"Ein Mädchen in einem roten Shirt springt hoch, um einen Tennisball zu treffen.",A girl in a red shirt jumps up to hit a tennis ball.,Eine Tochter in einem Roten T-Shirt spielt um zu
Ein Mann posiert für die Kamera mit einem grünen Kran.,A man posing the camera with green crane.,"Ein Mann mit einem Kamera, das grünen Crane verlässt"
Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.,A man clinks bottles with another person while smiling in a restaurant.,Er klicken Glas mit dem anderen Person im Restaurant und bließ ein smiler
Ein Mann lädt gebackene Brezeln auf einen Koffer-LKW.,A man is loading a box truck with lots of baked pretzels.,Ein Mann läßt einen Box-Trucks mit vielen Baked
Ein Mann in einer schwarzen Jacke spielt in der Öffentlichkeit Gitarre.,A man in a black jacket plays the guitar out in public.,Ein Mann in einem schwarzen Schütze spielte die Gitarre
Eine Tanztruppe bei einer Aufführung während einer Parade in China.,A dance group performs in a parade in china.,"Eine Tanzgruppe spielt im Parade zu China.
"
Ein Mann steht auf einem steinigen Abhang und blickt auf ein Gewässer.,A man stands on a rocky cliff overlooking a body of water.,"Ein Mann standt über einer roten Berg, um eine See zu"
Ein Polizist beobachtet eine Frau beim Aussteigen aus dem Bus.,Police officer watching woman exit from bus.,Polizeiofficer verwacht Frau an den Abend ein neues Bus.
Zwei Polizisten mittleren Alters beobachten nachts einen Parkplatz.,"Two middle-aged police officers watch over a parking lot, at night.",Zwei Ärzte in einem Parkplatz haben um neun Uhr
Zwei Männer in blauen Hemden sehen sich ein Fußballspiel an.,Two men in blue shirts looking at a soccer game.,Zwei Mann mit blaue T-Shirten laufen um einen Fuß
Eine Gruppe von Männern in blauen Uniformen stehen zusammen.,A group of men in blue uniforms are standing together.,Eine Gattung von Mannen in blauem Unternehmen stehen v
Eine junge Dame macht Yoga am Strand.,A young lady doing yoga on the beach.,"Eine junge Dame do Yoga am Strand.
"
Eine große Menschenmenge steht in einem Park herum und einige spielen auf Instrumenten.,A large crowd of people are standing around in a park and a few are playing instruments.,Vielleicht eine große Gewaltträgerinnten s
"Ein Mann mit einem Luftballon, der Ballontiere macht.",A man with a balloon hat makes balloon animals.,"Ein Mann mit einem Blaue Hauter braucht Balloonen, um Ball"
"Ein Mann, der über einem Grill im Freien Fleisch grillt.",A man grilling meat on an outdoor grilling pit.,Ein Mann für Grillierte Käse auf einem Grünen Garten
Zwei Männer verkaufen Obst auf einem Obstmarkt.,Two men selling fruit at a fruit market.,"Zwei Mannen, die Früchte in einem Frühjahrmarkt"
Eine brünette Frau in einem weißen Bikini gießt einem Mann einen Drink ins Glas.,Brunette woman in a white bikini pouring a drink into a man's cup.,"Weiblich blonde Frau mit einem weißen Bikini, die ein K"
Ein Junge mit Sonnenbrille läuft hinter einem Rummelplatz.,Boy in sunglasses is running behind a fair.,Ein Kind mit Schüsseln spielt nächste Person an dem G
"Eine Hand mit Handschuh hält etwas, was wie ein übergroßer Nagel aussieht, an einen Holzklotz.",A gloved hand holds what appears to be an oversize nail against a log.,"Ein glücklicher Hand trägt, welche eine hohe Nadel"
Ein Mann in einem karierten Hemd zeigt ein schwarzes Paar Handschuhe.,A man in a plaid shirt shows off a black set of gloves.,Ein Mann mit einer Plaidschirt verläuft etwas schwarzes
Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.,Two men in white plastic chairs sitting in a doorway.,Zwei Menschen in weißen Plastikzugangssitzungen s
Ein junges Mädchen in einem roten Kleid trägt einen schwarzen Cowboyhut.,A young girl in a red dress is wearing a black cowboy hat.,"eine junges Mädchen, die im roten Todstoffen schl"
Mann in einem rot-weißen Fußballtrikot steht an der Seitenlinie mit einem gelb-blauen Fußball.,Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.,Der Mann mit roten und weißen Schuhe stand auf dem Felde-
Leute springen an einem Seil über eine Gletscherspalte.,People jump over a mountain crevasse on a rope.,"Sie schleifen über eine Bergekreise unterrufen,"
Leute sehen zu während Marathonläufer vorbeilaufen.,People look on as participants in a marathon pass by.,"Sie sind weiterer beobachtet, mit dem einzigen Marathon-Particip"
Leute mit Laptops vor einem großen Fenster.,People on laptops in front pf a large window.,"In Front of the Large Window, People Working on Laptops.
"
Ein DJ bei der Arbeit wird von Scheinwerfern angestrahlt.,A disc jockey busy at work as lights shine upon him.,"Ein DJ fühlt sich in Arbeit, die Lichten sollten"
Ein Mann mit Handschuhen trägt Mais durch ein Feld.,A man wearing gloves carries corn through a field.,Ein Mann mit Gläsern schlechtigt Korn an dem Landweg
In einem Café wird von einer Spiegelreflexion ein Foto gemacht.,A photo is taken of a mirror reflection of a cafe.,"Ein Bild spielt von einem Spiegelreflection des Kaffeehausen.
"
Eine muslimische Frau hält Luftballons bei einer muslimischen Veranstaltung.,A muslim woman holding balloons at an islamic event,"Vom muslimeinigen Frau, bei einer islame Event verwend"
Eine Frau sitzt in einem Käfig mit einer Katze und zwei Kaninchen.,A woman sits in a caged in area with a cat and two bunnies.,Frauen sitzen im Mausammlung mit einem Katze und zwei B
Eine Frau sitzt gegen eine Ziegelwand gelehnt in einem Gebäude.,A woman sitting against a brick wall inside a building.,"In der Stadt gibt es eine Frau, um zum Brücken"
Drei junge Frauen sitzen sich auf roten Plüschstühlen gegenüber.,Three young women face each other while sitting on red plush chairs.,Zwei junge Frauen sitzen sich in roten Plush-Chaise
Eine Frau in einem blauen Shirt spaziert in einem Dorf.,A woman in a blue shirt walking in a village.,Frau im Blauen T-Shirt weiße Weg zur Geme
Sechs Kinder sitzen mit Blöcken und Stiften auf einer Stufe.,"Six children, sitting on a step with notepads and crayons.","Sie sind sechs Kinder, bei einem Stuhl mit Notepaden"
Ein brauner Hund spielt am Ufer mit einem Stock.,A tan dog playing with a stick on the shore.,"Ein hügelhund spielt mit einem Sticks im Meer.
"
"Zwei Hunde beißen spielerisch einen dritten Hund, dessen Zunge heraushängt.","Two dogs playfully bite a third dog, which has its tongue sticking out.",Zwei Hunde spielen einen dritte Hund mit ihrer T
Ein Kind sitzt lächelnd auf dem Motorrad.,A child is on a motorcycle smiling.,Ein Kind führt sich mit einem Motorrad in die Schildkrö
6 Personen versammeln sich zu einem großen Abendessen.,6 people are gathered around to eat a big dinner.,"Sie sind sechs und begegnen, ein schöner Abendessen"
Santa Claus wird bei einem Medienevent zu Weihnachten fotografiert.,Santa Claus being photographed at a holiday media event.,Die Weihnachtsmörder befindet sich im Medien-Eventen
Militärangehörige marschieren an einem regnerischen Tag durch New York.,Military Families are marching through New York on a rainy day.,"Soldatenfamilien unterwegs nach New York im Wetten.
"
Eine Frau in roten Hosen und mit einem blauen Helm fährt Fahrrad.,A woman in a blue helmet and red pants riding a motorcycle.,Eine Frau mit einem blauen Helmholz und roten Pants fahring
Mehrere Männer in Kampfsportuniformen machen gemeinsam Bewegungen.,Several men are wearing martial arts uniforms while they perform some moves in unison.,"Sie sind mehr Mannen, die unter Martialartskunst-Uniformen"
Eine junge Frau und ein Mann in Kriegerkostümen hantieren vor einer Gruppe im Hintergrund mit Schwertern.,A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.,"Die junge Dame und Männer, die im Kampfkörper verwend"
Ein uniformierter Mann geht auf einer Straße mit zwei Autos und einem Baum.,A man in a uniform walking on a street with two cars and a tree.,"Der Mann mit der Uniform steht am Straße, bei zwei Auto und einem"
Junge Frau klettert auf Felswand,Young woman climbing rock face,"Jugendliche Frau mit Gipfelklänge.
"
Ein älterer Mann in einem hellblauen Mantel arbeitet am Straßenrand an einem Auto.,An elderly man in a light blue coat works on a car on the roadside.,Ein älterer Mann mit einer blauen Schuhe arbeitet am
Personen betrachten mehrere farbige Papierstücke auf einem Tisch.,People looking over several colored pieces of paper spread on a table.,"In der Welt gibt es viele Personen, die sich über e"
Ein Mann singt und spielt Gitarre in ein Mikrofon.,A man sings and plays the guitar into a microphone.,"Ein Mann singt und spielte einen Guitar zum Microphone.
"
Zwei Männer sitzen in einem Restaurant.,Two men sitting in a restaurant.,"Zwei Mann im Restaurant.
"
Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.,Two women in shorts run down a beach along the water.,Zwei Frauen in Schutzhosen spielen an der Strand am Meer
Arbeiter diskutieren neben den Schienen.,Construction workers having a discussion by the tracks.,Arbeitnehmer befinden sich um den Bahnhofen in eine Ges
"Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht.","A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.",Bildnis eines Personen mit einem schwarzen Aprons und weißem Baseball
Eine Gruppe spielt an einem Gegenstand.,A group of people are playing on an object.,"Eine Gruppe sind mit einem Spielzeug gegangen.
"
Ein kleines Mädchen in Blau klettert auf der Straße auf ein Metallgeländer.,A little girl in a blue outfit is climbing on metal railings in the street.,Ein kleines Mädchen im blauen Getränke hat s
Eine Gruppe von Männern sitzt und unterhält sich hinter grünen Früchten.,A group of men sitting and talking behind some green fruit.,Ein Vierarmeer sitzen und spielen um einen grünen Fr
Ein Typ in einem gelben Outfit steht hinter dem Mikrofon in einem Zelt.,A guy with a yellow outfit on standing behind a microphone under a tent.,Ein Mann mit einem grünen Unterdienstkurt vor dem Mik
Ein brauner Hund mit einem lilafarbenen Frisbee im Mund.,A brown dog with a purple Frisbee in its mouth.,Eine braune Hund mit einer purpurischen Frisch im Kopf bring
"Ein Mann, der aussieht als würde er Kampfsportübungen machen, vor schlammig aussehendem Wasser.",It looks like a man practicing his martial arts moves near some muddy looking water.,"Es gilt ein Mensch, die seines Karate-Moves verwendet"
Eine Frau mit einem Getränk und eine Frau mit einem Mobiltelefon.,A woman with a drink and a woman with a cellphone.,Eine Frau mit einem Kaffee-Kopf und einine Frau
Ein Kind in einer roten Jacke winkt mit einer Hand während es neben einem Plastikschlitten im Schnee liegt.,A child in a red coat waves a hand in the air while lying in snow beside a red plastic sled.,Ein Kind im roten Schuß klingt einen Hand in der Haut um
Eine Frau sitzt neben ihrer Tasche und sieht Hunden im Park zu.,A woman sitting next to her purse watching dogs at the park.,"Sie sitzt auf dem Hase, um ihre Purse zu verlie"
"Drei Männer stehen auf einer Bühne, einer von ihnen trägt Clown-Makeup und hält eine Gitarre.","Three men are standing on a stage, one is wearing clown makeup and holding a guitar.","Drei Hunde sind auf einem Stagesamstellung, ein"
Eine Frau verarbeitet Pflanzensaft in einem Stammesdorf,A woman is processing plant fluid in a tribal village,Ein Frau verarbeitet Plastikfluss im Tribalvöl
Die Frau im roten Kleid tanzt mit dem Mann im Anzug.,The woman in the red dress is dancing with the man in a suit.,Die Frau mit der roten Schuhe ist Tanzende mit dem Mann im Suits
Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball,Two small dogs follow a larger dog with a tennis ball,Zwei kleine Hunde schließen ein grössere H
Ein Mann mit buschigem Bart und Baseballmütze sitzt auf einer Parkbank.,A man with a bushy beard and a baseball cap sits on a park bench.,Ein Mann mit einem braune Hase und einen Baseballkap fühlt
Ein afrikanischer Stamm steht im Garten mit dem Wald im Hintergrund.,An African tribe is standing in their garden with the forest in the background.,"Ein afrikanische Gemeinde standt auf seine Garten, mit"
"Ein junges Mädchen versucht, eine Ziege zu bürsten.",A young girl is trying to brush a goat.,"Eine junge Mädchen lernt, ob ein Kleiner gehö"
Asiaten sitzen in einem Restaurant mit gelben Stühlen.,Asian people sitting at a restaurant with yellow chairs.,Asiensende mit Zuckerhutgebäude sind in einem Restaurant gespal
Ein Baby sitzt mit Lätzchen in einem Hochstuhl und isst einen Keks .,A baby girl eats a cookie while seated in a highchair and wearing a bib.,"Eine kleine Mädchen liest einen Kuchen, im hoher"
Ein grauhaariger Mann mit schwarzen Handschuhen mäht den Rasen.,A gray-haired man wearing black gloves is moving the lawn.,Ein baldes Haarmann trägt das Garten mit Schwarzglöckchen
Eine Frau sitzt in einer Reihe aus roten Stühlen und liest ein Buch.,A woman reads a book while sitting in a row of red chairs.,Ein Frau lebt einen Buch und sich im roten Schuhlager sit
Ein Kind sitzt auf den Schultern einer Frau und klatscht.,A child claps while riding on a woman's shoulders.,"Eine Kind klingt, um sich im Höhen zu schließen"
Eine Familie geht auf dem Gehsteig durch den Schnee während am Rand ein Mann mit seinem Papierbecher sitzt.,A family is walking on the sidewalk through the snow while a man sits on the side with his paper cup.,"Vier Familien trunden an der Straße im Schnee, den einem"
Eine Katze sitzt auf einem Werbeschild.,A cat sits on top of a store sign.,Ein Katze sitzt über einem Geschäftsfahrts
Ein Mann in einem pinken Shirt und schwarzer Jacke mit Kopfhörern.,A man in a pink shirt and black jacket with headphones on.,"Er hat ein Mann, mit der roten Schuhe und schwarzen Jacket mit Son"
Ein junger Mann wirft einen Football.,A young man about to throw a football.,"Ein junger Mann, den Fußball zu spielen.
"
Ein Typ und ein Mädchen gehen einen spiralförmigen Fußweg hinunter.,A guy and a girl going down a spiral walkway.,"Ein Mann und eine Frau zum Spiralenbahn entfernen.
"
Eine Frau mit pinken Haaren beugt sich auf dem Gehweg hinunter und hält zwei pinke Hunde.,A woman with pink hair bent down on the sidewalk holding to pink dogs.,"Ein Frau mit roten Haare kam an der Straße, um die P"
Ein Mann im Anzug hält ein Getränk in einem Becher während er auf dem Gehweg an einem städtischen Bus vorbeigeht.,"A male in a suit holding a beverage in a cup walking down the sidewalk, next to a city bus.",Ein Männer im Suit mit einem Bier an der Straße wand
Mann springt vor einer Felsformation im Hintergrund.,Man jumping with a rock formation in background.,"Mann trinkt mit einem roten Formstein im Backdrop.
"
Eine Person in einer roten Jacke und schwarzen Hosen hält Regenbogenbänder.,A person in a red jacket with black pants holding rainbow ribbons.,Ein Mensch in einem roten Schütze mit schwarzen Panten be
Eine Frau legt den Arm um eine Person im Rollstuhl.,A woman puts her arm on a person sitting in a wheelchair.,Ein Frau längst eine Arm gegenüber einen Person mit
Ein Mann in einer weißen Schürze bereitet für eine Frau in einer weißen Jacke im Freien in einer Pfanne etwas mit Eiern zu.,A man in a white apron is cooking something with eggs on a pan outside for a woman in a tan jacket.,Ein Mann im weißen Schutzmittel hat sich gerne zum Ess
Eine Frau mit einem Push-to-Talk-Mobiltelefon und einem Headset wartet an einem Zebrastreifen.,A woman with a push-to-talk cellphone and headset waiting at a crosswalk.,Eine Frau mit einem Pushtokommentalkonkordierten H
Eine Gruppe von Männern geht auf einer städtischen Straße.,A group of men walk down a city street.,Ein Gruppe von Männer schweigen im Stadtgebiet.
Eine Straße neben einem interessanten Ort mit vielen Säulen.,A road next to an interesting place with lots of pillars.,"Das Fischerinsel ist eine Straße, bei denen viel Sternen"
Eine Gruppe von Personen in Schwarz steht an einem Dock nahe eines großen Gebäudes.,A group of people in black standing on a dock nearby a long structure.,Das Gruppe von personen im Schwarz gabt sich an einem Schiffe beim
Ein Mann mit ein paar Kisten Bier.,Man carrying a few cases of beer.,"Er trug einen Fluss von Bierköpfe.
"
Ein Mann mittleren Alters sitzt und spielt Akkordeon.,A middle-aged man is sitting down and playing the accordion.,Ein mittlere Hirt liest sich um und spielt die Accordionen
"Mädchen mit grünem Pulswärmer, Haargummis und Ohrringen steht im Freien.","Girl with green arm band, hair ties, and earrings stands outside.",Frau mit grünen Armbandstecherin und Hände standt a
Ein junges Mädchen in einem pinken Oberteil ist am Strand und läuft in Richtung des Ozeans.,A young girl in a pink shirt is on a beach running toward the ocean.,"Eine jüngste Mädchen, die im roten T-Shirt ver"
Ein Skateboarder in einem schwarzen T-Shirt und Jeans fährt durch die Stadt.,A skateboarder in a black t-shirt and jeans skating threw the city.,Ein Skateboarder im schwarzen Teeschläger und jeanskoner
Ein Mann in einer Jacke macht Fotos von einem großen Gebäude.,A man in a jacket is taking a photograph of a large building.,Ein Mann mit einem Jacket warst um einen großen Bau und fot
Menschen an der Seitenlinie bei einem Fußballspiel.,People on the sideline of a soccer match.,"Die Personen auf der Asche des Fußballsspieles.
"
Auf diesem Foto eilt eine vierköpfige Familie über eine geschäftige Straße in der Stadt.,In this photo there is a family of four dashing across a busy street in the city.,Das Bild zeigt einfamilie vier mit dem ganzen Körper
Eine Menschengruppe läuft bei Sonnenschein die Straße hinunter.,A group of people walk down the street in the sun.,Vielleicht eine Gattung von Personen schwimmen auf dem Str
"Eine Straße bei einer Ampel mit mehreren Personen, darunter ein Mann in einem braunen Mantel und Sonnenbrille, der seine Hand ans Gesicht hält.",A street near a stoplight with several people including a man wearing a brown coat and sunglasses with his hand to his face.,"The translation of the sentence is ""Das Straße befindet sich nach dem"
Ein paar Pflanzen wachsen beim Fenster.,Some plants are growing near the window.,"Unzenieelle Pflanze sind im Zimmern gehört.
"
Dieser Spieler mit dem blauen Helm war in einem Baseballspiel zwischen zwei Teams gerade am Schlagmal und ist gerade mit dem Schlagen fertig.,This player with the blue helmet was at bat and just finished swinging at the ball during a team baseball game.,Dieser Spieler mit der blauen Haut wurde in Batschgew
"Die Frau im goldenen Mantel beeilt sich, um die U-Bahn zu erwischen.",The woman in the gold coat hurries to catch the subway.,Die Frau mit dem Goldkapsel kam zur Ufer für den S-
Einige Leute sitzen auf Bänken unter Reihen von Bäumen vor einem Gebäude.,Some people sit on benches under rows of trees in front of a building.,Vielen Dank für diese Übersetzung! Ich habe die deutsche
Ein Mann im Anzug sitzt an einer Bushaltestelle.,A man in a suit is sitting at a bus stop.,Ein Mann mit einem Schuß hat sich im Bahnhof gefangen
Ein afroamerikanischer Mann ist umgeben von umgedrehten weißen Eimern und dunkleren Kisten und drückt sich über eine handgeschriebene Nachricht auf einem Stück Karton aus.,An African American man surrounded by empty overturned white buckets and dark colored crates expresses himself through a message handwritten on cardboard.,"Der einzige Afrikaner, mit schwarzen Kraten und grü"
Eine junge brünette Frau isst und trinkt etwas.,A young brunette woman eating and drinking something.,Eine jüngheuerbraune Frau essen und gehen einen Wein
Ein Mann in einem Anzug und mit Hut spielt auf der Straße Gitarre.,A man in a suit and hat is playing the guitar on the street.,Ein Mann mit der Schuhe und Haut spielte einen Guitare an
Eine Frau in einer roten Weste arbeitet am Computer.,A woman in a red vest working at a computer.,"Frauin mit roten Schützenvest bei einem Computer.
"
Personen stehen um Räucherstäbchen herum und wedeln sich den Rauch ins Gesicht.,"People standing around incense, wafting the smoke into their faces.","Auf dem Boden standen Menschen, um den Schmutz aus der Gesch"
"Ein Mann verwendet den Badezimmerspiegel, um seine Krawatte zu binden.",A man using the bathroom mirror to tie his tie.,"Ein Mann mit dem Gartenbauern-Mirrors zu schaffen, e"
Mehrere Personen spielen Musik während eine gut gelaunte Menge sitzt und zuhört.,Music being played by several individuals while a happy crowd sits and listens.,"Musik überlebte sich vier Personen, wie eine g"
"Zwei junge Männer fahren auf einem sehr kleinen Wagen voller Kartoffeln, der von einem Pferd gezogen wird.",Two young men riding on a very small horse-drawn wagon full of potatoes.,Zwei junges Manns schon einmal mit einem kleineren Pfer
Eine Frau in einem Klid geht auf der Straße an einer Baustelle vorbei.,A woman in a dress walking down the street past a construction site.,Eine Frau im Schuh wärts an der Straße beim Bau
"Ein Mitarbeiter in einem Laden fragt einen Kunden, der Alkohol kauft, nach seinem Alter und einem Ausweis.",A clerk in a convenience store asks a customer buying alcohol for his age and identification.,"Das Geheimnisvolle Gerät ist ein Geschenk, um alle"
Ein Mann mit Sonnenbrille bedient ein Baufahrzeug und lädt Kies auf den Boden ab.,A man with sunglasses is operating a construction automobile and releasing gravel on to the ground.,Ein Mann mit Schutzglasen ist gewidmet und Operiert einen
Ein Baby spielt mit seinem Spielzeug und betrachtet eine schwarz-weiße Katze.,A baby playing with her toys looking at a black and white cat.,"Ein Kind spielt mit seinem Taschen, weil er einen klein"
Eine Teenagerin trägt eine Gitarre im Wald.,A teenage girl is carrying a guitar in the woods.,Ein jüngliches Mädchen liest eine Guitare im Wald
Ein Mann mit einem Rucksack geht eine Straße hinunter.,A man wearing a backpack is walking down the street.,"Ein Mann mit einem Backpack geht an der Strasse.
"
Zwei Männer unterhalten sich vor einem Souvenirgeschäft in Rom.,Two men are having a conversation in front of a souvenir shop in Rome.,Die zwei Männer haben eine Geschichte untersucht im
Ein Frau in Schwarz hält etwas im Mund.,A woman in black is holding something in her mouth.,Ein Frau auf Schwarz ist gegenüber ihrem Augen e
"Eine Gruppe von Leuten sitzt im Freien um einen kleinen, kurzen Tisch.","A group of people sit outdoors around a small, short table.",Vielleicht eine Gruppe sind im Garten um einen kleinen und
Ein Mann fährt sein Fahrrad die Rampe hoch.,A man riding his bike up the ramp.,"Ein Mann runden seit dem Rampen.
"
Eine Frau in einem schwarzen Tank-Top mit einem Kreuz-Halsband blickt kurz vor Sonnenuntergang in die Ferne.,A woman wearing a black tank top and a cross necklace stares off into the distance near sunset.,Ein Frau mit einem Schwarzkopf und weißem Nachrichten
Drei junge Mädchen gehen gemeinsam auf dem Gehsteig.,Three young girls are walking together down the sidewalk.,"Die drei Tochterinseler sind entfaltet, weil s"
Eine Frau mit langen Haaren bei einer Abschlussfeier.,A woman with long hair is at a graduation ceremony.,Eine Frau mit langem Haut befindet sich in einem Graduationst
Ein Mann fährt auf einer Straße Skateboard während ihm ein anderer Mann vom Gehsteig aus zusieht.,A man is skateboarding on a road while another man watches from the sidewalk.,"Ein Mann spielt mit dem Schleife im Strasse, um andere Mann z"
Ein Mann in einer schwarzen Lederjacke steht vor einem Schild.,A man in a black leather coat is standing in front of a sign.,Der Mann mit einem schwarzen Leathercoat standt im Front von einer Fabel
Ein Mann und eine Frau singen gemeinsam im Freien.,A male and female singing a song together outside.,Ein Mädchen und eine Frau singen einen Lied an der G
Ein junges Mädchen mit gelockten blonden Haaren in einem weißen Top liegt im Gras und hält einen Blumenstiel.,"A young girl with curly blond-hair and wearing a white top lies in the grass, holding a flower stem.",Ein junge Mädchen mit kurzelen Haar und weißem
Eine Frauenfußballmannschaft in grünen Trikots macht eine Dehnübung.,A young women's soccer team with green uniforms is performing a stretching exercise.,Die junge Frauenarmee mit grünen Schuhe schafft e
Eine Frau spielt in der Öffentlichkeit eine dramatische Szene hinter gelbem Absperrband.,A woman acts out a dramatic scene in public behind yellow caution tape.,Ein Frau dramatisch spielt eine Skandal im Garten mit gelb
Ein Mann bückt sich und macht Hausarbeiten während im Hintergrund Tauben vorbeilaufen.,"A man crouches while doing chores, as pigeons wander in the background.","Ein Mann krügt um die Tagezeiten, als Pigeon"
Eine Gruppe von Männern steht auf einem Feld aus schwarzen Bällen.,A group of men standing on a field of black balls.,"Ein Gruppe von Mannen standt um einem Feld von Schwarzballen.
"
Ein geschäftiger Tag auf einem städtischen Platz.,A busy day for citizens at a local city court.,Das erste Tag in einer kölner Stadtgerichtshof war v
Ein Mann mit einer Zigarette im Mund macht sich einen Teller mit Essen.,A man with a cigarette in his mouth fixing a plate of food.,Er hat ein Kuchen mit seinem Kopf gekocht und eine Pl
Zwei Gruppen von Schwimmern waten ins Wasser.,Two groups of swimmers wade out.,"Zwei Gruppen im Meer schwimmen.
"
Menschen sitzen auf einer Bank auf einem Platz in der Stadt während in der Nähe zufällige Gegenstände wie eine Lampe und ein Mannequin stehen.,People sit on a bench in a city square with random objects including a lamp and a dressmakers form standing nearby.,In den Stadtplatz sind Menschen mit einem Bench im Raum befind
Die Arbeiter stehen um ein Loch mit einem Eimer herum.,The workers are surrounding a hole with a bucket.,Die Arbeitnehmer sind um ein Haken mit einer Büchse
Ein Mann ohne Hemd in schwarzen Shorts steht an einer felsigen Küste neben einem großen Gewässer.,A shirtless man in black shorts is standing on the rocky shore to a large body of water.,"Der andere Mensch, nach der schwarzen Schutze zu einem gro"
Ein Wachmann hält Wache während seiner Schicht.,A guard is on the look out while on duty.,Un Schütze ist auf dem Ausweg weiter als zur D
"Leute spielen Pool, einer davon ist ein Mann in einem blauen Hemd, der Rest sind Frauen, deren Köpfe allerdings nicht im Bild sind.","People playing pool, one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot.","Vier Frauen spielen Pool, ein Mann in der Farbe Blau s"
Leute stehen vor einer von Wasser umgebenen Skulptur.,People are standing in front of a sculpture surrounded by water.,"Menschen stand bei einem schönen Skulptur, umwandlungen"
