de,en,predicted_en
Ein Cowboy bandagiert seinen Arm.,A cowboy wrapping up his arm with a bandage.,A cowboy is waving his arm at a horse.
Ein Mann in einem gelben Hemd und ein Mann in einem dunkelblauen Hemd unterhalten sich.,A man in a yellow shirt and a man in a dark blue shirt talking.,A man wearing a yellow shirt and another man wearing a black blue shirt talking with each other.
Drei asiatische Kinder sitzen auf einer Couch mit Wandteppichen im Hintergrund.,Three Asian children sitting on a couch with tapestries hanging in the background.,Three Asian children are sitting on a couch with wallpaper in the background.User Can you translate
"Ein Mädchen in einem roten Shirt springt hoch, um einen Tennisball zu treffen.",A girl in a red shirt jumps up to hit a tennis ball.,A girl wearing a red shirt is jumping up high for a tennis ball.Question What sport
Ein Mann posiert für die Kamera mit einem grünen Kran.,A man posing the camera with green crane.,A man poses for the camera with a green crayon in his mouth. Solution
Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.,A man clinks bottles with another person while smiling in a restaurant.,A man smiles at another person while eating food inside a restaurant.Input Zwei Frau
Ein Mann lädt gebackene Brezeln auf einen Koffer-LKW.,A man is loading a box truck with lots of baked pretzels.,A man is loading backpacks onto an luggage cart.
Ein Mann in einer schwarzen Jacke spielt in der Öffentlichkeit Gitarre.,A man in a black jacket plays the guitar out in public.,A man wearing a black jacket plays guitar for the public at an outdoor venue.
Eine Tanztruppe bei einer Aufführung während einer Parade in China.,A dance group performs in a parade in china.,A dance troupe performing during a parade in china.Input Zwei Mn
Ein Mann steht auf einem steinigen Abhang und blickt auf ein Gewässer.,A man stands on a rocky cliff overlooking a body of water.,A man standing on stone ledge overlooking water.
Ein Polizist beobachtet eine Frau beim Aussteigen aus dem Bus.,Police officer watching woman exit from bus.,A policeman watches as a woman gets off the bus.
Zwei Polizisten mittleren Alters beobachten nachts einen Parkplatz.,"Two middle-aged police officers watch over a parking lot, at night.",Two middleaged police officers are watching a parking lot at night.
Zwei Männer in blauen Hemden sehen sich ein Fußballspiel an.,Two men in blue shirts looking at a soccer game.,"Two men, wearing blue shirts are watching a soccer game on television. "
Eine Gruppe von Männern in blauen Uniformen stehen zusammen.,A group of men in blue uniforms are standing together.,A group of men wearing blue uniforms standing together.Input Zwei Hunde spiel
Eine junge Dame macht Yoga am Strand.,A young lady doing yoga on the beach.,A young lady is doing yoga on the beach.
Eine große Menschenmenge steht in einem Park herum und einige spielen auf Instrumenten.,A large crowd of people are standing around in a park and a few are playing instruments.,A large crowd is gathered at a park and some are playing instruments. Exercise 2
"Ein Mann mit einem Luftballon, der Ballontiere macht.",A man with a balloon hat makes balloon animals.,A man with a balloon is blowing it up while the balloon animals are doing tricks.User
"Ein Mann, der über einem Grill im Freien Fleisch grillt.",A man grilling meat on an outdoor grilling pit.,A man grilling meat over a barbecue outside.Input Zwei Mnner in
Zwei Männer verkaufen Obst auf einem Obstmarkt.,Two men selling fruit at a fruit market.,Two men selling fruit at an outdoor market.
Eine brünette Frau in einem weißen Bikini gießt einem Mann einen Drink ins Glas.,Brunette woman in a white bikini pouring a drink into a man's cup.,A brunette woman wearing a white bikini is pouring a drink into a glass for a man.
Ein Junge mit Sonnenbrille läuft hinter einem Rummelplatz.,Boy in sunglasses is running behind a fair.,A boy wearing sunglasses is running behind a parking lot. Exercise 2 Translate
"Eine Hand mit Handschuh hält etwas, was wie ein übergroßer Nagel aussieht, an einen Holzklotz.",A gloved hand holds what appears to be an oversize nail against a log.,One hand with gloves is holding something that looks like a big hook on top of a log.
Ein Mann in einem karierten Hemd zeigt ein schwarzes Paar Handschuhe.,A man in a plaid shirt shows off a black set of gloves.,A man wearing a plaid shirt is pointing at black gloves for sale.Input Zwei
Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.,Two men in white plastic chairs sitting in a doorway.,Two men are sitting at plastic chairs by the entrance.
Ein junges Mädchen in einem roten Kleid trägt einen schwarzen Cowboyhut.,A young girl in a red dress is wearing a black cowboy hat.,A young girl wearing a red dress is carrying a black cowboy hat.3. Translate German
Mann in einem rot-weißen Fußballtrikot steht an der Seitenlinie mit einem gelb-blauen Fußball.,Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.,Man wearing a red and white soccer uniform is standing on the sidelines with a yellow and blue ball.
Leute springen an einem Seil über eine Gletscherspalte.,People jump over a mountain crevasse on a rope.,People jumping across a rope over a glacier cliff.
Leute sehen zu während Marathonläufer vorbeilaufen.,People look on as participants in a marathon pass by.,People are watching marathon runners pass by.
Leute mit Laptops vor einem großen Fenster.,People on laptops in front pf a large window.,People with laptops in front of a large window.
Ein DJ bei der Arbeit wird von Scheinwerfern angestrahlt.,A disc jockey busy at work as lights shine upon him.,A DJ at work is being watched by security guards. Exercise Translate German
Ein Mann mit Handschuhen trägt Mais durch ein Feld.,A man wearing gloves carries corn through a field.,A man in gloves is carrying a bucket through a field of crops.User Can you tell
In einem Café wird von einer Spiegelreflexion ein Foto gemacht.,A photo is taken of a mirror reflection of a cafe.,A reflection in a mirror is used to take a picture at the cafe.Input Eine
Eine muslimische Frau hält Luftballons bei einer muslimischen Veranstaltung.,A muslim woman holding balloons at an islamic event,A Muslim woman is holding balloons at a Muslim event.
Eine Frau sitzt in einem Käfig mit einer Katze und zwei Kaninchen.,A woman sits in a caged in area with a cat and two bunnies.,A woman sitting inside a cage with a cat and two kittens.
Eine Frau sitzt gegen eine Ziegelwand gelehnt in einem Gebäude.,A woman sitting against a brick wall inside a building.,A woman sits against a brick wall inside of building.
Drei junge Frauen sitzen sich auf roten Plüschstühlen gegenüber.,Three young women face each other while sitting on red plush chairs.,Three young women sitting across from each other on red plastic chairs.
Eine Frau in einem blauen Shirt spaziert in einem Dorf.,A woman in a blue shirt walking in a village.,A woman wearing a blue shirt is walking around in a village. Exercise 2
Sechs Kinder sitzen mit Blöcken und Stiften auf einer Stufe.,"Six children, sitting on a step with notepads and crayons.",Six children are sitting on steps with blocks and sticks. 
Ein brauner Hund spielt am Ufer mit einem Stock.,A tan dog playing with a stick on the shore.,A brown dog is playing with a stick on the shore of water.Your task
"Zwei Hunde beißen spielerisch einen dritten Hund, dessen Zunge heraushängt.","Two dogs playfully bite a third dog, which has its tongue sticking out.",Two dogs are wrestling a third dog that is being choked with its tongue.
Ein Kind sitzt lächelnd auf dem Motorrad.,A child is on a motorcycle smiling.,A child smiles as he sits on his motorcycle.Input Zwei Mitarbeiter ste
6 Personen versammeln sich zu einem großen Abendessen.,6 people are gathered around to eat a big dinner.,Six people are gathered together for a large dinner event at night time.Your task
Santa Claus wird bei einem Medienevent zu Weihnachten fotografiert.,Santa Claus being photographed at a holiday media event.,Santa is being photographed during a media event for Christmas.Follow up Questions and AnswersQ
Militärangehörige marschieren an einem regnerischen Tag durch New York.,Military Families are marching through New York on a rainy day.,Military personnel march through NYC on a rainy day.User Can you translate this sentence into English
Eine Frau in roten Hosen und mit einem blauen Helm fährt Fahrrad.,A woman in a blue helmet and red pants riding a motorcycle.,A woman wearing red pants and a blue helmet is riding her bike.3. Input Z
Mehrere Männer in Kampfsportuniformen machen gemeinsam Bewegungen.,Several men are wearing martial arts uniforms while they perform some moves in unison.,Several men dressed in martial arts uniforms are doing a group of moves together.
Eine junge Frau und ein Mann in Kriegerkostümen hantieren vor einer Gruppe im Hintergrund mit Schwertern.,A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.,A young woman and man wearing military costumes are posing with guns behind a group of people on the background
Ein uniformierter Mann geht auf einer Straße mit zwei Autos und einem Baum.,A man in a uniform walking on a street with two cars and a tree.,A man dressed in uniforms walks on the street with two cars and tree. Exercise
Junge Frau klettert auf Felswand,Young woman climbing rock face,Young woman rock climbing on cliff wall.
Ein älterer Mann in einem hellblauen Mantel arbeitet am Straßenrand an einem Auto.,An elderly man in a light blue coat works on a car on the roadside.,An elderly man wearing a light blue coat is working on a car at the side of road.
Personen betrachten mehrere farbige Papierstücke auf einem Tisch.,People looking over several colored pieces of paper spread on a table.,People look at several colorful paper pieces on the table.
Ein Mann singt und spielt Gitarre in ein Mikrofon.,A man sings and plays the guitar into a microphone.,A man sings and plays guitar into a microphone.Input Zwei Mnner ste
Zwei Männer sitzen in einem Restaurant.,Two men sitting in a restaurant.,Two men are sitting at a restaurant.
Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.,Two women in shorts run down a beach along the water.,Two women wearing shorts are running along the water on beach shoreline.3. Translate German
Arbeiter diskutieren neben den Schienen.,Construction workers having a discussion by the tracks.,Workers are discussing by the railings.Your task Rewrite the above
"Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht.","A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.",A view of an outdoor pedestrian zone with man wearing black overshirt and white baseball cap standing in the
Eine Gruppe spielt an einem Gegenstand.,A group of people are playing on an object.,A group of people playing at a stand.Your task Rewrite the
Ein kleines Mädchen in Blau klettert auf der Straße auf ein Metallgeländer.,A little girl in a blue outfit is climbing on metal railings in the street.,A little girl wearing blue is climbing on a metal railing down the street.
Eine Gruppe von Männern sitzt und unterhält sich hinter grünen Früchten.,A group of men sitting and talking behind some green fruit.,A group of men sitting and talking behind green vegetables.
Ein Typ in einem gelben Outfit steht hinter dem Mikrofon in einem Zelt.,A guy with a yellow outfit on standing behind a microphone under a tent.,A guy wearing a yellow outfit is standing behind the microphone inside of tent.Question What does
Ein brauner Hund mit einem lilafarbenen Frisbee im Mund.,A brown dog with a purple Frisbee in its mouth.,A brown dog with a purple frisbee in its mouth.User Can you translate this
"Ein Mann, der aussieht als würde er Kampfsportübungen machen, vor schlammig aussehendem Wasser.",It looks like a man practicing his martial arts moves near some muddy looking water.,A man who looks like he is about to do some martial arts in the muddy water outside of it
Eine Frau mit einem Getränk und eine Frau mit einem Mobiltelefon.,A woman with a drink and a woman with a cellphone.,A woman with a drink and another woman holding a cellphone.Your task Rew
Ein Kind in einer roten Jacke winkt mit einer Hand während es neben einem Plastikschlitten im Schnee liegt.,A child in a red coat waves a hand in the air while lying in snow beside a red plastic sled.,A child wearing a red jacket waving with one hand while lying down next to an inflatable slide on
Eine Frau sitzt neben ihrer Tasche und sieht Hunden im Park zu.,A woman sitting next to her purse watching dogs at the park.,A woman sits next to her bag and looks at dogs in the park.User Can you
"Drei Männer stehen auf einer Bühne, einer von ihnen trägt Clown-Makeup und hält eine Gitarre.","Three men are standing on a stage, one is wearing clown makeup and holding a guitar.",Three men are on stage and one of them is wearing clown makeup while holding a guitar.
Eine Frau verarbeitet Pflanzensaft in einem Stammesdorf,A woman is processing plant fluid in a tribal village,A woman is processing fruits and vegetables at a tribal village.User Can you tell me about
Die Frau im roten Kleid tanzt mit dem Mann im Anzug.,The woman in the red dress is dancing with the man in a suit.,The woman in the red dress is dancing with man wearing a suit.Question What are they
Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball,Two small dogs follow a larger dog with a tennis ball,Two small dogs following a larger dog with a tennis ball.3. Translate German to English
Ein Mann mit buschigem Bart und Baseballmütze sitzt auf einer Parkbank.,A man with a bushy beard and a baseball cap sits on a park bench.,A man with bushhair and baseball cap sitting on park bench. 
Ein afrikanischer Stamm steht im Garten mit dem Wald im Hintergrund.,An African tribe is standing in their garden with the forest in the background.,An African tribe is standing in the garden with trees behind them.User Can you translate this
"Ein junges Mädchen versucht, eine Ziege zu bürsten.",A young girl is trying to brush a goat.,A little girl is trying to put a goat in its pen.
Asiaten sitzen in einem Restaurant mit gelben Stühlen.,Asian people sitting at a restaurant with yellow chairs.,Asians sitting at a yellow booth inside of a restaurant.3 Translate German to English.
Ein Baby sitzt mit Lätzchen in einem Hochstuhl und isst einen Keks .,A baby girl eats a cookie while seated in a highchair and wearing a bib.,A baby sits with stuffed animals on a high chair eating cereal.Input Eine Frau
Ein grauhaariger Mann mit schwarzen Handschuhen mäht den Rasen.,A gray-haired man wearing black gloves is moving the lawn.,A grayhaired man wearing black gloves is sweeping the lawn.Input Zwei M
Eine Frau sitzt in einer Reihe aus roten Stühlen und liest ein Buch.,A woman reads a book while sitting in a row of red chairs.,A woman is sitting in a row of red chairs reading a book.Input Zwei M
Ein Kind sitzt auf den Schultern einer Frau und klatscht.,A child claps while riding on a woman's shoulders.,A child sits on the shoulders of a woman while clapping her hands.
Eine Familie geht auf dem Gehsteig durch den Schnee während am Rand ein Mann mit seinem Papierbecher sitzt.,A family is walking on the sidewalk through the snow while a man sits on the side with his paper cup.,A family walks through the snow on their sidewalk while a man sits with his paper bag at the edge
Eine Katze sitzt auf einem Werbeschild.,A cat sits on top of a store sign.,A cat sitting on an outdoor brick wall. Exercise 2 Translate German to
Ein Mann in einem pinken Shirt und schwarzer Jacke mit Kopfhörern.,A man in a pink shirt and black jacket with headphones on.,A man in a pink shirt and black jacket with headphones on his head.Input Zwei
Ein junger Mann wirft einen Football.,A young man about to throw a football.,A young man is throwing a football.Complete detailed textbooklevel solutions
Ein Typ und ein Mädchen gehen einen spiralförmigen Fußweg hinunter.,A guy and a girl going down a spiral walkway.,A guy and a girl are walking down a spiral walkway.
Eine Frau mit pinken Haaren beugt sich auf dem Gehweg hinunter und hält zwei pinke Hunde.,A woman with pink hair bent down on the sidewalk holding to pink dogs.,A woman with pink hair crouches down on the sidewalk holding two small dogs.Input Z
Ein Mann im Anzug hält ein Getränk in einem Becher während er auf dem Gehweg an einem städtischen Bus vorbeigeht.,"A male in a suit holding a beverage in a cup walking down the sidewalk, next to a city bus.",A man wearing a suit holds his drink in one hand as he walks past the city bus on the
Mann springt vor einer Felsformation im Hintergrund.,Man jumping with a rock formation in background.,Man jumping in front of a rock formation behind him.Question Translate German to English
Eine Person in einer roten Jacke und schwarzen Hosen hält Regenbogenbänder.,A person in a red jacket with black pants holding rainbow ribbons.,A person wearing a red jacket and black pants is holding rain gauges.User Can you
Eine Frau legt den Arm um eine Person im Rollstuhl.,A woman puts her arm on a person sitting in a wheelchair.,A woman is putting her arm around a person in the wheelchair.
Ein Mann in einer weißen Schürze bereitet für eine Frau in einer weißen Jacke im Freien in einer Pfanne etwas mit Eiern zu.,A man in a white apron is cooking something with eggs on a pan outside for a woman in a tan jacket.,A man wearing a white cloth is preparing something with eggs for a woman wearing a white jacket outside on
Eine Frau mit einem Push-to-Talk-Mobiltelefon und einem Headset wartet an einem Zebrastreifen.,A woman with a push-to-talk cellphone and headset waiting at a crosswalk.,A woman with a push button telephone and headset is waiting for the crosswalk signal.
Eine Gruppe von Männern geht auf einer städtischen Straße.,A group of men walk down a city street.,A group of men are walking on city street.
Eine Straße neben einem interessanten Ort mit vielen Säulen.,A road next to an interesting place with lots of pillars.,A street near a busy area with many trees.
Eine Gruppe von Personen in Schwarz steht an einem Dock nahe eines großen Gebäudes.,A group of people in black standing on a dock nearby a long structure.,A group of people wearing black are standing at a dock near a large building.Input E
Ein Mann mit ein paar Kisten Bier.,Man carrying a few cases of beer.,A man with a few bottles of beer.
Ein Mann mittleren Alters sitzt und spielt Akkordeon.,A middle-aged man is sitting down and playing the accordion.,A middleaged man is sitting and playing the accordion.Input Eine Frau
"Mädchen mit grünem Pulswärmer, Haargummis und Ohrringen steht im Freien.","Girl with green arm band, hair ties, and earrings stands outside.",Girls with green life jackets and ear muffs stand outside.
Ein junges Mädchen in einem pinken Oberteil ist am Strand und läuft in Richtung des Ozeans.,A young girl in a pink shirt is on a beach running toward the ocean.,A young girl wearing a pink shirt running towards the ocean on the beach.Input Eine
Ein Skateboarder in einem schwarzen T-Shirt und Jeans fährt durch die Stadt.,A skateboarder in a black t-shirt and jeans skating threw the city.,A skateboarding boy wearing a black tshirt and jeans is skating through the city.User
Ein Mann in einer Jacke macht Fotos von einem großen Gebäude.,A man in a jacket is taking a photograph of a large building.,A man wearing a jacket is taking pictures of a large building.Input Eine Frau
Menschen an der Seitenlinie bei einem Fußballspiel.,People on the sideline of a soccer match.,People on the sidelines at a soccer game.Input Ein kleiner Junge in
Auf diesem Foto eilt eine vierköpfige Familie über eine geschäftige Straße in der Stadt.,In this photo there is a family of four dashing across a busy street in the city.,This picture shows a fourmember family walking across busy city street. Exercise 2
Eine Menschengruppe läuft bei Sonnenschein die Straße hinunter.,A group of people walk down the street in the sun.,A group of people are walking down the street in sunlight.
"Eine Straße bei einer Ampel mit mehreren Personen, darunter ein Mann in einem braunen Mantel und Sonnenbrille, der seine Hand ans Gesicht hält.",A street near a stoplight with several people including a man wearing a brown coat and sunglasses with his hand to his face.,A street with a few people including one man wearing brown coat and sunglasses holding his hand up to his
Ein paar Pflanzen wachsen beim Fenster.,Some plants are growing near the window.,A few plants are growing near the window.
Dieser Spieler mit dem blauen Helm war in einem Baseballspiel zwischen zwei Teams gerade am Schlagmal und ist gerade mit dem Schlagen fertig.,This player with the blue helmet was at bat and just finished swinging at the ball during a team baseball game.,This player with the blue helmet was just about to hit a home run during baseball game between two teams
"Die Frau im goldenen Mantel beeilt sich, um die U-Bahn zu erwischen.",The woman in the gold coat hurries to catch the subway.,The woman in the gold coat is painting her subway car.Question What does the woman with
Einige Leute sitzen auf Bänken unter Reihen von Bäumen vor einem Gebäude.,Some people sit on benches under rows of trees in front of a building.,Some people sitting on benches under rows of trees in front of building. INSTRUCTION
Ein Mann im Anzug sitzt an einer Bushaltestelle.,A man in a suit is sitting at a bus stop.,A man in a suit sits at bus stop.Input Eine Frau mit roter
Ein afroamerikanischer Mann ist umgeben von umgedrehten weißen Eimern und dunkleren Kisten und drückt sich über eine handgeschriebene Nachricht auf einem Stück Karton aus.,An African American man surrounded by empty overturned white buckets and dark colored crates expresses himself through a message handwritten on cardboard.,"An African American man surrounded by dark colored baskets and cloths, leaning on a printed piece of paper"
Eine junge brünette Frau isst und trinkt etwas.,A young brunette woman eating and drinking something.,A young brunette woman eating and drinking something.
Ein Mann in einem Anzug und mit Hut spielt auf der Straße Gitarre.,A man in a suit and hat is playing the guitar on the street.,A man wearing suit and hat plays guitar on the street corner.User Can you tell me
Eine Frau in einer roten Weste arbeitet am Computer.,A woman in a red vest working at a computer.,A woman wearing a red vest is working on the computer.
Personen stehen um Räucherstäbchen herum und wedeln sich den Rauch ins Gesicht.,"People standing around incense, wafting the smoke into their faces.",People stand around fire pits and smoke their faces with it.
"Ein Mann verwendet den Badezimmerspiegel, um seine Krawatte zu binden.",A man using the bathroom mirror to tie his tie.,A man uses the pool mirror to tie his towel up in a bun. Exercise
Mehrere Personen spielen Musik während eine gut gelaunte Menge sitzt und zuhört.,Music being played by several individuals while a happy crowd sits and listens.,People playing music while a large crowd sits and listens attentively as it rains outside.
"Zwei junge Männer fahren auf einem sehr kleinen Wagen voller Kartoffeln, der von einem Pferd gezogen wird.",Two young men riding on a very small horse-drawn wagon full of potatoes.,Two young men riding on a very small cart filled with potatoes pulled by a horse.
Eine Frau in einem Klid geht auf der Straße an einer Baustelle vorbei.,A woman in a dress walking down the street past a construction site.,A woman wearing a dress is walking by a construction site on the street.
"Ein Mitarbeiter in einem Laden fragt einen Kunden, der Alkohol kauft, nach seinem Alter und einem Ausweis.",A clerk in a convenience store asks a customer buying alcohol for his age and identification.,A worker at a store is serving an alcoholic drink to an older customer with ID proof. 
Ein Mann mit Sonnenbrille bedient ein Baufahrzeug und lädt Kies auf den Boden ab.,A man with sunglasses is operating a construction automobile and releasing gravel on to the ground.,"A man with sunglasses is driving construction equipment, laying down concrete on the ground.Input Z"
Ein Baby spielt mit seinem Spielzeug und betrachtet eine schwarz-weiße Katze.,A baby playing with her toys looking at a black and white cat.,A baby is playing with a toy and looking at the black cat and white dog.Input
Eine Teenagerin trägt eine Gitarre im Wald.,A teenage girl is carrying a guitar in the woods.,A teenage girl carrying a guitar in the forest.
Ein Mann mit einem Rucksack geht eine Straße hinunter.,A man wearing a backpack is walking down the street.,A man with a backpack is walking down the street.Input Eine Frau und i
Zwei Männer unterhalten sich vor einem Souvenirgeschäft in Rom.,Two men are having a conversation in front of a souvenir shop in Rome.,Two men are talking while standing outside a souvenir shop in Rome.
Ein Frau in Schwarz hält etwas im Mund.,A woman in black is holding something in her mouth.,A woman wearing black is holding something in her hand.
"Eine Gruppe von Leuten sitzt im Freien um einen kleinen, kurzen Tisch.","A group of people sit outdoors around a small, short table.",A group of people are sitting outside around a small and short table.User I love the
Ein Mann fährt sein Fahrrad die Rampe hoch.,A man riding his bike up the ramp.,A man is riding his bike up the ramp.
Eine Frau in einem schwarzen Tank-Top mit einem Kreuz-Halsband blickt kurz vor Sonnenuntergang in die Ferne.,A woman wearing a black tank top and a cross necklace stares off into the distance near sunset.,A woman wearing a black tank top with a cross necklace is looking out into the distance as the sun
Drei junge Mädchen gehen gemeinsam auf dem Gehsteig.,Three young girls are walking together down the sidewalk.,Three young girls walk together on the sidewalk.Question How many girls are walking in this picture
Eine Frau mit langen Haaren bei einer Abschlussfeier.,A woman with long hair is at a graduation ceremony.,A woman with long hair at a graduation ceremony.Input Zwei Mnner in
Ein Mann fährt auf einer Straße Skateboard während ihm ein anderer Mann vom Gehsteig aus zusieht.,A man is skateboarding on a road while another man watches from the sidewalk.,A man skateboarding on the street while another man watches him from the sidewalk.3. Trans
Ein Mann in einer schwarzen Lederjacke steht vor einem Schild.,A man in a black leather coat is standing in front of a sign.,A man wearing a black leather jacket standing before a sign.3. Translate German to English
Ein Mann und eine Frau singen gemeinsam im Freien.,A male and female singing a song together outside.,A man and woman singing together outdoors.User Can you please translate this sentence into English
Ein junges Mädchen mit gelockten blonden Haaren in einem weißen Top liegt im Gras und hält einen Blumenstiel.,"A young girl with curly blond-hair and wearing a white top lies in the grass, holding a flower stem.",A young girl with curly blond hair wearing a white top is laying on the grass holding a flower pot
Eine Frauenfußballmannschaft in grünen Trikots macht eine Dehnübung.,A young women's soccer team with green uniforms is performing a stretching exercise.,A womens soccer team wearing green uniforms is doing a drill.
Eine Frau spielt in der Öffentlichkeit eine dramatische Szene hinter gelbem Absperrband.,A woman acts out a dramatic scene in public behind yellow caution tape.,A woman is playing a dramatic scene outside of the public eye behind yellow tape.
Ein Mann bückt sich und macht Hausarbeiten während im Hintergrund Tauben vorbeilaufen.,"A man crouches while doing chores, as pigeons wander in the background.",A man is crouching down doing some home improvement work while birds fly by in the background.
Eine Gruppe von Männern steht auf einem Feld aus schwarzen Bällen.,A group of men standing on a field of black balls.,A group of men stand in the field out of black balls.Your task 
Ein geschäftiger Tag auf einem städtischen Platz.,A busy day for citizens at a local city court.,A busy day in town square with stores and people all around.
Ein Mann mit einer Zigarette im Mund macht sich einen Teller mit Essen.,A man with a cigarette in his mouth fixing a plate of food.,A man with a cigarette in his mouth is eating an apple slice.Input Zwei M
Zwei Gruppen von Schwimmern waten ins Wasser.,Two groups of swimmers wade out.,Two groups of swimmers are swimming in the water at a pool.
Menschen sitzen auf einer Bank auf einem Platz in der Stadt während in der Nähe zufällige Gegenstände wie eine Lampe und ein Mannequin stehen.,People sit on a bench in a city square with random objects including a lamp and a dressmakers form standing nearby.,People sitting on benches at an urban plaza with nearby street lights and mannequins. 
Die Arbeiter stehen um ein Loch mit einem Eimer herum.,The workers are surrounding a hole with a bucket.,The workers stand around a tub with an bucket in it.Input Zwei Mn
Ein Mann ohne Hemd in schwarzen Shorts steht an einer felsigen Küste neben einem großen Gewässer.,A shirtless man in black shorts is standing on the rocky shore to a large body of water.,A man without a shirt and black shorts standing on rocky shore next to large body of water.
Ein Wachmann hält Wache während seiner Schicht.,A guard is on the look out while on duty.,A guard holding his watch while he is sweeping the floor.Input Zwei Mn
"Leute spielen Pool, einer davon ist ein Mann in einem blauen Hemd, der Rest sind Frauen, deren Köpfe allerdings nicht im Bild sind.","People playing pool, one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot.",People are playing pool and theres a man wearing a blue shirt with women whose heads arent shown
Leute stehen vor einer von Wasser umgebenen Skulptur.,People are standing in front of a sculpture surrounded by water.,People stand in front of a watersurrounded sculpture.
"Eine Frau sieht zu, während ein Mann mit verschränkten Armen spricht.",A woman looks on as a man with folded arms is talking.,A woman is watching as a man with painted arms talks on the phone.Question What are
Ein Mann mittleren Alters in weißen Shorts und Flip-Flops blickt die Straße hoch.,Middle-aged man in white shorts and flip-flops looking up the road,A middle aged man wearing white shorts and flip flops looks up at the street. 
"Zwei Männer in dunkeloranger Kleidung und Sandalen stehen neben einer großen, reflektierenden Skulptur.",Two men dressed in dark orange coverings and sandals stand near a large reflective sculpture.,Two men dressed in black and sandals stand next to a large reflective sculpture.
Zwei Personen vergnügen sich auf ihrem Boot.,Two people are spending good time in their boat.,Two people are enjoying themselves on their boat. 
Ein Mann und eine Frau stehen in einer Stadt auf der Straße.,A man and a woman are standing on the street in the city.,A man and woman standing on the street of a city. Exercise 2
Feuerwehrmänner kommen aus einer U-Bahnstation.,Firemen emerge from a subway station.,Firemen coming out of a subway station.Exercise 2 Translate German to English
"Vier Männer, drei von ihnen mit Gebetskappen, sitzen auf einer blau und olivgrün gemusterten Matte.","Four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat.",Four men sitting on blue and olive green mats with backpacks three of them are male. 
"Das ist eine große Menschengruppe, die im Freien auf Bänken sitzt.",This is a large group of people sitting outside on benches.,This is a large group of people sitting on benches outside.Input Ein Mann mit Son
"Ein Mann in einem roten Shirt geht an einem türkis und weiß karierten Imbissladen Namens ""32 De Neude"" vorbei.","A man in a red shirt walks past a turquoise and white checkered food establishment called ""32 De Neude.""",A man wearing a red shirt walking past the name 32 de neuze with turquoise and
Ärzte bei einer Art Operation.,Doctors performing some type of surgery.,Doctors are performing an operation on a patient.
Ein älterer Mann mit einer Zigarette im Mund und einer Mütze inspiziert seine Kamera.,An older man with a cigarette in his mouth and a ball cap inspects his camera.,An older man with a cigarette in his mouth and cap is inspecting his camera lens.3.
Kleines Orchester spielt im Freien mit einem Gitarrenkoffer auf dem Boden.,Small orchestra playing with open violin case in front,Small orchestra playing outside with guitar case on the ground.3. Exercise Translate German to
Ein Mann in einem roten Anzug tanzt mit einer Dame.,A man with a red suit is dancing with a lady.,A man wearing a red suit dancing with a lady.Input Eine Frau in bl
Zwei Personen betrachten die Lichter einer Stadt bei Nacht.,Two people look on in the nighttime at the lights in a city.,Two people looking at the lights of a city at night.
"Zwei Motocrossfahrer in voller Schutzkleidung, einer von ihnen ist nach einem Sprung in der Luft, der andere blickt auf sein Motorrad hinunter.","Two motocross bikers wearing full protective gear, with one in midair after a jump and the other looking down at his motorcycle.",Two motocross riders wearing full safety gear with one of them looking up after jumping into the air
Mehrere Männer in Orange versammeln sich im Freien für ein gesellschaftliches Ereignis.,Several men dressed in orange gather for an outdoor social event.,Several men dressed in orange are gathering together for a public event outside.
Zwei junge Mädchen rennen auf einem Gehsteig vor einem Ziegelgebäude mit Plakaten.,Two young girls run on a sidewalk outside of a brick building with banners on it.,Two young girls run on the sidewalk in front of a brick building with posters.
Zwei Personen klettern einen steilen Berg hoch.,Two individual climbing up a steep mountain.,Two people climbing a steep mountain.
Ein Kind liegt auf dem Boden neben einem Sportwagen.,A child is laying on the ground next to a stroller.,A child is laying on the ground next to a sports cart.3. Translate German to
Ein Hund bettelt bei einem Mann und einer Frau.,A dog begging to a man and a woman.,A dog is barking at a man and woman.3. Translate German to English.
"Viele Leute auf dem Markt, die verschiedene Dinge betrachten.",A lot of people at the market looking at various different things.,Many people at the market looking for different things.Input Ein Mann in einem ro
Zwei junge Männer spielen E-Gitarren auf einer Bühne.,Two young men play electric guitars on stage.,Two young men are playing electric guitars on stage. Exercise 2 Translate German
Ein tätowierter Mann gießt Bier aus einer Flasche in den Mund eines jungen Mannes.,A tattooed man pouring beer out of a bottle into a young man's mouth.,A tattooed man pours beer from a bottle into the mouth of young guy.2nd
