en,de,ende
Two people are silhouetted against a lake reflecting a painted sky.,"Die Silhouetten von zwei Personen auf einem See, der einen bunten Himmel reflektiert.","Zwei Personen sind gegen einen See silhouetted, der einen gemalten Himmel widerspiegelt."
Several people sit at a table in formal clothing.,Mehrere formell gekleidete Personen sitzen an einem Tisch.,Mehrere Leute sitzen an einem Tisch in formaler Kleidung.
"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",Zwei Mädchen (eine in Blau und die andere in Pink) liefern sich ein Rennen auf Rollschuhen.,"Zwei Mädchen (eine in blau gekleidet, und eine in rosa gekleidet) rennen einander auf Rollerbahnen."
The four people sit on a pile of rocks.,Die vier Personen sitzen auf einem Haufen von Steinen.,Die vier Personen sitzen auf einem Haufen von Felsen.
A group of people do tricks on motorbikes.,Eine Gruppe macht Tricks auf Motorrädern.,Eine Gruppe von Leuten machen Tricks auf Motorrädern.
Bicyclist in racing gear rides through forest area.,Radfahrer in Rennmontur fährt durch ein Waldgebiet.,Radfahrer im Rennrad fährt durch Waldgebiet.
A man in a green shirt is walking on the beach carrying his sneakers.,Ein Mann in einem grünen Shirt spaziert am Strand mit seinen Turnschuhen in der Hand.,Ein Mann in grünem Hemd geht am Strand mit seinen Turnschuhen.
Several men standing around an antique race car,Mehrere Männer stehen um ein antikes Rennauto herum.,Mehrere Männer stehen um ein antikes Rennauto
Two men work under the hood of a white race car.,Zwei Männer arbeiten unter der Haube eines weißen Rennautos.,Zwei Männer arbeiten unter der Haube eines weißen Rennwagens.
Children jump off the edge into a pool.,Kinder Springen vom Rand in einen Pool.,Kinder springen von der Kante in einen Pool.
A man on the edge of a wall about to fall off.,Ein Mann steht am Rand einer Mauer und fällt gleich runter.,"Ein Mann am Rande einer Mauer, der gerade abfallen soll."
A woman in a striped outfit on a bike.,Eine Frau in einem gestreiften Outfit auf einem Fahrrad.,Eine Frau in gestreiftem Outfit auf einem Fahrrad.
A girl dressed in black is posing for the camera.,Ein schwarz gekleidetes Mädchen posiert für die Kamera.,Ein Mädchen in schwarz posiert für die Kamera.
Man in shorts standing by the water.,Ein Mann in Shorts steht am Wasser.,Mann in Shorts am Wasser stehend.
Four black men are sitting on the steps of a church.,Vier schwarze Männer sitzen auf den Stufen einer Kirche.,Vier schwarze Männer sitzen auf den Stufen einer Kirche.
A crane operates amidst piles of rubble.,Ein Kran arbeitet mitten in einem Schutthaufen.,Ein Kran arbeitet inmitten von Stapeln von Schrott.
A gymnast wearing red and white is mid-twirl on an uneven bar.,Eine Turnerin in Rot und Weiß in der Drehung auf einem ungeraden Balken.,"Ein Turner, der rot und weiß trägt, dreht sich auf einer ungleichmäßigen Stange."
An older lady in a green sweater picks out vegetables.,Eine ältere Dame in einem grünen Sweatshirt wählt Gemüse aus.,Eine ältere Frau in grünem Pullover holt Gemüse aus.
Two men are crafting items in a workshop with tools.,Zwei Männer stellen in einer Werkstatt mit Werkzeugen Gegenstände her.,Zwei Männer bearbeiten Gegenstände in einer Werkstatt mit Werkzeugen.
A teacher in white and a little girl wearing a yellow dress playing with building block.,Eine Lehrerin in Weiß und ein kleines Mädchen in einem gelben Kleid spielen mit Bauklötzen.,"Ein Lehrer in weiß und ein kleines Mädchen in gelbem Kleid, das mit Bausteinen spielt."
A young child sleeping in her bed with an open book on her chest.,Ein kleines Kind schläft in seinem Bett mit einem offenen Buch auf der Brust.,"Ein junges Kind, das im Bett mit einem offenen Buch auf der Brust schläft."
A woman eating in the grass on a beautiful day.,Eine Frau isst an einem schönen Tag auf dem Gras.,Eine Frau essen im Gras an einem schönen Tag.
A man walks down a cobblestone street next to buildings painted tan with red eaves.,Ein Mann geht auf einer Kopfsteinstraße neben Gebäuden mit roten Dachtraufen.,"Ein Mann geht durch eine steinerne Straße neben Gebäuden, die mit roten Ecken gemalt sind."
A woman wearing a hat with making bread.,Eine Frau mit einem Hut macht Brot.,"Eine Frau, die einen Hut trägt und Brot macht."
A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field.,"Eine einzelne Frau verwendet einen großen einfachen Stößel und Mörser, um Pflanzenmaterial zu zerdrücken, während sie auf einem Stoppelfeld steht.","Eine alleinstehende Frau verwendet einen großen primitiven Mörser und Schädling, um Pflanzenmaterial zu zerkleinern, während sie in einem Staubfeld steht."
A man in a karate is performing in front of two judges.,Ein Mann in einem Karateanzug macht eine Vorführung vor zwei Punktrichtern.,Ein Mann im Karate tritt vor zwei Richtern auf.
A man in formal attire plays a piano on the sidewalk of a city street.,Ein formell gekleideter Mann spielt Klavier auf dem Gehsteig an einer städtischen Straße.,Ein Mann in formeller Kleidung spielt ein Klavier auf dem Gehweg einer Stadtstraße.
"An elderly man sitting in a chair, eating some snacks.",Ein älterer Mann sitzt in einem Stuhl und isst ein paar Snacks.,Ein älterer Mann sitzt auf einem Stuhl und frisst Snacks.
A woman in a white shirt works behind the counter at a cafe.,Eine Frau in einem weißen Hemd arbeitet hinter dem Tresen in einem Café.,Eine Frau in weißem Hemd arbeitet hinter dem Tresen in einem Café.
A man with work clothes on standing on the back of a truck.,Ein Mann in Arbeitskleidung steht auf der Ladefläche seines Lasters.,Ein Mann mit Arbeitskleidung auf dem Rücken eines LKWs stehen.
Two children looking at horses through a small fence.,Zwei Kinder beobachten Pferde durch einen kleinen Zaun.,Zwei Kinder schauen auf Pferde durch einen kleinen Zaun.
A window with some type of design painted on it.,Ein Fenster mit einem aufgemalten Design.,Ein Fenster mit etwas Design bemalt.
A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe.,Eine Frau in einem knallrosa Mantel steht vor einer Vitamin Shoppe-Filiale und macht eine Grimasse in Richtung einer Frau in einem violetten Mantel.,"Eine Frau, die einen hellen rosa Overcoat trägt, macht ein Gesicht zu einer Frau, die einen lila Overcoat trägt, während sie vor einem Vitamin Shoppe steht."
A cowboy wrapping up his arm with a bandage.,Ein Cowboy bandagiert seinen Arm.,Ein Cowboy wickelt seinen Arm mit einer Bandage.
A man in a yellow shirt and a man in a dark blue shirt talking.,Ein Mann in einem gelben Hemd und ein Mann in einem dunkelblauen Hemd unterhalten sich.,Ein Mann im gelben Hemd und ein Mann im dunkelblauen Hemd sprechen.
Three Asian children sitting on a couch with tapestries hanging in the background.,Drei asiatische Kinder sitzen auf einer Couch mit Wandteppichen im Hintergrund.,Drei asiatische Kinder sitzen auf einer Couch mit Tapeten im Hintergrund.
A girl in a red shirt jumps up to hit a tennis ball.,"Ein Mädchen in einem roten Shirt springt hoch, um einen Tennisball zu treffen.","Ein Mädchen in rotem Hemd springt auf, um einen Tennisball zu schlagen."
A man posing the camera with green crane.,Ein Mann posiert für die Kamera mit einem grünen Kran.,Ein Mann posiert die Kamera mit grünem Kran.
A man clinks bottles with another person while smiling in a restaurant.,Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.,"Ein Mann klinkt Flaschen mit einer anderen Person, während er im Restaurant lächelt."
A man is loading a box truck with lots of baked pretzels.,Ein Mann lädt gebackene Brezeln auf einen Koffer-LKW.,Ein Mann legt einen Box Truck mit vielen gebackenen Vorspeisen.
A man in a black jacket plays the guitar out in public.,Ein Mann in einer schwarzen Jacke spielt in der Öffentlichkeit Gitarre.,Ein Mann in schwarzer Jacke spielt in der Öffentlichkeit die Gitarre.
A dance group performs in a parade in china.,Eine Tanztruppe bei einer Aufführung während einer Parade in China.,Eine Tanzgruppe spielt in einer Parade in China.
A man stands on a rocky cliff overlooking a body of water.,Ein Mann steht auf einem steinigen Abhang und blickt auf ein Gewässer.,Ein Mann steht auf einem felsigen Klippe mit Blick auf einen Wasserkörper.
Police officer watching woman exit from bus.,Ein Polizist beobachtet eine Frau beim Aussteigen aus dem Bus.,Polizeibeamte beobachten Frau Ausfahrt aus dem Bus.
"Two middle-aged police officers watch over a parking lot, at night.",Zwei Polizisten mittleren Alters beobachten nachts einen Parkplatz.,Zwei Polizisten mittleren Alters bewachen nachts einen Parkplatz.
Two men in blue shirts looking at a soccer game.,Zwei Männer in blauen Hemden sehen sich ein Fußballspiel an.,Zwei Männer in blauen Hemden schauen auf ein Fußballspiel.
A group of men in blue uniforms are standing together.,Eine Gruppe von Männern in blauen Uniformen stehen zusammen.,Eine Gruppe von Männern in blauen Uniformen stehen zusammen.
A young lady doing yoga on the beach.,Eine junge Dame macht Yoga am Strand.,Eine junge Frau macht Yoga am Strand.
A large crowd of people are standing around in a park and a few are playing instruments.,Eine große Menschenmenge steht in einem Park herum und einige spielen auf Instrumenten.,Eine große Menge Leute stehen im Park herum und einige spielen Instrumente.
A man with a balloon hat makes balloon animals.,"Ein Mann mit einem Luftballon, der Ballontiere macht.",Ein Mann mit einem Ballonhut macht Ballontiere.
A man grilling meat on an outdoor grilling pit.,"Ein Mann, der über einem Grill im Freien Fleisch grillt.",Ein Mann Grillen Fleisch auf einem Grillplatz im Freien.
Two men selling fruit at a fruit market.,Zwei Männer verkaufen Obst auf einem Obstmarkt.,Zwei Männer verkaufen Obst auf einem Obstmarkt.
Brunette woman in a white bikini pouring a drink into a man's cup.,Eine brünette Frau in einem weißen Bikini gießt einem Mann einen Drink ins Glas.,Brunette Frau in einem weißen Bikini gießt ein Getränk in einen Männerbecher.
Boy in sunglasses is running behind a fair.,Ein Junge mit Sonnenbrille läuft hinter einem Rummelplatz.,Ein Junge in Sonnenbrille läuft hinter einer Messe.
A gloved hand holds what appears to be an oversize nail against a log.,"Eine Hand mit Handschuh hält etwas, was wie ein übergroßer Nagel aussieht, an einen Holzklotz.","Eine Hand mit Handschuhen hält, was anscheinend ein übergroßer Nagel gegen ein Block ist."
A man in a plaid shirt shows off a black set of gloves.,Ein Mann in einem karierten Hemd zeigt ein schwarzes Paar Handschuhe.,Ein Mann in einem geschnittenen Hemd zeigt eine schwarze Handschuhe.
Two men in white plastic chairs sitting in a doorway.,Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.,Zwei Männer in weißen Plastikstühlen sitzen in einer Tür.
A young girl in a red dress is wearing a black cowboy hat.,Ein junges Mädchen in einem roten Kleid trägt einen schwarzen Cowboyhut.,Ein junges Mädchen in rotem Kleid trägt einen schwarzen Cowboy Hut.
Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.,Mann in einem rot-weißen Fußballtrikot steht an der Seitenlinie mit einem gelb-blauen Fußball.,Der Mann in roter und weißer Fußballuniform steht auf der Spielfeldgrenze mit gelbem und blauem Fußballball.
People jump over a mountain crevasse on a rope.,Leute springen an einem Seil über eine Gletscherspalte.,Auf einem Seil springen Menschen über eine Bergschlucht.
People look on as participants in a marathon pass by.,Leute sehen zu während Marathonläufer vorbeilaufen.,Die Leute sehen sich als Teilnehmer an einem Marathon vorbei.
People on laptops in front pf a large window.,Leute mit Laptops vor einem großen Fenster.,Menschen auf Laptops vor pf ein großes Fenster.
A disc jockey busy at work as lights shine upon him.,Ein DJ bei der Arbeit wird von Scheinwerfern angestrahlt.,"Ein Disc-Jockey beschäftigt an der Arbeit, wie Lichter strahlen auf ihn."
A man wearing gloves carries corn through a field.,Ein Mann mit Handschuhen trägt Mais durch ein Feld.,Ein Mann mit Handschuhen trägt Mais durch ein Feld.
A photo is taken of a mirror reflection of a cafe.,In einem Café wird von einer Spiegelreflexion ein Foto gemacht.,Ein Foto wird von einer Spiegelreflexion eines Cafés aufgenommen.
A muslim woman holding balloons at an islamic event,Eine muslimische Frau hält Luftballons bei einer muslimischen Veranstaltung.,Eine muslimische Frau hält Ballons bei einem islamischen Ereignis
A woman sits in a caged in area with a cat and two bunnies.,Eine Frau sitzt in einem Käfig mit einer Katze und zwei Kaninchen.,Eine Frau sitzt in einem Käfig in der Gegend mit einer Katze und zwei Hasen.
A woman sitting against a brick wall inside a building.,Eine Frau sitzt gegen eine Ziegelwand gelehnt in einem Gebäude.,Eine Frau sitzt gegen eine Ziegelwand in einem Gebäude.
Three young women face each other while sitting on red plush chairs.,Drei junge Frauen sitzen sich auf roten Plüschstühlen gegenüber.,"Drei junge Frauen stehen sich gegenüber, während sie auf roten Plüschstühlen sitzen."
A woman in a blue shirt walking in a village.,Eine Frau in einem blauen Shirt spaziert in einem Dorf.,Eine Frau in einem blauen Hemd wandelt in einem Dorf.
"Six children, sitting on a step with notepads and crayons.",Sechs Kinder sitzen mit Blöcken und Stiften auf einer Stufe.,Sechs Kinder sitzen auf einem Stufen mit Notizbüchern und Leuchten.
A tan dog playing with a stick on the shore.,Ein brauner Hund spielt am Ufer mit einem Stock.,"Ein gebräuchlicher Hund, der mit einem Stock am Ufer spielt."
"Two dogs playfully bite a third dog, which has its tongue sticking out.","Zwei Hunde beißen spielerisch einen dritten Hund, dessen Zunge heraushängt.","Zwei Hunde kochen spielerisch einen dritten Hund, der seine Zunge heraussteckt."
A child is on a motorcycle smiling.,Ein Kind sitzt lächelnd auf dem Motorrad.,Ein Kind lächelt auf einem Motorrad.
6 people are gathered around to eat a big dinner.,6 Personen versammeln sich zu einem großen Abendessen.,6 Leute versammeln sich um ein großes Abendessen zu essen.
Santa Claus being photographed at a holiday media event.,Santa Claus wird bei einem Medienevent zu Weihnachten fotografiert.,Weihnachtsmann wird bei einem Feiertags-Medienereignis fotografiert.
Military Families are marching through New York on a rainy day.,Militärangehörige marschieren an einem regnerischen Tag durch New York.,Militärfamilien marschieren an einem regnerischen Tag durch New York.
A woman in a blue helmet and red pants riding a motorcycle.,Eine Frau in roten Hosen und mit einem blauen Helm fährt Fahrrad.,Eine Frau in blauem Helm und roten Hosen auf einem Motorrad.
Several men are wearing martial arts uniforms while they perform some moves in unison.,Mehrere Männer in Kampfsportuniformen machen gemeinsam Bewegungen.,"Einige Männer tragen Kampfkunstuniformen, während sie einige Bewegungen im Einklang ausführen."
A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.,Eine junge Frau und ein Mann in Kriegerkostümen hantieren vor einer Gruppe im Hintergrund mit Schwertern.,"Eine junge Frau und ein Mann in Kriegerkostüm gekleidet, der mit einer Gruppe von Leuten im Hintergrund Stöcke legt."
A man in a uniform walking on a street with two cars and a tree.,Ein uniformierter Mann geht auf einer Straße mit zwei Autos und einem Baum.,Ein Mann in Uniform geht auf einer Straße mit zwei Autos und einem Baum.
Young woman climbing rock face,Junge Frau klettert auf Felswand,Junge Frau Klettern Fels Gesicht
An elderly man in a light blue coat works on a car on the roadside.,Ein älterer Mann in einem hellblauen Mantel arbeitet am Straßenrand an einem Auto.,Ein älterer Mann in einem hellblauen Mantel arbeitet an einem Auto am Straßenrand.
People looking over several colored pieces of paper spread on a table.,Personen betrachten mehrere farbige Papierstücke auf einem Tisch.,Die Leute schauen über mehrere farbige Stücke Papier auf einem Tisch.
A man sings and plays the guitar into a microphone.,Ein Mann singt und spielt Gitarre in ein Mikrofon.,Ein Mann singt und spielt die Gitarre in ein Mikrofon.
Two men sitting in a restaurant.,Zwei Männer sitzen in einem Restaurant.,Zwei Männer sitzen in einem Restaurant.
Two women in shorts run down a beach along the water.,Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.,Zwei Frauen in Shorts laufen am Strand entlang des Wassers.
Construction workers having a discussion by the tracks.,Arbeiter diskutieren neben den Schienen.,Bauarbeiter haben eine Diskussion an den Gleisen.
"A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.","Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht.","Ein Blick auf eine Fußgängerstraße, mit einem Mann in einer schwarzen Vorderfläche und einer weißen Baseballmütze in der Mitte des Bildes stehend."
A group of people are playing on an object.,Eine Gruppe spielt an einem Gegenstand.,Eine Gruppe von Leuten spielen auf einem Objekt.
A little girl in a blue outfit is climbing on metal railings in the street.,Ein kleines Mädchen in Blau klettert auf der Straße auf ein Metallgeländer.,Ein kleines Mädchen in einem blauen Outfit klettert auf Metallschienen in der Straße.
A group of men sitting and talking behind some green fruit.,Eine Gruppe von Männern sitzt und unterhält sich hinter grünen Früchten.,Eine Gruppe von Männern sitzen und sprechen hinter einigen grünen Früchten.
A guy with a yellow outfit on standing behind a microphone under a tent.,Ein Typ in einem gelben Outfit steht hinter dem Mikrofon in einem Zelt.,"Ein Mann mit einem gelben Outfit, der hinter einem Mikrofon unter einem Zelt steht."
A brown dog with a purple Frisbee in its mouth.,Ein brauner Hund mit einem lilafarbenen Frisbee im Mund.,Ein brauner Hund mit einem lila Frisbee im Mund.
It looks like a man practicing his martial arts moves near some muddy looking water.,"Ein Mann, der aussieht als würde er Kampfsportübungen machen, vor schlammig aussehendem Wasser.","Es sieht aus wie ein Mann, der seine Kampfkünste praktiziert, sich in der Nähe von etwas schmutzig aussehendem Wasser bewegt."
A woman with a drink and a woman with a cellphone.,Eine Frau mit einem Getränk und eine Frau mit einem Mobiltelefon.,Eine Frau mit einem Getränk und eine Frau mit einem Handy.
A child in a red coat waves a hand in the air while lying in snow beside a red plastic sled.,Ein Kind in einer roten Jacke winkt mit einer Hand während es neben einem Plastikschlitten im Schnee liegt.,"Ein Kind in einem roten Mantel wackelt eine Hand in die Luft, während es neben einem roten Kunststoff Schlitten im Schnee liegt."
A woman sitting next to her purse watching dogs at the park.,Eine Frau sitzt neben ihrer Tasche und sieht Hunden im Park zu.,Eine Frau sitzt neben ihrem Geldbeutel und beobachtet Hunden im Park.
"Three men are standing on a stage, one is wearing clown makeup and holding a guitar.","Drei Männer stehen auf einer Bühne, einer von ihnen trägt Clown-Makeup und hält eine Gitarre.","Drei Männer stehen auf der Bühne, einer trägt Clown Make-up und hält eine Gitarre."
A woman is processing plant fluid in a tribal village,Eine Frau verarbeitet Pflanzensaft in einem Stammesdorf,Eine Frau verarbeiten Anlagenflüssigkeit in einem Stammesdorf
The woman in the red dress is dancing with the man in a suit.,Die Frau im roten Kleid tanzt mit dem Mann im Anzug.,Die Frau im roten Kleid tanzt mit dem Mann im Anzug.
Two small dogs follow a larger dog with a tennis ball,Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball,Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball
A man with a bushy beard and a baseball cap sits on a park bench.,Ein Mann mit buschigem Bart und Baseballmütze sitzt auf einer Parkbank.,Ein Mann mit einem kräftigen Bart und einer Baseballmütze sitzt auf einer Parkbank.
An African tribe is standing in their garden with the forest in the background.,Ein afrikanischer Stamm steht im Garten mit dem Wald im Hintergrund.,Ein afrikanischer Stamm steht im Garten mit dem Wald im Hintergrund.
A young girl is trying to brush a goat.,"Ein junges Mädchen versucht, eine Ziege zu bürsten.","Ein junges Mädchen versucht, eine Ziege zu bürsten."
Asian people sitting at a restaurant with yellow chairs.,Asiaten sitzen in einem Restaurant mit gelben Stühlen.,Asiatische Leute sitzen in einem Restaurant mit gelben Stühlen.
A baby girl eats a cookie while seated in a highchair and wearing a bib.,Ein Baby sitzt mit Lätzchen in einem Hochstuhl und isst einen Keks .,"Ein kleines Mädchen frisst ein Cookie, während es in einem Hochstuhl sitzt und einen Biss trägt."
A gray-haired man wearing black gloves is moving the lawn.,Ein grauhaariger Mann mit schwarzen Handschuhen mäht den Rasen.,Ein grauhaariger Mann mit schwarzen Handschuhen bewegt den Rasen.
A woman reads a book while sitting in a row of red chairs.,Eine Frau sitzt in einer Reihe aus roten Stühlen und liest ein Buch.,"Eine Frau liest ein Buch, während sie in einer Reihe roter Stühle sitzt."
A child claps while riding on a woman's shoulders.,Ein Kind sitzt auf den Schultern einer Frau und klatscht.,"Ein Kind klappt, während es auf den Schultern einer Frau fährt."
A family is walking on the sidewalk through the snow while a man sits on the side with his paper cup.,Eine Familie geht auf dem Gehsteig durch den Schnee während am Rand ein Mann mit seinem Papierbecher sitzt.,"Eine Familie geht auf dem Gehweg durch den Schnee, während ein Mann mit seiner Papiertasse auf der Seite sitzt."
A cat sits on top of a store sign.,Eine Katze sitzt auf einem Werbeschild.,Eine Katze sitzt auf dem Schild eines Ladens.
A man in a pink shirt and black jacket with headphones on.,Ein Mann in einem pinken Shirt und schwarzer Jacke mit Kopfhörern.,Ein Mann in einem rosa Hemd und schwarzen Jacke mit Kopfhörern auf.
A young man about to throw a football.,Ein junger Mann wirft einen Football.,"Ein junger Mann, der einen Fußball werfen will."
A guy and a girl going down a spiral walkway.,Ein Typ und ein Mädchen gehen einen spiralförmigen Fußweg hinunter.,Ein Mann und ein Mädchen gehen auf einem spiralförmigen Gehweg.
A woman with pink hair bent down on the sidewalk holding to pink dogs.,Eine Frau mit pinken Haaren beugt sich auf dem Gehweg hinunter und hält zwei pinke Hunde.,"Eine Frau mit rosafarbenen Haaren, die sich auf dem Gehweg beugt und sich an rosafarbenen Hunden hält."
"A male in a suit holding a beverage in a cup walking down the sidewalk, next to a city bus.",Ein Mann im Anzug hält ein Getränk in einem Becher während er auf dem Gehweg an einem städtischen Bus vorbeigeht.,"Ein Männchen in einem Anzug hält ein Getränk in einer Tasse und geht den Bürgersteig hinunter, neben einem Stadtbus."
Man jumping with a rock formation in background.,Mann springt vor einer Felsformation im Hintergrund.,Man springt mit einer Felsformation im Hintergrund.
A person in a red jacket with black pants holding rainbow ribbons.,Eine Person in einer roten Jacke und schwarzen Hosen hält Regenbogenbänder.,"Eine Person in einer roten Jacke mit schwarzen Hose, die Regenbogenbanden hält."
A woman puts her arm on a person sitting in a wheelchair.,Eine Frau legt den Arm um eine Person im Rollstuhl.,"Eine Frau setzt ihren Arm auf eine Person, die in einem Rollstuhl sitzt."
A man in a white apron is cooking something with eggs on a pan outside for a woman in a tan jacket.,Ein Mann in einer weißen Schürze bereitet für eine Frau in einer weißen Jacke im Freien in einer Pfanne etwas mit Eiern zu.,Ein Mann in einem weißen Vorhang kocht etwas mit Eiern auf einer Pfanne draußen für eine Frau in einer schwarzen Jacke.
A woman with a push-to-talk cellphone and headset waiting at a crosswalk.,Eine Frau mit einem Push-to-Talk-Mobiltelefon und einem Headset wartet an einem Zebrastreifen.,Eine Frau mit einem Push-to-talk Handy und Kopfhörer wartet auf einem Querweg.
A group of men walk down a city street.,Eine Gruppe von Männern geht auf einer städtischen Straße.,Eine Gruppe von Männern geht eine Stadtstraße hinunter.
A road next to an interesting place with lots of pillars.,Eine Straße neben einem interessanten Ort mit vielen Säulen.,Eine Straße neben einem interessanten Ort mit vielen Säulen.
A group of people in black standing on a dock nearby a long structure.,Eine Gruppe von Personen in Schwarz steht an einem Dock nahe eines großen Gebäudes.,Eine Gruppe von Menschen in schwarz stehen auf einem Dock in der Nähe einer langen Struktur.
Man carrying a few cases of beer.,Ein Mann mit ein paar Kisten Bier.,Man trägt ein paar Gefäße Bier.
A middle-aged man is sitting down and playing the accordion.,Ein Mann mittleren Alters sitzt und spielt Akkordeon.,Ein Mann mittleren Alters sitzt und spielt das Akkordeon.
"Girl with green arm band, hair ties, and earrings stands outside.","Mädchen mit grünem Pulswärmer, Haargummis und Ohrringen steht im Freien.","Mädchen mit grünem Armband, Haarketten und Ohrringe steht draußen."
A young girl in a pink shirt is on a beach running toward the ocean.,Ein junges Mädchen in einem pinken Oberteil ist am Strand und läuft in Richtung des Ozeans.,Ein junges Mädchen in einem rosa Hemd läuft auf dem Strand in Richtung Meer.
A skateboarder in a black t-shirt and jeans skating threw the city.,Ein Skateboarder in einem schwarzen T-Shirt und Jeans fährt durch die Stadt.,Ein Skateboarder in einem schwarzen T-Shirt und Jeans Skating warf die Stadt.
A man in a jacket is taking a photograph of a large building.,Ein Mann in einer Jacke macht Fotos von einem großen Gebäude.,Ein Mann in einer Jacke fotografiert ein großes Gebäude.
People on the sideline of a soccer match.,Menschen an der Seitenlinie bei einem Fußballspiel.,Menschen auf der Seite eines Fußballspiels.
In this photo there is a family of four dashing across a busy street in the city.,Auf diesem Foto eilt eine vierköpfige Familie über eine geschäftige Straße in der Stadt.,"In diesem Foto gibt es eine Familie von vier, die über eine belebte Straße in der Stadt schlendert."
A group of people walk down the street in the sun.,Eine Menschengruppe läuft bei Sonnenschein die Straße hinunter.,Eine Gruppe von Menschen geht in der Sonne die Straße hinunter.
A street near a stoplight with several people including a man wearing a brown coat and sunglasses with his hand to his face.,"Eine Straße bei einer Ampel mit mehreren Personen, darunter ein Mann in einem braunen Mantel und Sonnenbrille, der seine Hand ans Gesicht hält.","Eine Straße in der Nähe einer Scheinwerfer mit mehreren Leuten einschließlich eines Mannes, der einen braunen Mantel und Sonnenbrillen mit der Hand zum Gesicht trug."
Some plants are growing near the window.,Ein paar Pflanzen wachsen beim Fenster.,Einige Pflanzen wachsen in der Nähe des Fensters.
This player with the blue helmet was at bat and just finished swinging at the ball during a team baseball game.,Dieser Spieler mit dem blauen Helm war in einem Baseballspiel zwischen zwei Teams gerade am Schlagmal und ist gerade mit dem Schlagen fertig.,Dieser Spieler mit dem blauen Helm war beim Schlagen und beendete gerade das Schwingen beim Ball während eines Team-Basisballspiels.
The woman in the gold coat hurries to catch the subway.,"Die Frau im goldenen Mantel beeilt sich, um die U-Bahn zu erwischen.",Die Frau im goldenen Mantel macht sich auf die U-Bahn.
Some people sit on benches under rows of trees in front of a building.,Einige Leute sitzen auf Bänken unter Reihen von Bäumen vor einem Gebäude.,Einige Leute sitzen auf Bänke unter Reihen von Bäumen vor einem Gebäude.
A man in a suit is sitting at a bus stop.,Ein Mann im Anzug sitzt an einer Bushaltestelle.,Ein Mann in einem Anzug sitzt an einer Bushaltestelle.
An African American man surrounded by empty overturned white buckets and dark colored crates expresses himself through a message handwritten on cardboard.,Ein afroamerikanischer Mann ist umgeben von umgedrehten weißen Eimern und dunkleren Kisten und drückt sich über eine handgeschriebene Nachricht auf einem Stück Karton aus.,"Ein afrikanischer Amerikaner, umgeben von leeren, abgedrehten weißen Eimern und dunkelfarbenen Kisten, äußert sich durch eine auf Karton handgeschriebene Nachricht."
A young brunette woman eating and drinking something.,Eine junge brünette Frau isst und trinkt etwas.,Eine junge Brünette Frau essen und trinken etwas.
A man in a suit and hat is playing the guitar on the street.,Ein Mann in einem Anzug und mit Hut spielt auf der Straße Gitarre.,Ein Mann in Anzug und Hut spielt die Gitarre auf der Straße.
A woman in a red vest working at a computer.,Eine Frau in einer roten Weste arbeitet am Computer.,Eine Frau im roten Weste arbeitet an einem Computer.
"People standing around incense, wafting the smoke into their faces.",Personen stehen um Räucherstäbchen herum und wedeln sich den Rauch ins Gesicht.,"Menschen, die um Räucher stehen und den Rauch in ihre Gesichter wandern."
A man using the bathroom mirror to tie his tie.,"Ein Mann verwendet den Badezimmerspiegel, um seine Krawatte zu binden.","Ein Mann, der den Badezimmerspiegel benutzt, um seine Krawatte zu binden."
Music being played by several individuals while a happy crowd sits and listens.,Mehrere Personen spielen Musik während eine gut gelaunte Menge sitzt und zuhört.,"Musik, die von mehreren Individuen gespielt wird, während eine glückliche Menge sitzt und hört."
Two young men riding on a very small horse-drawn wagon full of potatoes.,"Zwei junge Männer fahren auf einem sehr kleinen Wagen voller Kartoffeln, der von einem Pferd gezogen wird.",Zwei junge Männer reiten auf einem sehr kleinen Pferdewagen voller Kartoffeln.
A woman in a dress walking down the street past a construction site.,Eine Frau in einem Klid geht auf der Straße an einer Baustelle vorbei.,Eine Frau in einem Kleid geht durch die Straße vorbei an einer Baustelle.
A clerk in a convenience store asks a customer buying alcohol for his age and identification.,"Ein Mitarbeiter in einem Laden fragt einen Kunden, der Alkohol kauft, nach seinem Alter und einem Ausweis.","Ein Angestellter in einem Laden bittet einen Kunden, Alkohol zu kaufen, um sein Alter und Identifikation."
A man with sunglasses is operating a construction automobile and releasing gravel on to the ground.,Ein Mann mit Sonnenbrille bedient ein Baufahrzeug und lädt Kies auf den Boden ab.,Ein Mann mit Sonnenbrille betreibt ein Bauauto und gibt Kies auf den Boden.
