de,en,predicted_de
Radfahrer in Rennmontur fährt durch ein Waldgebiet.,Bicyclist in racing gear rides through forest area.,Radfahrer mit Rennstellung fährt durch Waldgebiet
Ein Mann in einem grünen Shirt spaziert am Strand mit seinen Turnschuhen in der Hand.,A man in a green shirt is walking on the beach carrying his sneakers.,"Ein Mann mit grünem Hemd, die seinen Schuhe trägt"
Mehrere Männer stehen um ein antikes Rennauto herum.,Several men standing around an antique race car,Mehrere Männer stehen um ein antikarren Rennwagen her
Zwei Männer arbeiten unter der Haube eines weißen Rennautos.,Two men work under the hood of a white race car.,Zwei Männer arbeiten unter dem Kran eines weißen
Kinder Springen vom Rand in einen Pool.,Children jump off the edge into a pool.,"Kinder springen von dem Rand ins Wasser. 

"
Ein Mann steht am Rand einer Mauer und fällt gleich runter.,A man on the edge of a wall about to fall off.,Ein Mann liegt am Rand eines Mauer und wird zu Fallen abge
Eine Frau in einem gestreiften Outfit auf einem Fahrrad.,A woman in a striped outfit on a bike.,Eine Frau in einer gestreiften Outfit fährt Fahrrad
Ein schwarz gekleidetes Mädchen posiert für die Kamera.,A girl dressed in black is posing for the camera.,Ein schwarz gekleidete Mädchen posiert für die
Ein Mann in Shorts steht am Wasser.,Man in shorts standing by the water.,"Mann im kurzen Hosen steht an der Wasser. 

"
Vier schwarze Männer sitzen auf den Stufen einer Kirche.,Four black men are sitting on the steps of a church.,Vier schwarzer Männer sitzen an der Treppe eines Kirchen
Ein Kran arbeitet mitten in einem Schutthaufen.,A crane operates amidst piles of rubble.,"Ein Kranewerfer baut durch Schlammhängen. 

"
Eine Turnerin in Rot und Weiß in der Drehung auf einem ungeraden Balken.,A gymnast wearing red and white is mid-twirl on an uneven bar.,Ein rot und weiß gekleideter Turnerschwimmer macht e
Eine ältere Dame in einem grünen Sweatshirt wählt Gemüse aus.,An older lady in a green sweater picks out vegetables.,Eine ältere Dame im grünen Pullover wirft Lebensst
Zwei Männer stellen in einer Werkstatt mit Werkzeugen Gegenstände her.,Two men are crafting items in a workshop with tools.,Zwei Männer machen Objekte mit Türen in einem Werk
Eine Lehrerin in Weiß und ein kleines Mädchen in einem gelben Kleid spielen mit Bauklötzen.,A teacher in white and a little girl wearing a yellow dress playing with building block.,Ein weiß gekleideter Lehrer und ein kleines Mä
Ein kleines Kind schläft in seinem Bett mit einem offenen Buch auf der Brust.,A young child sleeping in her bed with an open book on her chest.,Ein kleines Kind schläft mit einem offenen Buch auf der
Eine Frau isst an einem schönen Tag auf dem Gras.,A woman eating in the grass on a beautiful day.,"Eine Frau isst am schönen Tag im Gras. 

      
    "
Ein Mann geht auf einer Kopfsteinstraße neben Gebäuden mit roten Dachtraufen.,A man walks down a cobblestone street next to buildings painted tan with red eaves.,Ein Mann geht eine stolze Straße an der Nähe von B
Eine Frau mit einem Hut macht Brot.,A woman wearing a hat with making bread.,"Eine Frau mit einem Hut, das Brot macht. 


"
"Eine einzelne Frau verwendet einen großen einfachen Stößel und Mörser, um Pflanzenmaterial zu zerdrücken, während sie auf einem Stoppelfeld steht.",A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field.,Eine einzelne Frau bereitet sich mit großem primierter
Ein Mann in einem Karateanzug macht eine Vorführung vor zwei Punktrichtern.,A man in a karate is performing in front of two judges.,Ein Karate-Kämpfer führt vor zwei Richter e
Ein formell gekleideter Mann spielt Klavier auf dem Gehsteig an einer städtischen Straße.,A man in formal attire plays a piano on the sidewalk of a city street.,Ein Mann im Formalschutz fährt an einer Straße der St
Ein älterer Mann sitzt in einem Stuhl und isst ein paar Snacks.,"An elderly man sitting in a chair, eating some snacks.",Ein älterer Mann sitzt in einem Stuhl und isst et
Eine Frau in einem weißen Hemd arbeitet hinter dem Tresen in einem Café.,A woman in a white shirt works behind the counter at a cafe.,Eine Frau in weißem Hemd arbeitet hinter den Köp
Ein Mann in Arbeitskleidung steht auf der Ladefläche seines Lasters.,A man with work clothes on standing on the back of a truck.,Ein Mann mit Arbeitskleidung steht auf dem Rücken
Zwei Kinder beobachten Pferde durch einen kleinen Zaun.,Two children looking at horses through a small fence.,Zwei Kinder blicken über Pferden durch einen kleinen Zaun
Ein Fenster mit einem aufgemalten Design.,A window with some type of design painted on it.,"Ein Fenster mit einer etwas ausgebildetem Mal. 

"
Eine Frau in einem knallrosa Mantel steht vor einer Vitamin Shoppe-Filiale und macht eine Grimasse in Richtung einer Frau in einem violetten Mantel.,A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe.,Eine Frau in einem hellpinkfarbenen Overmantel macht e
Ein Cowboy bandagiert seinen Arm.,A cowboy wrapping up his arm with a bandage.,"Ein Cowboy, der seine Arm mit einer Bande zu schneiden ist"
Ein Mann in einem gelben Hemd und ein Mann in einem dunkelblauen Hemd unterhalten sich.,A man in a yellow shirt and a man in a dark blue shirt talking.,Ein Mann im gelben Hemd und einem Mann mit schwarzem blauen
Drei asiatische Kinder sitzen auf einer Couch mit Wandteppichen im Hintergrund.,Three Asian children sitting on a couch with tapestries hanging in the background.,"Drei asiatische Kinder sitzen auf einem Sofa, im Hintergrund"
"Ein Mädchen in einem roten Shirt springt hoch, um einen Tennisball zu treffen.",A girl in a red shirt jumps up to hit a tennis ball.,"Ein Mädchen in einem roten Hemd springt um, um den Tennis"
Ein Mann posiert für die Kamera mit einem grünen Kran.,A man posing the camera with green crane.,Ein Mann posiert mit einem grünen Kranen in der Kamera.
Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.,A man clinks bottles with another person while smiling in a restaurant.,Ein Mann klicken mit einer anderen Person im Restaurant Blättern und l
Ein Mann lädt gebackene Brezeln auf einen Koffer-LKW.,A man is loading a box truck with lots of baked pretzels.,Ein Mann verpflichtet eine Boxtruck mit vielen böc
Ein Mann in einer schwarzen Jacke spielt in der Öffentlichkeit Gitarre.,A man in a black jacket plays the guitar out in public.,Ein Mann mit schwarzen Jacke spielt Gitarre vor Publikum
Eine Tanztruppe bei einer Aufführung während einer Parade in China.,A dance group performs in a parade in china.,"Eine Tanzgruppe tanzt bei einer Parade im China. 


"
Ein Mann steht auf einem steinigen Abhang und blickt auf ein Gewässer.,A man stands on a rocky cliff overlooking a body of water.,Ein Mann steht auf einem felsigen Kliff und beobachtet e
Ein Polizist beobachtet eine Frau beim Aussteigen aus dem Bus.,Police officer watching woman exit from bus.,"Ein Polizist beobachtet eine Frau, die aus dem Bus g"
Zwei Polizisten mittleren Alters beobachten nachts einen Parkplatz.,"Two middle-aged police officers watch over a parking lot, at night.",Zwei Mittlerenalter Polizisten schaukeln nachts über
Zwei Männer in blauen Hemden sehen sich ein Fußballspiel an.,Two men in blue shirts looking at a soccer game.,Zwei Männer in blauen Hemden schaut an einem Fußball
Eine Gruppe von Männern in blauen Uniformen stehen zusammen.,A group of men in blue uniforms are standing together.,Eine Gruppe Männer mit blauen Uniformen steht zusammen
Eine junge Dame macht Yoga am Strand.,A young lady doing yoga on the beach.,"Eine junge Dame macht Yoga am Strand. 


Exercise 1: What"
Eine große Menschenmenge steht in einem Park herum und einige spielen auf Instrumenten.,A large crowd of people are standing around in a park and a few are playing instruments.,"Eine große Menschenmenge steht im Park, während ein"
"Ein Mann mit einem Luftballon, der Ballontiere macht.",A man with a balloon hat makes balloon animals.,"Ein Mann mit einem Ballonhut macht Balloon-Tiere. 


"
"Ein Mann, der über einem Grill im Freien Fleisch grillt.",A man grilling meat on an outdoor grilling pit.,Ein Mann grillt Fleisch auf einem Grillpfad im Freien. 
Zwei Männer verkaufen Obst auf einem Obstmarkt.,Two men selling fruit at a fruit market.,"Zwei Männer, die in einem Obstmarkt Lebensmitteln ver"
Eine brünette Frau in einem weißen Bikini gießt einem Mann einen Drink ins Glas.,Brunette woman in a white bikini pouring a drink into a man's cup.,Eine blonde Frau mit braunen Augenkleidung lebensmittel
Ein Junge mit Sonnenbrille läuft hinter einem Rummelplatz.,Boy in sunglasses is running behind a fair.,Ein Junge mit Sonnenbrille rennt hinter einem Schaufenster fest
"Eine Hand mit Handschuh hält etwas, was wie ein übergroßer Nagel aussieht, an einen Holzklotz.",A gloved hand holds what appears to be an oversize nail against a log.,Ein schülerlicher Hand hält einen üblichen Schnell
Ein Mann in einem karierten Hemd zeigt ein schwarzes Paar Handschuhe.,A man in a plaid shirt shows off a black set of gloves.,Ein Mann im karierten Hemd zeigt eine schwarze Handschu
Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.,Two men in white plastic chairs sitting in a doorway.,Zwei Männer sitzen im Tür ein weißer Plastik
Ein junges Mädchen in einem roten Kleid trägt einen schwarzen Cowboyhut.,A young girl in a red dress is wearing a black cowboy hat.,Ein junges Mädchen in einem roten Kleid trägt einen
Mann in einem rot-weißen Fußballtrikot steht an der Seitenlinie mit einem gelb-blauen Fußball.,Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.,Ein Mann im roten und weißen Fußball-Kleidung ste
Leute springen an einem Seil über eine Gletscherspalte.,People jump over a mountain crevasse on a rope.,Menschen springen über eine Felskraftwand an einem Crevas
Leute sehen zu während Marathonläufer vorbeilaufen.,People look on as participants in a marathon pass by.,"Leute betreten sich, wie bei einem Marathon-Rennen die"
Leute mit Laptops vor einem großen Fenster.,People on laptops in front pf a large window.,"Leute im Laptopen vor einem großen Fenster. 


##"
Ein DJ bei der Arbeit wird von Scheinwerfern angestrahlt.,A disc jockey busy at work as lights shine upon him.,"Ein Discojazzer beim Arbeit, während einen Licht a"
Ein Mann mit Handschuhen trägt Mais durch ein Feld.,A man wearing gloves carries corn through a field.,"Ein Mann mit Handschuhen trägt Korn durch einem Feld. 

"
In einem Café wird von einer Spiegelreflexion ein Foto gemacht.,A photo is taken of a mirror reflection of a cafe.,Ein Foto zeigt eine Reflektion von Café in der Spiegel. 
Eine muslimische Frau hält Luftballons bei einer muslimischen Veranstaltung.,A muslim woman holding balloons at an islamic event,Eine Muslimein hält Ballonen in einer Islamischer Woche. 
Eine Frau sitzt in einem Käfig mit einer Katze und zwei Kaninchen.,A woman sits in a caged in area with a cat and two bunnies.,Eine Frau sitzt mit einem Katzen und zwei Bünge an
Eine Frau sitzt gegen eine Ziegelwand gelehnt in einem Gebäude.,A woman sitting against a brick wall inside a building.,Eine Frau sitzt in einem Gebäude an einer Ziegelm
Drei junge Frauen sitzen sich auf roten Plüschstühlen gegenüber.,Three young women face each other while sitting on red plush chairs.,Drei junge Frauen sitzen in roten plushtücher Stüh
Eine Frau in einem blauen Shirt spaziert in einem Dorf.,A woman in a blue shirt walking in a village.,Eine Frau mit einem blauen Hemd geht durch ein Geme
Sechs Kinder sitzen mit Blöcken und Stiften auf einer Stufe.,"Six children, sitting on a step with notepads and crayons.",Sechs Kinder sitzen mit Notizenblättern und Stoffe an einem
Ein brauner Hund spielt am Ufer mit einem Stock.,A tan dog playing with a stick on the shore.,"Ein Hund, der mit einem Stock am Strand spielt. 


"
"Zwei Hunde beißen spielerisch einen dritten Hund, dessen Zunge heraushängt.","Two dogs playfully bite a third dog, which has its tongue sticking out.",Zwei Hunde spielen jockelt und nicken einen anderen H
Ein Kind sitzt lächelnd auf dem Motorrad.,A child is on a motorcycle smiling.,"Ein Kind lächelnd an einem Motorrad. 


Exercise 1:"
6 Personen versammeln sich zu einem großen Abendessen.,6 people are gathered around to eat a big dinner.,Sechs Menschen sind um einen großen Abendessen herumgeben
Santa Claus wird bei einem Medienevent zu Weihnachten fotografiert.,Santa Claus being photographed at a holiday media event.,"Ein Christkind, der in einer Wochenende Medienevent fotogra"
Militärangehörige marschieren an einem regnerischen Tag durch New York.,Military Families are marching through New York on a rainy day.,Militärische Familien marchten über einen schneebedeck
Eine Frau in roten Hosen und mit einem blauen Helm fährt Fahrrad.,A woman in a blue helmet and red pants riding a motorcycle.,Eine Frau mit einem blauen Helm und roten Hosen fährt
Mehrere Männer in Kampfsportuniformen machen gemeinsam Bewegungen.,Several men are wearing martial arts uniforms while they perform some moves in unison.,"Mehrere Männer tragen Kunst des Kampfsanzugs, werden"
Eine junge Frau und ein Mann in Kriegerkostümen hantieren vor einer Gruppe im Hintergrund mit Schwertern.,A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.,"Eine junge Dame und ein Mann, die Kampfkostümen tragen,"
Ein uniformierter Mann geht auf einer Straße mit zwei Autos und einem Baum.,A man in a uniform walking on a street with two cars and a tree.,Ein Mann im Uniform läuft mit zwei Autos und einem Baum an
Junge Frau klettert auf Felswand,Young woman climbing rock face,Eine junge Frau klettert einen Felsenhaufen hoch. 
Ein älterer Mann in einem hellblauen Mantel arbeitet am Straßenrand an einem Auto.,An elderly man in a light blue coat works on a car on the roadside.,Ein älterer Mann mit einem hellblauen Mantel arbeitet an
Personen betrachten mehrere farbige Papierstücke auf einem Tisch.,People looking over several colored pieces of paper spread on a table.,Menschen schauen über ein paar farbenvolles Blatt an
Ein Mann singt und spielt Gitarre in ein Mikrofon.,A man sings and plays the guitar into a microphone.,Ein Mann singt und spielt Gitarre in einem Mikrofon.
Zwei Männer sitzen in einem Restaurant.,Two men sitting in a restaurant.,"Zwei Männer sitzen in einem Restaurant. 

"
Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.,Two women in shorts run down a beach along the water.,Zwei Frauen mit kurzen Hosen rennen eine Strand entlang der
Arbeiter diskutieren neben den Schienen.,Construction workers having a discussion by the tracks.,Bauarbeiter unterhalten sich am Bahnhofsrichtung e
"Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht.","A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.",Eine Bezeichnung eines Verkehrswegs mit vier Personen
Eine Gruppe spielt an einem Gegenstand.,A group of people are playing on an object.,Eine Gruppe von Menschen spielt auf einem Gegenstand. 
Ein kleines Mädchen in Blau klettert auf der Straße auf ein Metallgeländer.,A little girl in a blue outfit is climbing on metal railings in the street.,Ein kleines Mädchen im blauen Outfit klettert mit Metall
Eine Gruppe von Männern sitzt und unterhält sich hinter grünen Früchten.,A group of men sitting and talking behind some green fruit.,Eine Gruppe von Männern sitzt und unter einem grü
Ein Typ in einem gelben Outfit steht hinter dem Mikrofon in einem Zelt.,A guy with a yellow outfit on standing behind a microphone under a tent.,Ein Typ mit gelbem Outfit steht hinter einem Mikrofon un
Ein brauner Hund mit einem lilafarbenen Frisbee im Mund.,A brown dog with a purple Frisbee in its mouth.,"Ein brauner Hund mit einem lila Frisbie im Maul. 

"
"Ein Mann, der aussieht als würde er Kampfsportübungen machen, vor schlammig aussehendem Wasser.",It looks like a man practicing his martial arts moves near some muddy looking water.,"Ein Mann beobachtet seinen Kampfsporttakts, in der Nä"
Eine Frau mit einem Getränk und eine Frau mit einem Mobiltelefon.,A woman with a drink and a woman with a cellphone.,Eine Frau mit einem Getränk und ein Frau mit einer
Ein Kind in einer roten Jacke winkt mit einer Hand während es neben einem Plastikschlitten im Schnee liegt.,A child in a red coat waves a hand in the air while lying in snow beside a red plastic sled.,Ein Kind mit einem roten Mantel winkt am Boden neben einer rot
Eine Frau sitzt neben ihrer Tasche und sieht Hunden im Park zu.,A woman sitting next to her purse watching dogs at the park.,"Eine Frau, die neben ihren Handtaschen sitzt und im"
"Drei Männer stehen auf einer Bühne, einer von ihnen trägt Clown-Makeup und hält eine Gitarre.","Three men are standing on a stage, one is wearing clown makeup and holding a guitar.",Drei Männer stehen auf einer Bühne und eine tr
Eine Frau verarbeitet Pflanzensaft in einem Stammesdorf,A woman is processing plant fluid in a tribal village,Eine Frau bereitet einen Plantfluid an einem Tribünebiet
Die Frau im roten Kleid tanzt mit dem Mann im Anzug.,The woman in the red dress is dancing with the man in a suit.,Eine Frau im roten Kleid tanzt mit der Mann in einem Anz
Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball,Two small dogs follow a larger dog with a tennis ball,Zwei kleine Hunde fahren einen großen Hund mit e
Ein Mann mit buschigem Bart und Baseballmütze sitzt auf einer Parkbank.,A man with a bushy beard and a baseball cap sits on a park bench.,Ein Mann mit einer bockigen Bart und Baseballmütze sitzt an
Ein afrikanischer Stamm steht im Garten mit dem Wald im Hintergrund.,An African tribe is standing in their garden with the forest in the background.,"Ein afrikanischer Kultur steht im Garten, mit dem Wald im H"
"Ein junges Mädchen versucht, eine Ziege zu bürsten.",A young girl is trying to brush a goat.,"Ein junges Mädchen versucht, eine Geiße zu"
Asiaten sitzen in einem Restaurant mit gelben Stühlen.,Asian people sitting at a restaurant with yellow chairs.,"Asiaten sitzen in einer Restaurant mit gelben Stühlen. 


"
Ein Baby sitzt mit Lätzchen in einem Hochstuhl und isst einen Keks .,A baby girl eats a cookie while seated in a highchair and wearing a bib.,Ein Baby sitzt im Hochstuhl und trägt einen Bist
Ein grauhaariger Mann mit schwarzen Handschuhen mäht den Rasen.,A gray-haired man wearing black gloves is moving the lawn.,"Ein grauhaariges Mann mit schwarzen Handschuhen, der den Rasen"
Eine Frau sitzt in einer Reihe aus roten Stühlen und liest ein Buch.,A woman reads a book while sitting in a row of red chairs.,Eine Frau sitzt in einem Reihen von roten Stühlen und
Ein Kind sitzt auf den Schultern einer Frau und klatscht.,A child claps while riding on a woman's shoulders.,"Ein Kind klappt, während sie an einer Frauen"
Eine Familie geht auf dem Gehsteig durch den Schnee während am Rand ein Mann mit seinem Papierbecher sitzt.,A family is walking on the sidewalk through the snow while a man sits on the side with his paper cup.,"Eine Familie geht durch den Schnee über dem Gehweg,"
Eine Katze sitzt auf einem Werbeschild.,A cat sits on top of a store sign.,Ein Katze sitzt über eine Geschäftsschilde.
Ein Mann in einem pinken Shirt und schwarzer Jacke mit Kopfhörern.,A man in a pink shirt and black jacket with headphones on.,"Ein Mann mit rosa Hemd und schwarzer Jacke, die Brille tragen"
Ein junger Mann wirft einen Football.,A young man about to throw a football.,"Ein junger Mann, der einen Football wirft. 


"
Ein Typ und ein Mädchen gehen einen spiralförmigen Fußweg hinunter.,A guy and a girl going down a spiral walkway.,Ein Typ und eine Mädchen fahren einen spirale Wand hoch
Eine Frau mit pinken Haaren beugt sich auf dem Gehweg hinunter und hält zwei pinke Hunde.,A woman with pink hair bent down on the sidewalk holding to pink dogs.,"Eine Frau mit rosa Haaren, die auf dem Bürgersteig her"
Ein Mann im Anzug hält ein Getränk in einem Becher während er auf dem Gehweg an einem städtischen Bus vorbeigeht.,"A male in a suit holding a beverage in a cup walking down the sidewalk, next to a city bus.",Ein Mann im Anzug hält einen Getränk an dem Hand
Mann springt vor einer Felsformation im Hintergrund.,Man jumping with a rock formation in background.,Ein Mann springt mit einem Felsenformation im Hintergrund hoch. 
Eine Person in einer roten Jacke und schwarzen Hosen hält Regenbogenbänder.,A person in a red jacket with black pants holding rainbow ribbons.,Eine Person mit einer roten Jacke und schwarzen Hosen hält ro
Eine Frau legt den Arm um eine Person im Rollstuhl.,A woman puts her arm on a person sitting in a wheelchair.,"Eine Frau puttet ihren Arm an einer Person, die auf e"
Ein Mann in einer weißen Schürze bereitet für eine Frau in einer weißen Jacke im Freien in einer Pfanne etwas mit Eiern zu.,A man in a white apron is cooking something with eggs on a pan outside for a woman in a tan jacket.,"Ein Mann mit einem weißen Schürze kocht etwas, w"
Eine Frau mit einem Push-to-Talk-Mobiltelefon und einem Headset wartet an einem Zebrastreifen.,A woman with a push-to-talk cellphone and headset waiting at a crosswalk.,Eine Frau mit einem Pushtotalktelefon und Kopernikus wart
Eine Gruppe von Männern geht auf einer städtischen Straße.,A group of men walk down a city street.,Eine Gruppe Männer geht einen Stadtweg entlang.
Eine Straße neben einem interessanten Ort mit vielen Säulen.,A road next to an interesting place with lots of pillars.,Eine Straße neben einer ungewöhnlichen Platz mit viel
Eine Gruppe von Personen in Schwarz steht an einem Dock nahe eines großen Gebäudes.,A group of people in black standing on a dock nearby a long structure.,Eine Gruppe von schwarzen Menschen steht an einem Geländer neben
Ein Mann mit ein paar Kisten Bier.,Man carrying a few cases of beer.,"Ein Mann trägt einen paar Taschenbierwasser. 

"
Ein Mann mittleren Alters sitzt und spielt Akkordeon.,A middle-aged man is sitting down and playing the accordion.,Ein Mann mittleren Alters sitzt und spielt Akkordeon.
"Mädchen mit grünem Pulswärmer, Haargummis und Ohrringen steht im Freien.","Girl with green arm band, hair ties, and earrings stands outside.","Ein Mädchen mit grünen Armband, Haarziehen und Son"
Ein junges Mädchen in einem pinken Oberteil ist am Strand und läuft in Richtung des Ozeans.,A young girl in a pink shirt is on a beach running toward the ocean.,Ein junges Mädchen in einem rosa Hemd läuft am
Ein Skateboarder in einem schwarzen T-Shirt und Jeans fährt durch die Stadt.,A skateboarder in a black t-shirt and jeans skating threw the city.,Ein Skater mit schwarzer T-Shirt und Jeans fährt die
Ein Mann in einer Jacke macht Fotos von einem großen Gebäude.,A man in a jacket is taking a photograph of a large building.,Ein Mann mit einem Jackett macht eine Foto von einer großen
Menschen an der Seitenlinie bei einem Fußballspiel.,People on the sideline of a soccer match.,"Menschen am Rande eines Fußballspiels. 


Exercise 2"
Auf diesem Foto eilt eine vierköpfige Familie über eine geschäftige Straße in der Stadt.,In this photo there is a family of four dashing across a busy street in the city.,"Eine Familie von vier Sprachen, die über einen bele"
Eine Menschengruppe läuft bei Sonnenschein die Straße hinunter.,A group of people walk down the street in the sun.,Eine Gruppe von Menschen geht im Sonnenuntergang die Straße ent
"Eine Straße bei einer Ampel mit mehreren Personen, darunter ein Mann in einem braunen Mantel und Sonnenbrille, der seine Hand ans Gesicht hält.",A street near a stoplight with several people including a man wearing a brown coat and sunglasses with his hand to his face.,Eine Straße in der Nähe einer Stoplicht mit mehreren
Ein paar Pflanzen wachsen beim Fenster.,Some plants are growing near the window.,Einige Pflanze machen in der Nähe eines Fensters zu
Dieser Spieler mit dem blauen Helm war in einem Baseballspiel zwischen zwei Teams gerade am Schlagmal und ist gerade mit dem Schlagen fertig.,This player with the blue helmet was at bat and just finished swinging at the ball during a team baseball game.,Dieser Spieler mit dem blauen Helm ist an der Bewegung in
"Die Frau im goldenen Mantel beeilt sich, um die U-Bahn zu erwischen.",The woman in the gold coat hurries to catch the subway.,Die Frau im Goldmantel führt sich zur U-Bahn
Einige Leute sitzen auf Bänken unter Reihen von Bäumen vor einem Gebäude.,Some people sit on benches under rows of trees in front of a building.,Einige Menschen sind auf Bänken unter einem Reihen Ba
Ein Mann im Anzug sitzt an einer Bushaltestelle.,A man in a suit is sitting at a bus stop.,"Ein Mann im Anzug sitzt bei einem Busstand. 


"
Ein afroamerikanischer Mann ist umgeben von umgedrehten weißen Eimern und dunkleren Kisten und drückt sich über eine handgeschriebene Nachricht auf einem Stück Karton aus.,An African American man surrounded by empty overturned white buckets and dark colored crates expresses himself through a message handwritten on cardboard.,"Ein afroamerikanischer Mann, die in einer umfassten untersch"
Eine junge brünette Frau isst und trinkt etwas.,A young brunette woman eating and drinking something.,"Eine junge braune Frau isst und trinkt etwas. 


"
Ein Mann in einem Anzug und mit Hut spielt auf der Straße Gitarre.,A man in a suit and hat is playing the guitar on the street.,Ein Mann im Anzug und mit Hut spielt Gitarre am Straßen
Eine Frau in einer roten Weste arbeitet am Computer.,A woman in a red vest working at a computer.,Eine Frau mit einem roten Weste arbeitet an einer Computer. 
Personen stehen um Räucherstäbchen herum und wedeln sich den Rauch ins Gesicht.,"People standing around incense, wafting the smoke into their faces.",Menschen stehen um Aromen und schlagen die Schmutz in ihre
"Ein Mann verwendet den Badezimmerspiegel, um seine Krawatte zu binden.",A man using the bathroom mirror to tie his tie.,Ein Mann benutzt den Badezimmer einer Tür in der Schulter
Mehrere Personen spielen Musik während eine gut gelaunte Menge sitzt und zuhört.,Music being played by several individuals while a happy crowd sits and listens.,Mehrere Personen spielen Musik und ein glückliches Menschen
"Zwei junge Männer fahren auf einem sehr kleinen Wagen voller Kartoffeln, der von einem Pferd gezogen wird.",Two young men riding on a very small horse-drawn wagon full of potatoes.,Zwei junge Männer fahren an einem sehr kleinen P
Eine Frau in einem Klid geht auf der Straße an einer Baustelle vorbei.,A woman in a dress walking down the street past a construction site.,Eine Frau in einem Kleid geht die Straße entlang von einer
"Ein Mitarbeiter in einem Laden fragt einen Kunden, der Alkohol kauft, nach seinem Alter und einem Ausweis.",A clerk in a convenience store asks a customer buying alcohol for his age and identification.,Ein Verkaufskleidungsrichter bei einem Werkst
Ein Mann mit Sonnenbrille bedient ein Baufahrzeug und lädt Kies auf den Boden ab.,A man with sunglasses is operating a construction automobile and releasing gravel on to the ground.,Ein Mann mit Sonnenbrille operieren eine Bauautomobil und s
Ein Baby spielt mit seinem Spielzeug und betrachtet eine schwarz-weiße Katze.,A baby playing with her toys looking at a black and white cat.,Ein Baby spielt mit ihren Spielzeugen und schaut einen sch
Eine Teenagerin trägt eine Gitarre im Wald.,A teenage girl is carrying a guitar in the woods.,Ein Mädchen im Teenager-Auge trägt eine Gitarre
Ein Mann mit einem Rucksack geht eine Straße hinunter.,A man wearing a backpack is walking down the street.,"Ein Mann mit Rucksack geht die Straße entlang. 

"
Zwei Männer unterhalten sich vor einem Souvenirgeschäft in Rom.,Two men are having a conversation in front of a souvenir shop in Rome.,Zwei Männer unterhalten sich vor einem Souvenirs-
Ein Frau in Schwarz hält etwas im Mund.,A woman in black is holding something in her mouth.,Eine schwarze Frau hält etwas im Mund auf ihr Mund.
"Eine Gruppe von Leuten sitzt im Freien um einen kleinen, kurzen Tisch.","A group of people sit outdoors around a small, short table.",Eine Gruppe von Menschen steht draußen um einen kleinen und
Ein Mann fährt sein Fahrrad die Rampe hoch.,A man riding his bike up the ramp.,Ein Mann fährt mit seinem Fahrrad eine Rampe hoch.
Eine Frau in einem schwarzen Tank-Top mit einem Kreuz-Halsband blickt kurz vor Sonnenuntergang in die Ferne.,A woman wearing a black tank top and a cross necklace stares off into the distance near sunset.,Eine Frau in einem schwarzen Oberteil und mit einer Kreuzneck
Drei junge Mädchen gehen gemeinsam auf dem Gehsteig.,Three young girls are walking together down the sidewalk.,Drei junges Mädchen gehen zusammen die Bürgersteig
Eine Frau mit langen Haaren bei einer Abschlussfeier.,A woman with long hair is at a graduation ceremony.,Eine Frau mit langem Haar befindet sich in einer Graduation.
Ein Mann fährt auf einer Straße Skateboard während ihm ein anderer Mann vom Gehsteig aus zusieht.,A man is skateboarding on a road while another man watches from the sidewalk.,"Ein Mann fährt Skateboard auf einer Straße, wä"
Ein Mann in einer schwarzen Lederjacke steht vor einem Schild.,A man in a black leather coat is standing in front of a sign.,Ein Mann mit schwarzem Ledermantel steht vor einer Sch
Ein Mann und eine Frau singen gemeinsam im Freien.,A male and female singing a song together outside.,Ein Mann und eine Frau singen draußen zusammen ein
Ein junges Mädchen mit gelockten blonden Haaren in einem weißen Top liegt im Gras und hält einen Blumenstiel.,"A young girl with curly blond-hair and wearing a white top lies in the grass, holding a flower stem.",Ein kleines Mädchen mit lockern blonder Haare und einem we
Eine Frauenfußballmannschaft in grünen Trikots macht eine Dehnübung.,A young women's soccer team with green uniforms is performing a stretching exercise.,Eine junge Fußballteam mit grünen Trikots macht einen St
Eine Frau spielt in der Öffentlichkeit eine dramatische Szene hinter gelbem Absperrband.,A woman acts out a dramatic scene in public behind yellow caution tape.,Eine Frau macht ein dramatisches Bild vor gelben Konzentrations
Ein Mann bückt sich und macht Hausarbeiten während im Hintergrund Tauben vorbeilaufen.,"A man crouches while doing chores, as pigeons wander in the background.","Ein Mann kurz hockt und macht Arbeiten, während"
Eine Gruppe von Männern steht auf einem Feld aus schwarzen Bällen.,A group of men standing on a field of black balls.,Eine Gruppe Männer steht auf einem Feld mit schwarzen B
Ein geschäftiger Tag auf einem städtischen Platz.,A busy day for citizens at a local city court.,Eine belebte Tage für die Bevölkerung an einem
