de,en,predicted_de,predicted_en
Eine Frau mit einem Hut macht Brot.,A woman wearing a hat with making bread.,,"A woman with an umbrella makes bread.
"
"Eine einzelne Frau verwendet einen großen einfachen Stößel und Mörser, um Pflanzenmaterial zu zerdrücken, während sie auf einem Stoppelfeld steht.",A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field.,,A single woman uses an enormous vacuum cleaner and broomstick to clear the floor of debris while standing on
Ein Mann in einem Karateanzug macht eine Vorführung vor zwei Punktrichtern.,A man in a karate is performing in front of two judges.,,"A man on a karate mission can perform two punches before being knocked out by his opponent.
"
Ein formell gekleideter Mann spielt Klavier auf dem Gehsteig an einer städtischen Straße.,A man in formal attire plays a piano on the sidewalk of a city street.,,"A well-dressed man plays the piano on a city street corner.
"
Ein älterer Mann sitzt in einem Stuhl und isst ein paar Snacks.,"An elderly man sitting in a chair, eating some snacks.",,"An older man sits on a chair and eats some snacks.
"
Eine Frau in einem weißen Hemd arbeitet hinter dem Tresen in einem Café.,A woman in a white shirt works behind the counter at a cafe.,,"A woman is working behind the counter of a café.
"
Ein Mann in Arbeitskleidung steht auf der Ladefläche seines Lasters.,A man with work clothes on standing on the back of a truck.,,"A man is standing on the edge of his bed.
"
Zwei Kinder beobachten Pferde durch einen kleinen Zaun.,Two children looking at horses through a small fence.,,"Two children rode horses through a small gate.
"
Ein Fenster mit einem aufgemalten Design.,A window with some type of design painted on it.,,"A window with an ornate design.
"
Eine Frau in einem knallrosa Mantel steht vor einer Vitamin Shoppe-Filiale und macht eine Grimasse in Richtung einer Frau in einem violetten Mantel.,A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe.,,A woman in a bright yellow dress is standing near a vitamin shop and makes an angry face towards another
Ein Cowboy bandagiert seinen Arm.,A cowboy wrapping up his arm with a bandage.,,"A cowboy shot his arm.
"
Ein Mann in einem gelben Hemd und ein Mann in einem dunkelblauen Hemd unterhalten sich.,A man in a yellow shirt and a man in a dark blue shirt talking.,,"A man and a woman were sitting under the sun, while another couple was sitting on a bench."
Drei asiatische Kinder sitzen auf einer Couch mit Wandteppichen im Hintergrund.,Three Asian children sitting on a couch with tapestries hanging in the background.,,"Three Asian children are sitting on a couch with pillows under them in the background.
"
"Ein Mädchen in einem roten Shirt springt hoch, um einen Tennisball zu treffen.",A girl in a red shirt jumps up to hit a tennis ball.,,"A girl wearing a red shirt jumps high into the air in order to catch a tennis ball.
"
Ein Mann posiert für die Kamera mit einem grünen Kran.,A man posing the camera with green crane.,,"A man puts the camera on a green table.
"
Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.,A man clinks bottles with another person while smiling in a restaurant.,,"A man walks into a restaurant with another person.
"
Ein Mann lädt gebackene Brezeln auf einen Koffer-LKW.,A man is loading a box truck with lots of baked pretzels.,,"A man ate some bread from an open cardboard box.
"
Ein Mann in einer schwarzen Jacke spielt in der Öffentlichkeit Gitarre.,A man in a black jacket plays the guitar out in public.,,"A man is playing the guitar on a stage.
"
Eine Tanztruppe bei einer Aufführung während einer Parade in China.,A dance group performs in a parade in china.,,"Dance troop during a parade in China.
"
Ein Mann steht auf einem steinigen Abhang und blickt auf ein Gewässer.,A man stands on a rocky cliff overlooking a body of water.,,"A man is standing on a stone cliff and looking at a lake.
"
Ein Polizist beobachtet eine Frau beim Aussteigen aus dem Bus.,Police officer watching woman exit from bus.,,"A police officer observed a woman getting off the bus.
"
Zwei Polizisten mittleren Alters beobachten nachts einen Parkplatz.,"Two middle-aged police officers watch over a parking lot, at night.",,"Two police officers patrol the park at night.
"
Zwei Männer in blauen Hemden sehen sich ein Fußballspiel an.,Two men in blue shirts looking at a soccer game.,,"Two men are watching a soccer game on the field.
"
Eine Gruppe von Männern in blauen Uniformen stehen zusammen.,A group of men in blue uniforms are standing together.,,"A group of men wearing blue uniforms are standing together.
"
Eine junge Dame macht Yoga am Strand.,A young lady doing yoga on the beach.,,"A young woman practices yoga on the beach.
"
Eine große Menschenmenge steht in einem Park herum und einige spielen auf Instrumenten.,A large crowd of people are standing around in a park and a few are playing instruments.,,"A large crowd is gathered at the park and some are playing instruments.
"
"Ein Mann mit einem Luftballon, der Ballontiere macht.",A man with a balloon hat makes balloon animals.,,"A man with a balloon, who blows the balloon up.
"
"Ein Mann, der über einem Grill im Freien Fleisch grillt.",A man grilling meat on an outdoor grilling pit.,,"A man who is eating grilled meat in the open air.
"
Zwei Männer verkaufen Obst auf einem Obstmarkt.,Two men selling fruit at a fruit market.,,"Two men buy an obstacle at a market.
"
Eine brünette Frau in einem weißen Bikini gießt einem Mann einen Drink ins Glas.,Brunette woman in a white bikini pouring a drink into a man's cup.,,"A woman wearing a white bikini drinks a beer at the bar.
"
Ein Junge mit Sonnenbrille läuft hinter einem Rummelplatz.,Boy in sunglasses is running behind a fair.,,"A young boy is running behind a pile of leaves.
"
"Eine Hand mit Handschuh hält etwas, was wie ein übergroßer Nagel aussieht, an einen Holzklotz.",A gloved hand holds what appears to be an oversize nail against a log.,,"A hand with gloves holds something that looks like a large wooden ball, hanging from a branch of a"
Ein Mann in einem karierten Hemd zeigt ein schwarzes Paar Handschuhe.,A man in a plaid shirt shows off a black set of gloves.,,"A man wearing a red scarf is walking down the street.
"
Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.,Two men in white plastic chairs sitting in a doorway.,,"Two men are sitting on white plastic chairs at the entrance.
"
Ein junges Mädchen in einem roten Kleid trägt einen schwarzen Cowboyhut.,A young girl in a red dress is wearing a black cowboy hat.,,"A young girl wearing a red dress is standing next to a black cowboy hat.
"
Mann in einem rot-weißen Fußballtrikot steht an der Seitenlinie mit einem gelb-blauen Fußball.,Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.,,"The man is sitting on the bench with a red and white soccer ball beside him.
"
Leute springen an einem Seil über eine Gletscherspalte.,People jump over a mountain crevasse on a rope.,,"People jump over a snow-covered slope.
"
Leute sehen zu während Marathonläufer vorbeilaufen.,People look on as participants in a marathon pass by.,,"Runners are watching marathon runners before the race starts.
"
Leute mit Laptops vor einem großen Fenster.,People on laptops in front pf a large window.,,"People with laptops by a large window.
"
Ein DJ bei der Arbeit wird von Scheinwerfern angestrahlt.,A disc jockey busy at work as lights shine upon him.,,"A DJ at work is usually accompanied by soundproofing panels.
"
Ein Mann mit Handschuhen trägt Mais durch ein Feld.,A man wearing gloves carries corn through a field.,,"A man with mittens is walking through a field.
"
In einem Café wird von einer Spiegelreflexion ein Foto gemacht.,A photo is taken of a mirror reflection of a cafe.,,"A photo is taken of a reflection in the café's mirror.
"
Eine muslimische Frau hält Luftballons bei einer muslimischen Veranstaltung.,A muslim woman holding balloons at an islamic event,,"A Muslim woman holds a balloon at a Muslim event.
"
Eine Frau sitzt in einem Käfig mit einer Katze und zwei Kaninchen.,A woman sits in a caged in area with a cat and two bunnies.,,"A woman is sitting on a couch with a cat and two children.
"
Eine Frau sitzt gegen eine Ziegelwand gelehnt in einem Gebäude.,A woman sitting against a brick wall inside a building.,,"A woman sits against a wall in a building.
"
Drei junge Frauen sitzen sich auf roten Plüschstühlen gegenüber.,Three young women face each other while sitting on red plush chairs.,,"Three young women are sitting on red benches against the wall.
"
Eine Frau in einem blauen Shirt spaziert in einem Dorf.,A woman in a blue shirt walking in a village.,,"A woman is walking through a village wearing a blue shirt.
"
Sechs Kinder sitzen mit Blöcken und Stiften auf einer Stufe.,"Six children, sitting on a step with notepads and crayons.",,"Six children are sitting on the floor with blocks and sticks at a certain level.
"
Ein brauner Hund spielt am Ufer mit einem Stock.,A tan dog playing with a stick on the shore.,,"A brown dog plays on the beach with a stick.
"
"Zwei Hunde beißen spielerisch einen dritten Hund, dessen Zunge heraushängt.","Two dogs playfully bite a third dog, which has its tongue sticking out.",,"Two dogs are playing with a third dog's tail.
"
Ein Kind sitzt lächelnd auf dem Motorrad.,A child is on a motorcycle smiling.,,"A child is crying on the motorcycle.
"
6 Personen versammeln sich zu einem großen Abendessen.,6 people are gathered around to eat a big dinner.,,"Six people are gathering for a big dinner.
"
Santa Claus wird bei einem Medienevent zu Weihnachten fotografiert.,Santa Claus being photographed at a holiday media event.,,"Santa Claus is photographed with a camera for Christmas.
"
Militärangehörige marschieren an einem regnerischen Tag durch New York.,Military Families are marching through New York on a rainy day.,,"The military personnel marched through a rainy day in New York City.
"
Eine Frau in roten Hosen und mit einem blauen Helm fährt Fahrrad.,A woman in a blue helmet and red pants riding a motorcycle.,,"A woman wearing red shorts and a blue helmet is riding a bike.
"
Mehrere Männer in Kampfsportuniformen machen gemeinsam Bewegungen.,Several men are wearing martial arts uniforms while they perform some moves in unison.,,"Several men participating in competitive uniforms make collective movements.
"
Eine junge Frau und ein Mann in Kriegerkostümen hantieren vor einer Gruppe im Hintergrund mit Schwertern.,A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.,,A young woman and a man are sitting at the table of a restaurant next to each other with their
Ein uniformierter Mann geht auf einer Straße mit zwei Autos und einem Baum.,A man in a uniform walking on a street with two cars and a tree.,,"A uniformed man walks on a street with two cars and an umbrella.
"
Junge Frau klettert auf Felswand,Young woman climbing rock face,,"Young Woman Hikes on Sandstone Wall
"
Ein älterer Mann in einem hellblauen Mantel arbeitet am Straßenrand an einem Auto.,An elderly man in a light blue coat works on a car on the roadside.,,"An older man is working on a roof at the street corner with his car parked nearby.
"
Personen betrachten mehrere farbige Papierstücke auf einem Tisch.,People looking over several colored pieces of paper spread on a table.,,"People were writing many colorful paper napkins on a table.
"
Ein Mann singt und spielt Gitarre in ein Mikrofon.,A man sings and plays the guitar into a microphone.,,"A man sings and plays guitar on a mobile phone.
"
Zwei Männer sitzen in einem Restaurant.,Two men sitting in a restaurant.,,"Two men are sitting at a restaurant.
"
Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.,Two women in shorts run down a beach along the water.,,"Two women are walking on the beach beside the water.
"
Arbeiter diskutieren neben den Schienen.,Construction workers having a discussion by the tracks.,,"Workers discuss by the train tracks.
"
"Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht.","A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.",,"A glance at a baseball field with one man standing behind the fence and white bases.
"
Eine Gruppe spielt an einem Gegenstand.,A group of people are playing on an object.,,"A group is playing against a team.
"
Ein kleines Mädchen in Blau klettert auf der Straße auf ein Metallgeländer.,A little girl in a blue outfit is climbing on metal railings in the street.,,"A little girl is walking on the street wearing metal shoes.
"
Eine Gruppe von Männern sitzt und unterhält sich hinter grünen Früchten.,A group of men sitting and talking behind some green fruit.,,"A group of men is sitting and holding a basket full of green apples.
"
Ein Typ in einem gelben Outfit steht hinter dem Mikrofon in einem Zelt.,A guy with a yellow outfit on standing behind a microphone under a tent.,,"There is a keyboard behind the television set on the desk.
"
Ein brauner Hund mit einem lilafarbenen Frisbee im Mund.,A brown dog with a purple Frisbee in its mouth.,,"A brown dog with a yellow frisbee in the world.
"
"Ein Mann, der aussieht als würde er Kampfsportübungen machen, vor schlammig aussehendem Wasser.",It looks like a man practicing his martial arts moves near some muddy looking water.,,A man who swims regularly for endurance training can avoid drowning accidents in water that is shallow enough not
Eine Frau mit einem Getränk und eine Frau mit einem Mobiltelefon.,A woman with a drink and a woman with a cellphone.,,"A woman with a purse and a woman with a cell phone.
"
Ein Kind in einer roten Jacke winkt mit einer Hand während es neben einem Plastikschlitten im Schnee liegt.,A child in a red coat waves a hand in the air while lying in snow beside a red plastic sled.,,"A child is playing with a plastic toy while sitting under an umbrella during the snowfall.
"
Eine Frau sitzt neben ihrer Tasche und sieht Hunden im Park zu.,A woman sitting next to her purse watching dogs at the park.,,"A woman is sitting next to her bag and she sees dogs in the park.
"
"Drei Männer stehen auf einer Bühne, einer von ihnen trägt Clown-Makeup und hält eine Gitarre.","Three men are standing on a stage, one is wearing clown makeup and holding a guitar.",,"Three men are on stage wearing clown makeup and holding guitars.
"
Eine Frau verarbeitet Pflanzensaft in einem Stammesdorf,A woman is processing plant fluid in a tribal village,,"A woman works as a farmer in a village.
"
Die Frau im roten Kleid tanzt mit dem Mann im Anzug.,The woman in the red dress is dancing with the man in a suit.,,"The woman in the red dress dances with the man on the dance floor.
"
Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball,Two small dogs follow a larger dog with a tennis ball,,"Two small dogs follow a larger dog with a tennis ball.
"
Ein Mann mit buschigem Bart und Baseballmütze sitzt auf einer Parkbank.,A man with a bushy beard and a baseball cap sits on a park bench.,,"There is a man sitting on the bench with an umbrella and baseball bat near the park bank.
"
Ein afrikanischer Stamm steht im Garten mit dem Wald im Hintergrund.,An African tribe is standing in their garden with the forest in the background.,,"An African palm tree stands in the garden with a forest behind it.
"
"Ein junges Mädchen versucht, eine Ziege zu bürsten.",A young girl is trying to brush a goat.,,"A young girl is trying to feed a goat.
"
Asiaten sitzen in einem Restaurant mit gelben Stühlen.,Asian people sitting at a restaurant with yellow chairs.,,"Asians are sitting at a restaurant with red chairs.
"
Ein Baby sitzt mit Lätzchen in einem Hochstuhl und isst einen Keks .,A baby girl eats a cookie while seated in a highchair and wearing a bib.,,"A baby sits on a cushion and eats an apple.
"
Ein grauhaariger Mann mit schwarzen Handschuhen mäht den Rasen.,A gray-haired man wearing black gloves is moving the lawn.,,"A grumpy man with black gloves is walking on the road.
"
Eine Frau sitzt in einer Reihe aus roten Stühlen und liest ein Buch.,A woman reads a book while sitting in a row of red chairs.,,"A woman sits on a chair made of red apples and reads a book.
"
Ein Kind sitzt auf den Schultern einer Frau und klatscht.,A child claps while riding on a woman's shoulders.,,"A child sits on the teacher's desk and claps his hands.
"
Eine Familie geht auf dem Gehsteig durch den Schnee während am Rand ein Mann mit seinem Papierbecher sitzt.,A family is walking on the sidewalk through the snow while a man sits on the side with his paper cup.,,"A family walks through the snow while a man sits on his sled with paper mache decorations.
"
Eine Katze sitzt auf einem Werbeschild.,A cat sits on top of a store sign.,,"A cat is sitting on the sofa cushion.
"
Ein Mann in einem pinken Shirt und schwarzer Jacke mit Kopfhörern.,A man in a pink shirt and black jacket with headphones on.,,"A man wearing a red shirt and black cap with sunglasses.
"
Ein junger Mann wirft einen Football.,A young man about to throw a football.,,"A young boy kicks a football.
"
Ein Typ und ein Mädchen gehen einen spiralförmigen Fußweg hinunter.,A guy and a girl going down a spiral walkway.,,"A boy and a girl are walking down an escalator together.
"
Eine Frau mit pinken Haaren beugt sich auf dem Gehweg hinunter und hält zwei pinke Hunde.,A woman with pink hair bent down on the sidewalk holding to pink dogs.,,"A woman wearing pink dresses is walking on the sidewalk and holding two small dogs in her arms.
"
Ein Mann im Anzug hält ein Getränk in einem Becher während er auf dem Gehweg an einem städtischen Bus vorbeigeht.,"A male in a suit holding a beverage in a cup walking down the sidewalk, next to a city bus.",,"A man is waiting at the bus stop while walking on the sidewalk towards downtown.
"
Mann springt vor einer Felsformation im Hintergrund.,Man jumping with a rock formation in background.,,"A man springs up from a rock formation in the background.
"
Eine Person in einer roten Jacke und schwarzen Hosen hält Regenbogenbänder.,A person in a red jacket with black pants holding rainbow ribbons.,,"A person wearing a red jacket and black jeans is carrying an umbrella.
"
Eine Frau legt den Arm um eine Person im Rollstuhl.,A woman puts her arm on a person sitting in a wheelchair.,,"A woman is lying down on a couch.
"
Ein Mann in einer weißen Schürze bereitet für eine Frau in einer weißen Jacke im Freien in einer Pfanne etwas mit Eiern zu.,A man in a white apron is cooking something with eggs on a pan outside for a woman in a tan jacket.,,A man puts a woman on his shoulder and gives her an egg in the garden with some breadcr
Eine Frau mit einem Push-to-Talk-Mobiltelefon und einem Headset wartet an einem Zebrastreifen.,A woman with a push-to-talk cellphone and headset waiting at a crosswalk.,,A woman with a push-to-talk mobile phone and headphones is talking on a Bluetooth headset.
Eine Gruppe von Männern geht auf einer städtischen Straße.,A group of men walk down a city street.,,"A group of men is going on a city street walk.
"
Eine Straße neben einem interessanten Ort mit vielen Säulen.,A road next to an interesting place with lots of pillars.,,"A street near an interesting place with many trees.
"
Eine Gruppe von Personen in Schwarz steht an einem Dock nahe eines großen Gebäudes.,A group of people in black standing on a dock nearby a long structure.,,"A group of people is standing near a big building by the dock.
"
Ein Mann mit ein paar Kisten Bier.,Man carrying a few cases of beer.,,"A man with a few beers in his hand.
"
Ein Mann mittleren Alters sitzt und spielt Akkordeon.,A middle-aged man is sitting down and playing the accordion.,,"A man in his middle age is sitting and playing the accordion.
"
"Mädchen mit grünem Pulswärmer, Haargummis und Ohrringen steht im Freien.","Girl with green arm band, hair ties, and earrings stands outside.",,"A girl with green swimming trunks stands in the field.
"
Ein junges Mädchen in einem pinken Oberteil ist am Strand und läuft in Richtung des Ozeans.,A young girl in a pink shirt is on a beach running toward the ocean.,,"A young girl at the beach is flying a kite and enjoys the wind from the sea.
"
Ein Skateboarder in einem schwarzen T-Shirt und Jeans fährt durch die Stadt.,A skateboarder in a black t-shirt and jeans skating threw the city.,,"A skateboarder is riding through the city on a black t-shirt and jeans.
"
Ein Mann in einer Jacke macht Fotos von einem großen Gebäude.,A man in a jacket is taking a photograph of a large building.,,"A man takes a picture of a big building.
"
Menschen an der Seitenlinie bei einem Fußballspiel.,People on the sideline of a soccer match.,,"People at the sidelines during a football game.
"
Auf diesem Foto eilt eine vierköpfige Familie über eine geschäftige Straße in der Stadt.,In this photo there is a family of four dashing across a busy street in the city.,,"On this photo, there is a four-person family walking on a commercial street in the city."
Eine Menschengruppe läuft bei Sonnenschein die Straße hinunter.,A group of people walk down the street in the sun.,,"A group of people is walking under the sun.
"
"Eine Straße bei einer Ampel mit mehreren Personen, darunter ein Mann in einem braunen Mantel und Sonnenbrille, der seine Hand ans Gesicht hält.",A street near a stoplight with several people including a man wearing a brown coat and sunglasses with his hand to his face.,,"A street with several people, including a man wearing a brown coat and sunglasses sitting on his hands facing"
Ein paar Pflanzen wachsen beim Fenster.,Some plants are growing near the window.,,"A few flowers bloomed by the window.
"
Dieser Spieler mit dem blauen Helm war in einem Baseballspiel zwischen zwei Teams gerade am Schlagmal und ist gerade mit dem Schlagen fertig.,This player with the blue helmet was at bat and just finished swinging at the ball during a team baseball game.,,This player with the blue helmet played a baseball game between two teams and was always on base at least
"Die Frau im goldenen Mantel beeilt sich, um die U-Bahn zu erwischen.",The woman in the gold coat hurries to catch the subway.,,"The woman in the golden armchair was waiting for the train to arrive.
"
Einige Leute sitzen auf Bänken unter Reihen von Bäumen vor einem Gebäude.,Some people sit on benches under rows of trees in front of a building.,,"Some people are sitting under rows of trees in front of a building.
"
Ein Mann im Anzug sitzt an einer Bushaltestelle.,A man in a suit is sitting at a bus stop.,,"A man is sitting at a bus stop.
"
Ein afroamerikanischer Mann ist umgeben von umgedrehten weißen Eimern und dunkleren Kisten und drückt sich über eine handgeschriebene Nachricht auf einem Stück Karton aus.,An African American man surrounded by empty overturned white buckets and dark colored crates expresses himself through a message handwritten on cardboard.,,"An Afro-American man is covered in dark and light skinned people, and he writes on"
Eine junge brünette Frau isst und trinkt etwas.,A young brunette woman eating and drinking something.,,"A young woman eats and drinks something.
"
Ein Mann in einem Anzug und mit Hut spielt auf der Straße Gitarre.,A man in a suit and hat is playing the guitar on the street.,,"A man is playing the guitar on his way home.
"
Eine Frau in einer roten Weste arbeitet am Computer.,A woman in a red vest working at a computer.,,"A woman is working on a computer at work.
"
Personen stehen um Räucherstäbchen herum und wedeln sich den Rauch ins Gesicht.,"People standing around incense, wafting the smoke into their faces.",,"People stand around a barbecue grill and smoke the meat on their faces.
"
"Ein Mann verwendet den Badezimmerspiegel, um seine Krawatte zu binden.",A man using the bathroom mirror to tie his tie.,,"A man uses a bath towel to dry himself after taking a shower.
"
Mehrere Personen spielen Musik während eine gut gelaunte Menge sitzt und zuhört.,Music being played by several individuals while a happy crowd sits and listens.,,"Several people are playing music while sitting in a comfortable chair and looking around.
"
"Zwei junge Männer fahren auf einem sehr kleinen Wagen voller Kartoffeln, der von einem Pferd gezogen wird.",Two young men riding on a very small horse-drawn wagon full of potatoes.,,"Two young men are driving on a very small car full of apples, which they got from a horse"
Eine Frau in einem Klid geht auf der Straße an einer Baustelle vorbei.,A woman in a dress walking down the street past a construction site.,,"A woman walks on the street past a store door.
"
"Ein Mitarbeiter in einem Laden fragt einen Kunden, der Alkohol kauft, nach seinem Alter und einem Ausweis.",A clerk in a convenience store asks a customer buying alcohol for his age and identification.,,"A customer at a store buys alcohol after showing his ID and age card.
"
Ein Mann mit Sonnenbrille bedient ein Baufahrzeug und lädt Kies auf den Boden ab.,A man with sunglasses is operating a construction automobile and releasing gravel on to the ground.,,"A man with a sun hat built a house and left bricks on the ground.
"
Ein Baby spielt mit seinem Spielzeug und betrachtet eine schwarz-weiße Katze.,A baby playing with her toys looking at a black and white cat.,,"A baby plays with his toy and watches a black and white cat.
"
Eine Teenagerin trägt eine Gitarre im Wald.,A teenage girl is carrying a guitar in the woods.,,"A teenage girl is playing a guitar in the woods.
"
Ein Mann mit einem Rucksack geht eine Straße hinunter.,A man wearing a backpack is walking down the street.,,"A man with a backpack walks on the street behind him.
"
Zwei Männer unterhalten sich vor einem Souvenirgeschäft in Rom.,Two men are having a conversation in front of a souvenir shop in Rome.,,"Two men were waiting for a souvenir shop in Rome.
"
Ein Frau in Schwarz hält etwas im Mund.,A woman in black is holding something in her mouth.,,"A woman is holding something in her hand.
"
"Eine Gruppe von Leuten sitzt im Freien um einen kleinen, kurzen Tisch.","A group of people sit outdoors around a small, short table.",,"A group of sheep is sitting in a field near a small table.
"
Ein Mann fährt sein Fahrrad die Rampe hoch.,A man riding his bike up the ramp.,,"A man rides his bicycle up the hill.
"
Eine Frau in einem schwarzen Tank-Top mit einem Kreuz-Halsband blickt kurz vor Sonnenuntergang in die Ferne.,A woman wearing a black tank top and a cross necklace stares off into the distance near sunset.,,"A woman in a black tank top looks at sunrise from the corner of her bed.
"
Drei junge Mädchen gehen gemeinsam auf dem Gehsteig.,Three young girls are walking together down the sidewalk.,,"Three young girls go hiking together on the trail.
"
Eine Frau mit langen Haaren bei einer Abschlussfeier.,A woman with long hair is at a graduation ceremony.,,"A woman with long hair at a birthday party.
"
Ein Mann fährt auf einer Straße Skateboard während ihm ein anderer Mann vom Gehsteig aus zusieht.,A man is skateboarding on a road while another man watches from the sidewalk.,,"A man is skateboarding along the street while another man jumps off his roof.
"
Ein Mann in einer schwarzen Lederjacke steht vor einem Schild.,A man in a black leather coat is standing in front of a sign.,,"A man is standing next to a black leather jacket.
"
Ein Mann und eine Frau singen gemeinsam im Freien.,A male and female singing a song together outside.,,"A man and a woman are singing together in the forest.
"
Ein junges Mädchen mit gelockten blonden Haaren in einem weißen Top liegt im Gras und hält einen Blumenstiel.,"A young girl with curly blond-hair and wearing a white top lies in the grass, holding a flower stem.",,"A young girl with curly blonde hair is lying on the grass and holding a flower crown.
"
Eine Frauenfußballmannschaft in grünen Trikots macht eine Dehnübung.,A young women's soccer team with green uniforms is performing a stretching exercise.,,"A women's football team playing in green jerseys makes a drill.
"
Eine Frau spielt in der Öffentlichkeit eine dramatische Szene hinter gelbem Absperrband.,A woman acts out a dramatic scene in public behind yellow caution tape.,,"A woman plays a dramatic scene on stage behind a red curtain.
"
Ein Mann bückt sich und macht Hausarbeiten während im Hintergrund Tauben vorbeilaufen.,"A man crouches while doing chores, as pigeons wander in the background.",,"A man walks around and does house chores while the birds fly overhead in the background.
"
Eine Gruppe von Männern steht auf einem Feld aus schwarzen Bällen.,A group of men standing on a field of black balls.,,"A group of men is standing on a black field.
"
Ein geschäftiger Tag auf einem städtischen Platz.,A busy day for citizens at a local city court.,,"A busy day in the city center.
"
Ein Mann mit einer Zigarette im Mund macht sich einen Teller mit Essen.,A man with a cigarette in his mouth fixing a plate of food.,,"A man with a cigarette in his mouth chews on an apple.
"
Zwei Gruppen von Schwimmern waten ins Wasser.,Two groups of swimmers wade out.,,"Two groups of swimmers are swimming in the water.
"
Menschen sitzen auf einer Bank auf einem Platz in der Stadt während in der Nähe zufällige Gegenstände wie eine Lampe und ein Mannequin stehen.,People sit on a bench in a city square with random objects including a lamp and a dressmakers form standing nearby.,,People are sitting on benches outside the bank at night while there is light and a mannequin nearby
Die Arbeiter stehen um ein Loch mit einem Eimer herum.,The workers are surrounding a hole with a bucket.,,"The workers stand around a hole with an iron rod in their hands.
"
Ein Mann ohne Hemd in schwarzen Shorts steht an einer felsigen Küste neben einem großen Gewässer.,A shirtless man in black shorts is standing on the rocky shore to a large body of water.,,"A man without a beard stands on the shore next to a large lake.
"
Ein Wachmann hält Wache während seiner Schicht.,A guard is on the look out while on duty.,,"A wolf is lying down during its hunt.
"
"Leute spielen Pool, einer davon ist ein Mann in einem blauen Hemd, der Rest sind Frauen, deren Köpfe allerdings nicht im Bild sind.","People playing pool, one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot.",,People play pool at a bar where there's only one man wearing red clothes and the rest are women
Leute stehen vor einer von Wasser umgebenen Skulptur.,People are standing in front of a sculpture surrounded by water.,,"People are standing in front of a water-covered sculpture.
"
"Eine Frau sieht zu, während ein Mann mit verschränkten Armen spricht.",A woman looks on as a man with folded arms is talking.,,"A woman is talking on the phone while a man with curly hair speaks in front of her.
"
Ein Mann mittleren Alters in weißen Shorts und Flip-Flops blickt die Straße hoch.,Middle-aged man in white shorts and flip-flops looking up the road,,"A man of middle age is walking on the street wearing shorts and flip flops.
"
"Zwei Männer in dunkeloranger Kleidung und Sandalen stehen neben einer großen, reflektierenden Skulptur.",Two men dressed in dark orange coverings and sandals stand near a large reflective sculpture.,,"Two men are standing next to a large reflective sculpture.
"
Zwei Personen vergnügen sich auf ihrem Boot.,Two people are spending good time in their boat.,,"Two people enjoy their boots.
"
Ein Mann und eine Frau stehen in einer Stadt auf der Straße.,A man and a woman are standing on the street in the city.,,"A man and a woman stand on the street corner.
"
Feuerwehrmänner kommen aus einer U-Bahnstation.,Firemen emerge from a subway station.,,"Firefighters are coming from the subway station.
"
"Vier Männer, drei von ihnen mit Gebetskappen, sitzen auf einer blau und olivgrün gemusterten Matte.","Four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat.",,"There are four men sitting on the blue and olive-green mat.
"
"Das ist eine große Menschengruppe, die im Freien auf Bänken sitzt.",This is a large group of people sitting outside on benches.,,"That's a big group of people that sits on benches in the park.
"
"Ein Mann in einem roten Shirt geht an einem türkis und weiß karierten Imbissladen Namens ""32 De Neude"" vorbei.","A man in a red shirt walks past a turquoise and white checkered food establishment called ""32 De Neude.""",,"A man wearing a red shirt goes into a Turkish and white striped hammam with the name ""32"
Ärzte bei einer Art Operation.,Doctors performing some type of surgery.,,"Doctors during a surgical operation.
"
Ein älterer Mann mit einer Zigarette im Mund und einer Mütze inspiziert seine Kamera.,An older man with a cigarette in his mouth and a ball cap inspects his camera.,,An older man with a cigarette in his mouth and an ironing board as his camera stand is posing
Kleines Orchester spielt im Freien mit einem Gitarrenkoffer auf dem Boden.,Small orchestra playing with open violin case in front,,"Little orchestra plays in the park with a guitar on the ground.
"
Ein Mann in einem roten Anzug tanzt mit einer Dame.,A man with a red suit is dancing with a lady.,,"A man is dancing with a woman on the red carpet.
"
Zwei Personen betrachten die Lichter einer Stadt bei Nacht.,Two people look on in the nighttime at the lights in a city.,,"Two people are watching the lights of a city at night.
"
"Zwei Motocrossfahrer in voller Schutzkleidung, einer von ihnen ist nach einem Sprung in der Luft, der andere blickt auf sein Motorrad hinunter.","Two motocross bikers wearing full protective gear, with one in midair after a jump and the other looking down at his motorcycle.",,"Two motorcyclists are wearing full protective gear, one of them sees their motorcycle under the air after"
