en,de,generated_de
A man holding up another with his back.,Ein Mann hält einen anderen mit seinem Rücken hoch.,"<|user|>
A man holding up another with his back. 
<|assistant|>:
Ein Mann hält einen anderen mit seinem Rücken hoch. 15 km vom"
"White dog on mountainside turns to face something offstage, sky in background.","Weißer Hund auf einem Berg dreht sich zu etwas außerhalb des Bildes um, Himmel im Hintergrund.","<|user|>
White dog on mountainside turns to face something offstage, sky in background. 
<|assistant|>:
Ein weißer Hund auf einem Berghang schwenkt an etwas außerhalb des"
A boy riding a skateboard on a skateboarding ramp,Ein Junge fährt Skateboard auf einer Skateboardrampe.,"<|user|>
A boy riding a skateboard on a skateboarding ramp 
<|assistant|>:
Ein Junge reitet mit einem Skater auf einer Rampe für den Rollstu"
"A long-haired, male musician is playing on a piano.",Ein Musiker mit langen Haaren spielt Keyboard.,"<|user|>
A long-haired, male musician is playing on a piano. 
<|assistant|>:
Ein langhaariger Mensch spielt auf einem Piano Musik. 
D"
Three athletes holding bouquets stand on the victory podium.,Drei Sportler halten Blumensträuße und stehen auf dem Siegerpodest.,"<|user|>
Three athletes holding bouquets stand on the victory podium. 
<|assistant|>:
Drei Athleten halbbeugend auf dem Podest stehen Bouquet und sind"
Two bald drag queens in red dresses,Zwei glatzköpfige Drag Queens in roten Kleidern.,"<|user|>
Two bald drag queens in red dresses 
<|assistant|>:
Zwei kahlköpfige Dragons. Die zwei dunkelhäutige"
A young boy is hanging onto a clothing rack.,Ein kleiner Junge hängt von einer Kleiderstange.,"<|user|>
A young boy is hanging onto a clothing rack. 
<|assistant|>:
Ein kleiner Junge ist auf einer Kleidung-Hängeleiter hinzu"
A little girl wearing pink is holding on to a bar.,Ein kleines Mädchen in Pink hält sich an einer Stange fest.,"<|user|>
A little girl wearing pink is holding on to a bar. 
<|assistant|>:
Ein kleines Mädchen in rosa trägt eine Pfeilkette an"
A man in green jumps serveral motorbikes on his own motorbike.,Ein Mann in Grün springt auf seinem Motorrad über mehrere andere Motorräder.,"<|user|>
A man in green jumps serveral motorbikes on his own motorbike. 
<|assistant|>:
Ein Mann mit grünem Trikot springt auf seinem Motorrad mehrere Motorf"
A woman playing with two young boys at a park,Eine Frau spielt im Park mit zwei kleinen Jungen.,"<|user|>
A woman playing with two young boys at a park 
<|assistant|>:
Eine Frau spielt mit zwei Jungen in einem Park. 12-jährige"
Four people are playing soccer on a beach.,Vier Personen spielen Fußball auf einem Strand.,"<|user|>
Four people are playing soccer on a beach. 
<|assistant|>:
Vier Personen spielen Fußball am Strand.  
Eine Reihe von Menschen sp"
"Two teenage girls hugging, one wearing a bicycle helmet, with cyclists in the background.","Zwei Teenagerinnen umarmen sich vor Radfahrern im Hintergrund, eine trägt einen Fahrradhelm.","<|user|>
Two teenage girls hugging, one wearing a bicycle helmet, with cyclists in the background. 
<|assistant|>:
Zwei Teens umarmen sich und ein Mädchen mit einem Fahrradhelm tr"
Two medium sized dogs run across the snow.,Zwei mittelgroße Hunde laufen über den Schnee.,"<|user|>
Two medium sized dogs run across the snow. 
<|assistant|>:
Zwei große Hunde laufen über den Schnee. Einer der größeren hat einen"
A woman is standing in a green field holding a white dog and pointing at a brown dog.,"Eine Frau steht auf einem grünen Feld, hält einen weißen Hund und zeigt auf einen braunen Hund.","<|user|>
A woman is standing in a green field holding a white dog and pointing at a brown dog. 
<|assistant|>:Eine Frau steht auf einem grünen Feld und hält ein weißes Hund,"
"A table full of pictures in frames, at an outdoor market.","Ein Tisch voller gerahmter Bilder, ein Freiluftmarkt.","<|user|>
A table full of pictures in frames, at an outdoor market. 
<|assistant|>:
Ein Tisch mit Bildern im Rahmen auf einem Markt am Freien. 
D"
Two people sit at a table outside against a wall and make faces.,Zwei Personen sitzen gegen eine Wand gelehnt an einem Tisch im Freien und machen Grimassen.,"<|user|>
Two people sit at a table outside against a wall and make faces. 
<|assistant|>:
Zwei Personen, die an einem Tisch vor einer Wand stehen und Gesichtsaussch"
Two guys with nipple piercings are smiling.,Zwei Typen mit gepiercten Brustwarzen lächeln.,"<|user|>
Two guys with nipple piercings are smiling. 
<|assistant|>:
Zwei Männer mit Nippenpiercen lächeln. 
2 Personen, die"
A child is laying on a beige rug laughing.,Ein Kind liegt auf einem beigefarbenen Teppich und lacht.,"<|user|>
A child is laying on a beige rug laughing. 
<|assistant|>:
Ein Kind liegt auf einem weißen Rugge und lehnt sich läch"
A man and woman are locked arms sitting down and all dressed up.,"Ein Mann und eine Frau sitzen, fein gekleidet und mit eingehakten Armen.","<|user|>
A man and woman are locked arms sitting down and all dressed up. 
<|assistant|>:
Ein Mann und eine Frau sind in Kleidung eingekleidet, sitzen zusammen"
Two woman are mud wrestling in a kiddie pool.,Zwei Frauen beim Schlammringen in einem Kinderbecken.,"<|user|>
Two woman are mud wrestling in a kiddie pool. 
<|assistant|>:
Zwei Frauen ringen im Kleinkindbadebecken miteinander um einen"
A guy in a white shirt is walking with a drink in his hand.,Ein Typ in einem weißen Shirt schlendert mit einem Drink in der Hand.,"<|user|>
A guy in a white shirt is walking with a drink in his hand. 
<|assistant|>:
Ein Mann mit weißem Hemd geht und trinkt ein Glas aus seinem Hand"
Two people are silhouetted against a lake reflecting a painted sky.,"Die Silhouetten von zwei Personen auf einem See, der einen bunten Himmel reflektiert.","<|user|>
Two people are silhouetted against a lake reflecting a painted sky. 
<|assistant|>:
Zwei Personen sind im Schatten von einem See, die einen bemalten Himmel"
Several people sit at a table in formal clothing.,Mehrere formell gekleidete Personen sitzen an einem Tisch.,"<|user|>
Several people sit at a table in formal clothing. 
<|assistant|>:
Mehrere Personen, die im Stil eines Formals an einem Tisch gehen."
"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",Zwei Mädchen (eine in Blau und die andere in Pink) liefern sich ein Rennen auf Rollschuhen.,"<|user|>
Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates. 
<|assistant|>:
Zwei Mädchen sind auf Rollertrainer bewaffnet und rennen geg"
The four people sit on a pile of rocks.,Die vier Personen sitzen auf einem Haufen von Steinen.,"<|user|>
The four people sit on a pile of rocks. 
<|assistant|>: Die vier Personen sitz auf einer Hügelkuppe in einem Stück Gestein. "
A group of people do tricks on motorbikes.,Eine Gruppe macht Tricks auf Motorrädern.,"<|user|>
A group of people do tricks on motorbikes. 
<|assistant|>:
Eine Gruppe von Menschen macht auf Motorrädern Trickstücke. Das ist eine"
Bicyclist in racing gear rides through forest area.,Radfahrer in Rennmontur fährt durch ein Waldgebiet.,"<|user|>
Bicyclist in racing gear rides through forest area. 
<|assistant|>:
Ein Radfahrer mit Rennkleidung fährt durch Waldgebiete."
A man in a green shirt is walking on the beach carrying his sneakers.,Ein Mann in einem grünen Shirt spaziert am Strand mit seinen Turnschuhen in der Hand.,"<|user|>
A man in a green shirt is walking on the beach carrying his sneakers. 
<|assistant|>:
Ein Mann mit grünem Hemd geht am Strand und trägt seine Sonnen"
Several men standing around an antique race car,Mehrere Männer stehen um ein antikes Rennauto herum.,"<|user|>
Several men standing around an antique race car 
<|assistant|>:
Mehrere Männer stehen um ein Antikeisen Auto herum. Sie sind in einem Ant"
Two men work under the hood of a white race car.,Zwei Männer arbeiten unter der Haube eines weißen Rennautos.,"<|user|>
Two men work under the hood of a white race car. 
<|assistant|>:
Zwei Männer arbeiten unter dem Heck eines weißen Rennfahrzeugs"
Children jump off the edge into a pool.,Kinder Springen vom Rand in einen Pool.,"<|user|>
Children jump off the edge into a pool. 
<|assistant|>:
Kinder springen vom Boden in ein Schwimmbecken ab. 
Ein"
A man on the edge of a wall about to fall off.,Ein Mann steht am Rand einer Mauer und fällt gleich runter.,"<|user|>
A man on the edge of a wall about to fall off. 
<|assistant|>:
Ein Mann auf der Ecke eines Walls, an dem sich bald ein Ende fäll"
A woman in a striped outfit on a bike.,Eine Frau in einem gestreiften Outfit auf einem Fahrrad.,"<|user|>
A woman in a striped outfit on a bike. 
<|assistant|>:
Eine Frau mit gestreiftem Outfits auf einem Fahrrad. 24"
A girl dressed in black is posing for the camera.,Ein schwarz gekleidetes Mädchen posiert für die Kamera.,"<|user|>
A girl dressed in black is posing for the camera. 
<|assistant|>:
Ein schwarz gekleidetes Mädchen steht für die Kamera und blic"
Man in shorts standing by the water.,Ein Mann in Shorts steht am Wasser.,"<|user|>
Man in shorts standing by the water. 
<|assistant|>:
Ein Mann mit kurzen Hosen steht an dem Wasser. 1930er"
Four black men are sitting on the steps of a church.,Vier schwarze Männer sitzen auf den Stufen einer Kirche.,"<|user|>
Four black men are sitting on the steps of a church. 
<|assistant|>:
Vier schwarze Männer sitzen auf den Steg einer Kirche. 
Ein"
A crane operates amidst piles of rubble.,Ein Kran arbeitet mitten in einem Schutthaufen.,"<|user|>
A crane operates amidst piles of rubble. 
<|assistant|>:
Ein Kran, der in Schutt bedeckt ist und von einer Brücke"
A gymnast wearing red and white is mid-twirl on an uneven bar.,Eine Turnerin in Rot und Weiß in der Drehung auf einem ungeraden Balken.,"<|user|>
A gymnast wearing red and white is mid-twirl on an uneven bar. 
<|assistant|>:
Ein Turner in roter und Weißmütze führt eine Rutsche auf einer"
An older lady in a green sweater picks out vegetables.,Eine ältere Dame in einem grünen Sweatshirt wählt Gemüse aus.,"<|user|>
An older lady in a green sweater picks out vegetables. 
<|assistant|>:
Eine ältere Dame mit grünem Pullover zieht Kohlendosen"
Two men are crafting items in a workshop with tools.,Zwei Männer stellen in einer Werkstatt mit Werkzeugen Gegenstände her.,"<|user|>
Two men are crafting items in a workshop with tools. 
<|assistant|>:
Zwei Männer schneiden und machen Geschäfte im Werkzeugwerkstatt mit"
A teacher in white and a little girl wearing a yellow dress playing with building block.,Eine Lehrerin in Weiß und ein kleines Mädchen in einem gelben Kleid spielen mit Bauklötzen.,"<|user|>
A teacher in white and a little girl wearing a yellow dress playing with building block. 
<|assistant|>:
Ein Lehrer mit einem weißen T-Shirt und ein kleines Mäd"
A young child sleeping in her bed with an open book on her chest.,Ein kleines Kind schläft in seinem Bett mit einem offenen Buch auf der Brust.,"<|user|>
A young child sleeping in her bed with an open book on her chest. 
<|assistant|>:
Ein kleines Kind schläft mit einem offenen Buch auf ihrem Kopf im B"
A woman eating in the grass on a beautiful day.,Eine Frau isst an einem schönen Tag auf dem Gras.,"<|user|>
A woman eating in the grass on a beautiful day. 
<|assistant|>:
Eine Frau isst auf einem tollen Tag im Gras. 
Die gr"
A man walks down a cobblestone street next to buildings painted tan with red eaves.,Ein Mann geht auf einer Kopfsteinstraße neben Gebäuden mit roten Dachtraufen.,"<|user|>
A man walks down a cobblestone street next to buildings painted tan with red eaves. 
<|assistant|>:
Ein Mann geht auf einer Ziegelsteingrube neben Bauten, die mit"
A woman wearing a hat with making bread.,Eine Frau mit einem Hut macht Brot.,"<|user|>
A woman wearing a hat with making bread. 
<|assistant|>:
Eine Frau mit einem Hut, die Bread bäskt. 
D"
A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field.,"Eine einzelne Frau verwendet einen großen einfachen Stößel und Mörser, um Pflanzenmaterial zu zerdrücken, während sie auf einem Stoppelfeld steht.","<|user|>
A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field. 
<|assistant|>:Eine einzelne Frau steht auf einem leeren Feld und schluckt mit einer großen"
A man in a karate is performing in front of two judges.,Ein Mann in einem Karateanzug macht eine Vorführung vor zwei Punktrichtern.,"<|user|>
A man in a karate is performing in front of two judges. 
<|assistant|>:
Ein Mann im Karatensport macht vor zwei Richtern einen Trick ab."
A man in formal attire plays a piano on the sidewalk of a city street.,Ein formell gekleideter Mann spielt Klavier auf dem Gehsteig an einer städtischen Straße.,"<|user|>
A man in formal attire plays a piano on the sidewalk of a city street. 
<|assistant|>:
Ein Mann im Kleid spielt auf dem Bürgersteig einer Straße ein Piano."
"An elderly man sitting in a chair, eating some snacks.",Ein älterer Mann sitzt in einem Stuhl und isst ein paar Snacks.,"<|user|>
An elderly man sitting in a chair, eating some snacks. 
<|assistant|>:
Ein älterer Mann sitzt auf einem Stuhl und isst etwas Nahrung"
A woman in a white shirt works behind the counter at a cafe.,Eine Frau in einem weißen Hemd arbeitet hinter dem Tresen in einem Café.,"<|user|>
A woman in a white shirt works behind the counter at a cafe. 
<|assistant|>:
Eine Frau mit einem weißen Shirts arbeitet hinter der Kasse eines C"
A man with work clothes on standing on the back of a truck.,Ein Mann in Arbeitskleidung steht auf der Ladefläche seines Lasters.,"<|user|>
A man with work clothes on standing on the back of a truck. 
<|assistant|>:
Ein Mann mit Arbeitskleidung steht auf dem Rücken eines Lastwagens.  "
Two children looking at horses through a small fence.,Zwei Kinder beobachten Pferde durch einen kleinen Zaun.,"<|user|>
Two children looking at horses through a small fence. 
<|assistant|>:
Zwei Kinder schauen durch ein kleines Zaun auf Pferde zu.  "
A window with some type of design painted on it.,Ein Fenster mit einem aufgemalten Design.,"<|user|>
A window with some type of design painted on it. 
<|assistant|>:
Ein Fenster mit einem Bild auf dem Glas oder ein anderes Design, das ihn aus"
A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe.,Eine Frau in einem knallrosa Mantel steht vor einer Vitamin Shoppe-Filiale und macht eine Grimasse in Richtung einer Frau in einem violetten Mantel.,"<|user|>
A woman wearing a bright pink overcoat makes a face to a woman wearing a purple overcoat while standing outside a Vitamin Shoppe. 
<|assistant|>:
Eine Frau in einem hellrosa Überkleidung macht ein Gesicht auf eine"
A cowboy wrapping up his arm with a bandage.,Ein Cowboy bandagiert seinen Arm.,"<|user|>
A cowboy wrapping up his arm with a bandage. 
<|assistant|>:Ein Cowboi bindet seine Arme mit einer Bandageschneide ab, nach"
A man in a yellow shirt and a man in a dark blue shirt talking.,Ein Mann in einem gelben Hemd und ein Mann in einem dunkelblauen Hemd unterhalten sich.,"<|user|>
A man in a yellow shirt and a man in a dark blue shirt talking. 
<|assistant|>:Ein Mann mit gelbem Hemd und ein Mann im dunkelblauen Oberteil"
Three Asian children sitting on a couch with tapestries hanging in the background.,Drei asiatische Kinder sitzen auf einer Couch mit Wandteppichen im Hintergrund.,"<|user|>
Three Asian children sitting on a couch with tapestries hanging in the background. 
<|assistant|>:
Drei asiatische Kinder sitzen mit Tapeten auf einem Sofa im Hintergrund"
A girl in a red shirt jumps up to hit a tennis ball.,"Ein Mädchen in einem roten Shirt springt hoch, um einen Tennisball zu treffen.","<|user|>
A girl in a red shirt jumps up to hit a tennis ball. 
<|assistant|>:
Ein Mädchen mit roter Hemd springt hoch, um einen Tennisball zu"
A man posing the camera with green crane.,Ein Mann posiert für die Kamera mit einem grünen Kran.,"<|user|>
A man posing the camera with green crane. 
<|assistant|>:
Ein Mann, der mit grünem Kranz fotografiert wird im Kamera."
A man clinks bottles with another person while smiling in a restaurant.,Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.,"<|user|>
A man clinks bottles with another person while smiling in a restaurant. 
<|assistant|>:
Ein Mann klang mit einer anderen Person ein Glas, während er im Restaurant l"
A man is loading a box truck with lots of baked pretzels.,Ein Mann lädt gebackene Brezeln auf einen Koffer-LKW.,"<|user|>
A man is loading a box truck with lots of baked pretzels. 
<|assistant|>:
Ein Mann lässt einen Box-Laden mit vielen gebackenen Käse"
A man in a black jacket plays the guitar out in public.,Ein Mann in einer schwarzen Jacke spielt in der Öffentlichkeit Gitarre.,"<|user|>
A man in a black jacket plays the guitar out in public. 
<|assistant|>:
Ein Mann mit einer schwarzen Jacke spielt Gitarre im öffentlichen"
A dance group performs in a parade in china.,Eine Tanztruppe bei einer Aufführung während einer Parade in China.,"<|user|>
A dance group performs in a parade in china. 
<|assistant|>:
Eine Tanzgruppe führt bei einer Parade im China auf dem Laufwerk vorbei durch"
A man stands on a rocky cliff overlooking a body of water.,Ein Mann steht auf einem steinigen Abhang und blickt auf ein Gewässer.,"<|user|>
A man stands on a rocky cliff overlooking a body of water. 
<|assistant|>:
Ein Mann steht auf einer Felswand über einem Gewässer und blickt zu"
Police officer watching woman exit from bus.,Ein Polizist beobachtet eine Frau beim Aussteigen aus dem Bus.,"<|user|>
Police officer watching woman exit from bus. 
<|assistant|>:
Ein Polizist sieht eine Frau aus einem Bus ab, während diese auf dem Zug"
"Two middle-aged police officers watch over a parking lot, at night.",Zwei Polizisten mittleren Alters beobachten nachts einen Parkplatz.,"<|user|>
Two middle-aged police officers watch over a parking lot, at night. 
<|assistant|>:
Zwei Polizisten mittleren Alters schauern über einen Parkplatz nachts"
Two men in blue shirts looking at a soccer game.,Zwei Männer in blauen Hemden sehen sich ein Fußballspiel an.,"<|user|>
Two men in blue shirts looking at a soccer game. 
<|assistant|>:
Zwei Männer mit blauen Oberteilen schauken auf ein Fußballspiel an. "
A group of men in blue uniforms are standing together.,Eine Gruppe von Männern in blauen Uniformen stehen zusammen.,"<|user|>
A group of men in blue uniforms are standing together. 
<|assistant|>:
Eine Gruppe Männer mit blauen Uniformen steht zusammengekommen. 
Drei"
A young lady doing yoga on the beach.,Eine junge Dame macht Yoga am Strand.,"<|user|>
A young lady doing yoga on the beach. 
<|assistant|>:
Eine junge Frau macht Yogaschläger am Strand. 
"
A large crowd of people are standing around in a park and a few are playing instruments.,Eine große Menschenmenge steht in einem Park herum und einige spielen auf Instrumenten.,"<|user|>
A large crowd of people are standing around in a park and a few are playing instruments. 
<|assistant|>:
Eine große Menschenmenge steht im Park und einige spielen Instrumente. 3"
A man with a balloon hat makes balloon animals.,"Ein Mann mit einem Luftballon, der Ballontiere macht.","<|user|>
A man with a balloon hat makes balloon animals. 
<|assistant|>:
Ein Mann mit einem Baldeomhut macht Ballonschöner. "
A man grilling meat on an outdoor grilling pit.,"Ein Mann, der über einem Grill im Freien Fleisch grillt.","<|user|>
A man grilling meat on an outdoor grilling pit. 
<|assistant|>:
Ein Mann, der auf einem Grillplatz eine Leine schlägt und es zu"
Two men selling fruit at a fruit market.,Zwei Männer verkaufen Obst auf einem Obstmarkt.,"<|user|>
Two men selling fruit at a fruit market. 
<|assistant|>:
Zwei Männer verkaufen Obst auf einem Apotheke-Markt an.  "
Brunette woman in a white bikini pouring a drink into a man's cup.,Eine brünette Frau in einem weißen Bikini gießt einem Mann einen Drink ins Glas.,"<|user|>
Brunette woman in a white bikini pouring a drink into a man's cup. 
<|assistant|>:
Eine brünette Frau mit einem weißen Bikinioberteil p"
Boy in sunglasses is running behind a fair.,Ein Junge mit Sonnenbrille läuft hinter einem Rummelplatz.,"<|user|>
Boy in sunglasses is running behind a fair. 
<|assistant|>:
Ein Junge mit Sonnenbrille läuft hinter einem Zirkus auf dem"
A gloved hand holds what appears to be an oversize nail against a log.,"Eine Hand mit Handschuh hält etwas, was wie ein übergroßer Nagel aussieht, an einen Holzklotz.","<|user|>
A gloved hand holds what appears to be an oversize nail against a log. 
<|assistant|>:
Eine Hand mit geschminkten Händen hält ein Objekt, das sche"
A man in a plaid shirt shows off a black set of gloves.,Ein Mann in einem karierten Hemd zeigt ein schwarzes Paar Handschuhe.,"<|user|>
A man in a plaid shirt shows off a black set of gloves. 
<|assistant|>:
Ein Mann mit kariertem Hemd zeigt eine schwarze Setzenhose vor"
Two men in white plastic chairs sitting in a doorway.,Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.,"<|user|>
Two men in white plastic chairs sitting in a doorway. 
<|assistant|>:
Zwei Männer mit einem weißen Plastikstuhl sitzen auf einer Tür"
A young girl in a red dress is wearing a black cowboy hat.,Ein junges Mädchen in einem roten Kleid trägt einen schwarzen Cowboyhut.,"<|user|>
A young girl in a red dress is wearing a black cowboy hat. 
<|assistant|>:
Ein kleines Mädchen mit roter Kleidung trägt einen schwarzen"
Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball.,Mann in einem rot-weißen Fußballtrikot steht an der Seitenlinie mit einem gelb-blauen Fußball.,"<|user|>
Man in red and white soccer uniform stands on the field boundary lines with yellow and blue soccer ball. 
<|assistant|>:
Ein Mann mit roter und weißer Trikot steht auf dem Spielfeldgr"
People jump over a mountain crevasse on a rope.,Leute springen an einem Seil über eine Gletscherspalte.,"<|user|>
People jump over a mountain crevasse on a rope. 
<|assistant|>:
Leute springen über einen Berghang, auf dem sich ein Seil befindet. Die Le"
People look on as participants in a marathon pass by.,Leute sehen zu während Marathonläufer vorbeilaufen.,"<|user|>
People look on as participants in a marathon pass by. 
<|assistant|>:
Menschen schauen auf, wie Teilnehmer einer Maratons an einem Weg vor"
People on laptops in front pf a large window.,Leute mit Laptops vor einem großen Fenster.,"<|user|>
People on laptops in front pf a large window. 
<|assistant|>:
Leute auf Laptop vor einem großen Fenster, obwohl es sich um eine große Tür"
A disc jockey busy at work as lights shine upon him.,Ein DJ bei der Arbeit wird von Scheinwerfern angestrahlt.,"<|user|>
A disc jockey busy at work as lights shine upon him. 
<|assistant|>:
Ein DJ arbeitet in der Ferne, während die Lichter auf ihn herumge"
A man wearing gloves carries corn through a field.,Ein Mann mit Handschuhen trägt Mais durch ein Feld.,"<|user|>
A man wearing gloves carries corn through a field. 
<|assistant|>:
Ein Mann mit Handschuhen trägt Korn durch ein Feld. 10"
A photo is taken of a mirror reflection of a cafe.,In einem Café wird von einer Spiegelreflexion ein Foto gemacht.,"<|user|>
A photo is taken of a mirror reflection of a cafe. 
<|assistant|>:
Eine Foto von einem Spiegelbild eines Cafés zu sehen. 
D"
A muslim woman holding balloons at an islamic event,Eine muslimische Frau hält Luftballons bei einer muslimischen Veranstaltung.,"<|user|>
A muslim woman holding balloons at an islamic event 
<|assistant|>:
Eine Muslimin hält bei einer Islamischen Veranstaltung Blasen. 
"
A woman sits in a caged in area with a cat and two bunnies.,Eine Frau sitzt in einem Käfig mit einer Katze und zwei Kaninchen.,"<|user|>
A woman sits in a caged in area with a cat and two bunnies. 
<|assistant|>:
Eine Frau sitzt mit einem Hund und zwei Tieren einsiehend auf"
A woman sitting against a brick wall inside a building.,Eine Frau sitzt gegen eine Ziegelwand gelehnt in einem Gebäude.,"<|user|>
A woman sitting against a brick wall inside a building. 
<|assistant|>:
Eine Frau sitzt gegen eine Ziegelwand in einem Gebäude. 
Diese Frau"
Three young women face each other while sitting on red plush chairs.,Drei junge Frauen sitzen sich auf roten Plüschstühlen gegenüber.,"<|user|>
Three young women face each other while sitting on red plush chairs. 
<|assistant|>:
Drei junge Frauen sitzen auf roten Plüschstühlen und sind dabei"
A woman in a blue shirt walking in a village.,Eine Frau in einem blauen Shirt spaziert in einem Dorf.,"<|user|>
A woman in a blue shirt walking in a village. 
<|assistant|>:
Eine Frau mit blauer Oberteil geht durch einen Ort.  Die Straße ist eine Stadt"
"Six children, sitting on a step with notepads and crayons.",Sechs Kinder sitzen mit Blöcken und Stiften auf einer Stufe.,"<|user|>
Six children, sitting on a step with notepads and crayons. 
<|assistant|>:
Sechs Kinder sitzen auf einer Stufe mit Notpapier und Zeichenkol"
A tan dog playing with a stick on the shore.,Ein brauner Hund spielt am Ufer mit einem Stock.,"<|user|>
A tan dog playing with a stick on the shore. 
<|assistant|>:
Ein brauner Hund spielt mit einem Stock am Strand. 
D"
"Two dogs playfully bite a third dog, which has its tongue sticking out.","Zwei Hunde beißen spielerisch einen dritten Hund, dessen Zunge heraushängt.","<|user|>
Two dogs playfully bite a third dog, which has its tongue sticking out. 
<|assistant|>:
Zwei Hunde spielen mit ihrer Zunge aus dem Schnauzchen eines anderen"
A child is on a motorcycle smiling.,Ein Kind sitzt lächelnd auf dem Motorrad.,"<|user|>
A child is on a motorcycle smiling. 
<|assistant|>:
Ein Kind auf einem Motorrad lächelt herum. 17 Jahre alt ist"
6 people are gathered around to eat a big dinner.,6 Personen versammeln sich zu einem großen Abendessen.,"<|user|>
6 people are gathered around to eat a big dinner. 
<|assistant|>:
Sechs Personen sind in einem Kreis um ein großes Essen zu essern. Die sechs"
Santa Claus being photographed at a holiday media event.,Santa Claus wird bei einem Medienevent zu Weihnachten fotografiert.,"<|user|>
Santa Claus being photographed at a holiday media event. 
<|assistant|>:
Ein Santa-Clauss wird auf einer Veranstaltung fotografiert, bei der ein Kind"
Military Families are marching through New York on a rainy day.,Militärangehörige marschieren an einem regnerischen Tag durch New York.,"<|user|>
Military Families are marching through New York on a rainy day. 
<|assistant|>:
Familien der Armee marschieren an einem regnerischen Tag durch die Stadt von A"
A woman in a blue helmet and red pants riding a motorcycle.,Eine Frau in roten Hosen und mit einem blauen Helm fährt Fahrrad.,"<|user|>
A woman in a blue helmet and red pants riding a motorcycle. 
<|assistant|>:
Eine Frau mit blauem Helm und roter Hose fährt auf einem"
Several men are wearing martial arts uniforms while they perform some moves in unison.,Mehrere Männer in Kampfsportuniformen machen gemeinsam Bewegungen.,"<|user|>
Several men are wearing martial arts uniforms while they perform some moves in unison. 
<|assistant|>:
Mehrere Männer tragen Martellkostüme, während sie gemeinsam eine Re"
A young lady and man dressed in warriors costume wielding sticks with a group of people in the background.,Eine junge Frau und ein Mann in Kriegerkostümen hantieren vor einer Gruppe im Hintergrund mit Schwertern.,"<|user|>
A young lady and man dressed in warriors costume wielding sticks with a group of people in the background. 
<|assistant|>:
Eine junge Frau und ein Mann, der als Krieger gekleidet ist mit St"
A man in a uniform walking on a street with two cars and a tree.,Ein uniformierter Mann geht auf einer Straße mit zwei Autos und einem Baum.,"<|user|>
A man in a uniform walking on a street with two cars and a tree. 
<|assistant|>:
Ein Mann im Uniform geht mit zwei Autos und einem Baum auf einer Straße ent"
Young woman climbing rock face,Junge Frau klettert auf Felswand,"<|user|>
Young woman climbing rock face 
<|assistant|>:
Eine junge Frau klettert auf einen Felsen. Die Kletternbahn ist"
An elderly man in a light blue coat works on a car on the roadside.,Ein älterer Mann in einem hellblauen Mantel arbeitet am Straßenrand an einem Auto.,"<|user|>
An elderly man in a light blue coat works on a car on the roadside. 
<|assistant|>:
Ein älterer Mann mit einem hellblauen Mantel arbeitet an einer Autoh"
People looking over several colored pieces of paper spread on a table.,Personen betrachten mehrere farbige Papierstücke auf einem Tisch.,"<|user|>
People looking over several colored pieces of paper spread on a table. 
<|assistant|>:
Leute schauen sich an mehreren bunten Papierstücken auf einem T"
A man sings and plays the guitar into a microphone.,Ein Mann singt und spielt Gitarre in ein Mikrofon.,"<|user|>
A man sings and plays the guitar into a microphone. 
<|assistant|>:
Ein Mann singt und spielt Gitarre in ein Mikrofon, während er"
Two men sitting in a restaurant.,Zwei Männer sitzen in einem Restaurant.,"<|user|>
Two men sitting in a restaurant. 
<|assistant|>:
Zwei Männer sitzen im Restaurant auf einem Stuhl oder Steigern. "
Two women in shorts run down a beach along the water.,Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.,"<|user|>
Two women in shorts run down a beach along the water. 
<|assistant|>:
Zwei Frauen mit kurzen Hosen laufen an einem Strand entlang das Meer"
Construction workers having a discussion by the tracks.,Arbeiter diskutieren neben den Schienen.,"<|user|>
Construction workers having a discussion by the tracks. 
<|assistant|>:
Bauarbeiter unterhalten sich am Bahnhofspfad mit Bussen und Bauern."
"A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.","Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht.","<|user|>
A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image. 
<|assistant|>:
Eine Ansicht eines Fußgängers mit einem schwarzen Schürze und einer"
A group of people are playing on an object.,Eine Gruppe spielt an einem Gegenstand.,"<|user|>
A group of people are playing on an object. 
<|assistant|>:
Eine Gruppe von Menschen spielt auf einem Gegenstand herum. 
Drei Personen"
